Enzyme	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Catalyzes
sulfur carrier protein DsrE3C	dsrE3C	Hden_0688			sulfur carrier protein DsrE3C
glutathionyl-hydroquinone reductase	pcpF	pcpF			2,6-dichloro-3-S-glutathionylhydroquinone reductase // 2,3,5-trichloro-6-S-glutathionylhydroquinone reductase
<i>aa<sub>3</sub></i>-type cytochrome c oxidase	COXVIa // COXVc // COXVb // COXVb // COX3 // COX2 // COX1				cytochrome <i>c</i> oxidase
orotidine-5'-phosphate decarboxylase	URA3	YEL021W	116167	116970	orotidine-5'-phosphate decarboxylase
aldehyde dehydrogenase B	aldB	b3588	3754973	3756511	acetaldehyde dehydrogenase
(3R,4R,6E)-3-hydroxy-4-methyl-2-oxooct-6-enoate aminotransferase	simJ	TINF00351			(3R,4R,6E)-3-hydroxy-4-methyl-2-oxooct-6-enoate aminotransferase
cysteine desulfurase IscS	iscS	b2530	2660317	2661531	cysteine desulfurase // cysteine desulfurase // S-sulfanyl-[cysteine desulfurase]:[acceptor protein cysteine] sulfurtransferase // cysteine desulfurase // cysteine :[Thil sulfur-protein cysteine] sulfurtransferase // L-cysteine:[protein cysteine] sulfurtransferase // L-cysteine:[protein cysteine] sulfurtransferase // cysteine:[Thil sulfur-protein cysteine] sulfurtransferase // L-cysteine desulferase
soluble methane monooxygenase	mmoZ // mmoY // mmoX // mmoC // mmoB // orfY				methane monooxygenase
ceramidase	Os01g43520	Os01g43520			ceramidase
NAD-dependent lipoamidase SIRT4	SIRT4	SIRT4	120266818	120277724	protein-lysine delipoylase
1,2-dihydrovomilenine 19,20-reductase	DHVR	DHVR			vomilenine 19,20-reductase // 1,2-dihydrovomilenine 19,20-reductase
2-oxo-3-hexenedioate decarboxylase	praD	praD			2-oxo-3-hexenedioate decarboxylase
ureidoglycine aminohydrolase	UGLYAH	At4g17050			ureidoglycine aminohydrolase
2-hydroxy-2-(1H-indol-3-yl)acetonitrile oxidase	FOX1	AT1G26380			2-hydroxy-2-(1H-indol-3-yl)acetonitrile oxidase
isocitrate dehydrogenase	icd	b1136	1195123	1196373	isocitrate dehydrogenase
succinylornithine transaminase	astC	b1748	1830762	1831982	succinylornithine transaminase // <i>N</i>-acetylornithine aminotransferase
aklanonic acid methyltransferase	aknG	aknG			aklanoate methyltransferase
O-antigen chain terminator bifunctional methyltransferase/kinase WbdD	wbdD<sub>O9a</sub>	wbdD<sub>O9a</sub>			3-<em>O</em>-phospho-polymannosyl GlcNAc-diphospho-<em>di</em><em>trans</em>,<em>octacis</em>-undecaprenol 3-phospho-methyltransferase // polymannosyl GlcNAc-diphospho-<em>di</em><em>trans</em>,<em>octacis</em>-undecaprenol kinase
RebG <i>N</i>-glycosyl transferase	rebG	rebG			J-104303 <i>N</i>-glycosyl transferase // arcyriaflavin A <i>N</i>-glycosyl transferase
3-sulfolactate sulfo-lyase small subunit // 3-sulfolactate sulfo-lyase large subunit	suyB // suyA				3-sulfolactate sulfo-lyase
creatininase subunit	crnA	crnA			creatininase
geranylgeranyl pyrophosphate synthase	GGPS3	GGPS3			geranylgeranyl pyrophosphate synthase
dTDP-Rha:&alpha;-<small>D</small>-Gal-diphosphoundecaprenol &alpha;-1,3-rhamnosyltransferase	wbaN	wbaN			dTDP-Rha:&alpha;-<small>D</small>-Gal-diphosphoundecaprenol &alpha;-1,3-rhamnosyltransferase
aminoacylase 3	ACY3	ACY3	69106326	69114430	N-acyl-aromatic-L-amino-acid amidohydrolase // 4-hydroxy-2-nonenal-<i>N</i>-acetyl-L-cysteine deacetylase
protopanaxadiol 6-hydroxylase	CYP716A53v2	CYP716A53v2			protopanaxadiol 6-hydroxylase
<i>N</i>-acetylgalactosamine-<i>N</i>,<i>N</i>'-diacetylbacillosaminyl-diphospho-undecaprenol 4-&alpha;-<i>N</i>-acetylgalactosaminyltransferase	pglJ	pglJ	1060124	1061221	<i>N</i>-acetylgalactosamine-<i>N</i>,<i>N</i>'-diacetylbacillosaminyl-diphospho-undecaprenol 4-&alpha;-<i>N</i>-acetylgalactosaminyltransferase
arginine dihydrolase/ornithine cyclodeaminase	agrE	alr4995			ornithine cyclodeaminase // arginine dihydrolase
cytochrome <I>c</i> peroxidase	ccp	b3518	3667791	3669188	cytochrome <i>c</i> peroxidase // menadiol:hydrogen peroxide oxidoreductase // hydroquinone:hydrogen peroxide oxidoreductase
quinolinone B prenyltransferase	asqH	asqH			quinolinone B prenyltransferase
3,6-diketocamphane 1,6-monooxygenase	camE36	camE36			3,6-diketocamphane 1,6-monooxygenase
carotenoid &beta;-ring 4-dehydrogenase	cbfd1	cbfd1			adonirubin 3'-hydroxylase // canthaxanthin 3-hydroxylase // 3,4-didehydroisozeaxanthin 3',4'-desaturase // isozeaxanthin 3,4-desaturase // isocryptoxanthin 4'-hydroxylase // &beta;-carotene 4-hydroxylase // isozeaxanthin 3,4-desaturase // 3,4,3',4'-tetradehydro-&beta;,&beta;-carotene 4-hydroxylase // &beta;-carotene 4-hydroxylase // &beta;-carotene 3,4-desaturase
aclacinomycin oxidase	aknOx	aknOx			aclacinomycin A oxidase // aclacinomycin N oxidase
D-erythrulose 4-phosphate isomerase	eryI	BAB_RS28110	361425	361880	D-erythrulose 4-phosphate isomerase
L-cysteine adenylase/L-cysteine-<i>S</i>-methyltransfterase	tioN	tioN			L-cysteine <i>S</i>-methyltransferase // L-cysteine adenylase
10-hydroxy-12-octadecenoate dehydrogenase	cla-dh	lp_0060	59613	60473	10-oxooctadec-6,12-dienoate dehydrogenase // 10-oxooctadec-6,12-dienoate dehydrogenase // 10-oxooctadecanoate dehydrogenase // 10-oxo-11-octadecenoate dehydrogenase // 10-hydroxy-12-octadecenoate dehydrogenase
sterol C-14 demethylase	CYP51	CYP51			4&alpha;,14&alpha;-dimethyl-cholesta-8-enol 14&alpha;-demethylase // obtusifoliol 14&alpha;-demethylase // obtusifoliol 14&alpha;-demethylase // obtusifoliol 14&alpha;-demethylase
glucosyltransferase ExoU	exoU	SM_b20948	1174743	1175771	glucosyltransferase
S-methylmethionine--homocysteine S-methyltransferase	BHMT2	BHMT2	78365547	78385897	S-methylmethionine homocysteine methyltransferase
<em>N</em><small><sup>5</sup></small>-(cytidine 5&prime;-diphosphoramidyl)-<small>L</small>-glutamine hydrolase	Cj1417	Cj1417			<em>N</em><small><sup>5</sup></small>-(cytidine 5&prime;-diphosphoramidyl)-<small>L</small>-glutamine hydrolase
3-hydroxybutyryl-CoA dehydrogenase	hbd	hbd			hydroxybutyryl-coA dehydrogenase
hydroxy-chlorophyll(ide) a reductase					hydroxy-chlorophyll(ide) <i>a</i> reductase
3-hydroxyindolin-2-one monooxygenase	Bx4	Bx4			3-hydroxyindolin-2-one monooxygenase
isoeugenol monooxygenase	iem	iem			isoeugenol monooxygenase
OMT2-6OMT heterodimer	6OMT // OMT2				3-<i>O</i>-acetyl-4'-<i>O</i>-demethylpapaveroxine 4'-O-methyltransferase
histone-lysine <em>N</em>-trimethyltransferase KMT1B	KMT1B	KMT1B	14884428	14909880	[histone-H3]-lysine-9 <i>N</i>-trimethyltransferase
protocatechuate 3,4-dioxygenase type II	pcaH2 // pcaG2				protocatechuate 3,4-dioxygenase // 4-sulfocatechol dioxygenase
umbelliferone 6-dimethylallyltransferase	PcPT	PcPT			umbelliferone 8-dimethylallyltransferase // umbelliferone 6-dimethylallyltransferase
3-demethoxyubiquinol 3-hydroxylase	COQF	At1g24340	8635198	8638975	3-demethoxyubiquinol 3-hydroxylase
acylating aldehyde dehydrogenase	todI	todI			acylating aldehyde dehydrogenase
CoA-dependent propanal dehydrogenase	pduP	STM2051	2126221	2127615	CoA-dependent (<i>S</i>)-lactaldehyde dehydrogenase // CoA-dependent (<i>R</i>)-lactaldehyde dehydrogenase // CoA-dependent propionaldehyde dehydrogenase
thiamine monophosphate kinase	thiL	BSU05900	640662	641639	thiamine-monophosphate kinase
geranylgeranyl diphosphate synthase	BTS1	BTS1			farnesyltranstransferase
protoporphyrinogen oxidase	hemG	b3850	4034608	4035153	protoporphyrinogen oxidase // protoporphyrinogen dehydrogenase
serine hydroxymethyltransferase 2	SHMT2	SHMT2			serine hydroxymethyltransferase
phloroisovalerophenone synthase					isovaleryl-CoA synthase // isobutanoyl-CoA synthase
phenyl phosphate carboxylase	Tharo_2778 // Tharo_2780 // Tharo_2777 // Tharo_2779				phenyl phosphate carboxylase
2-aminobenzoyl-CoA reductase					2-aminobenzoyl-CoA reductase
abietadienal dehydrogenase					abieta-7,13-dien-18-al dehydrogenase
arylacetonitrilase	AFAAANL	AFAAANL			(indole-3-yl)acetonitrilase
3-dehydroecdysone-3alpha-reductase	AF255341	AF255341			3-dehydroecdysone-3&alpha;-reductase
flavanone 3&beta;-hydroxylase	AN3	AN3			eriodictyol,2-oxoglutarate:oxygen oxidoreductase // (2S)-pinocembrin,2-oxoglutarate:oxygen oxidoreductase
beta-L-arabinopyranosidase					&beta;-L-arabinopyranosidase
isoflavone reductase					isoflavone reductase
&beta;-1,4 <i>N</i>-acetylgalactosaminyltransferase 1	B4GALNT1	B4GALNT1	58162869	58170176	ganglioside GT3 &beta;-1,4 <i>N</i>-acetylgalactosaminyltransferase // lactosylceramide &beta;-1,4 <i>N</i>-acetylgalactosaminyltransferase // ganglioside GD3 &beta;-1,4 <i>N</i>-acetylgalactosaminyltransferase // ganglioside GM3 &beta;-1,4 <i>N</i>-acetylgalactosaminyltransferase
UDP-<i>N</i>-acetylmuramoyl-L-alanine--D-glutamate ligase	murD	murD			UDP-N-acetylmuramoylalanine--D-glutamate ligase
ureidoacrylate amidohydrolase	rutB	b1011	1072171	1072863	ureidoacrylate amidohydrolase // (Z)-2-methylureidoacrylate peracid amidohydrolase
phosphinothricin tripeptide thioesterase	phpM	phpM			phosphinothricin tripeptide thioesterase
5-amino-3-dehydroquinate dehydrogenase	rifI	AMED_0626			5-amino-3-dehydroquinate dehydrogenase
L-serine kinase	sbnI	SAOUHSC_00083	90203	90967	L-serine kinase
peptidyl-prolyl <i>cis-trans</i> isomerase/OMP chaperone FkpA	fkpA	b3347	3476607	3477419	peptidyl-prolyl cis-trans isomerase
salicylate&mdash;[aryl-carrier protein] ligase	mbtA	Rv2384	2675936	2677633	salicylate&mdash;[aryl-carrier protein] ligase
linoleate 12-epoxygenase	CYP726A1	CYP726A1			[lipid]-linoleate 12-epoxygenase
7-deoxyloganate hydroxylase	CYP72A224	CYP72A224			7-deoxyloganate hydroxylase
cyanocobalamin/alkylcobalamin reductase	MMACHC	MMACHC	44966211	44979243	alkylcobalamin reductase (dealkylating) // cyanocobalamin reductase (cyanide-eliminating)
19E-geissoschizine oxidase	CYP71D1V1	CYP71D1V1			19E-geissoschizine oxidase
cyclohexanone monooxygenase	chnB	chnB			cyclohexanone monooxygenase
23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase	rlmH	b0636	668248	668715	23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase
CDP-archaeol synthase	carS	MTH_832			unsaturated CDP-archaeol synthase
paromamine 6'-oxidase	neoG	neoG			6'''-hydroxyneomycin C 6'-oxidase // paromamine 6'-oxidase
L-prolyl-<i>S</i>-[peptidyl-carrier protein] dehydrogenase	bmp3	PL2TA16_01237			L-prolyl-<i>S</i>-[peptidyl-carrier protein] dehydrogenase
multifunctional urea carboxylase/allophanate hydrolase	DUR1,2	DUR1,2			urea carboxylase // allophanate hydrolase
L-lysine alpha-oxidase subunit					L-lysine &alpha;-oxidase
ADAMTS-4 endopeptidase	ADAMTS4	ADAMTS4	156891805	156901105	aggrecanase
ethanolamine kinase	TC96379	TC96379			ethanolamine kinase
deoxyribose-phosphate aldolase	deoC	b4381	4617323	4618102	deoxyribose-phosphate aldolase
(5Z)-3-oxo-dodec-5-enoyl-[acp] synthase	fabO	EF_0283			(5Z)-3-oxo-dodec-5-enoyl-[acp] synthase
branched-chain amino acid aminotransferase	ilvK	BSU38550	3957391	3958482	L-isoleucine aminotransferase // L-leucine aminotransferase // L-valine aminotransferase
4-hydroxybutyryl-CoA dehydratase subunit	abfD	abfD			4-hydroxybutyryl-CoA dehydratase
azetidine-2-carboxylate hydrolase	A2CH	A2CH			azetidine-2-carboxylate hydrolase
intramembrane zinc metalloprotease RseP	rseP	b0176	196546	197898	lipoprotein signal peptide peptidase // signal peptide peptidase
acyl-[acp] hydrolase	pedC	pedC			acetyl-[acp] hydrolase
glyoxylate reductase 1	GOR1	GOR1			glyoxylate reductase
dTDP-4-dehydro-6-deoxy-D-glucose 2,3-dehydratase	eryBVI	SACE_0717			dTDP-4-dehydro-6-deoxy-D-glucose 2,3-dehydratase
spermidine synthase	SPE3	SPE3	684556	685437	spermidine synthase
glyoxylate reductase/hydroxypyruvate reductase	GRHPR	GRHPR	37592130	37606429	hydroxypyruvate oxidoreductase // glyoxylate reductase
phthalate 3,4-dihydrodiol dehydrogenase	padB1	padB1	161309	162115	phthalate 3,4-dihydrodiol dehydrogenase
HIV-2 retropepsin	gag-pol	gag-pol			HIV-2 retropepsin
periplasmic &beta;-<i>N</i>-acetylglucosaminidase	exoI	exoI			oxo-chitinase // &beta;-<i>N</i>-acetylglucosaminidase
monodechloroaminopyrrolnitrin synthase	prnB	prnB			monodechloroaminopyrrolnitrin synthase
1-deoxy-D-xylulose 5-phosphate reductoisomerase, apicoplast	DXR	DXR			1-deoxy-D-xylulose 5-phosphate reductoisomerase
sensor histidine kinase PyrS	pyrS	b2380	2498671	2500368	protein-histidine autokinase
sorbitol-6-phosphate 2-dehydrogenase	srlD	srlD			sorbitol-6-phosphate 2-dehydrogenase
NADH-ferredoxin reductase	cymAb	cymAb			ferredoxin&ndash;NAD+ reductase
6a-hydroxymaackiain-3-O-methyltransferase	HMM6	HMM6			6a-hydroxymaackiain-3-O-methyltransferase
antimycin intermediate C8-ketoreductase	antM	antM			antimycin intermediate C8-ketoreductase
folylpolyglutamate synthase	FPGS	FPGS	130565154	130576556	folylpolyglutamate synthase // folylpolyglutamate synthase // folylpolyglutamate synthase
pyridoxine 5'-phosphate synthase	pdxJ	b2564	2700998	2701729	pyridoxine 5'-phosphate synthase
guanine deaminase	guaD	b2883	3025766	3027085	guanine deaminase
copalyl diphosphate synthase	CDS	CDS			copalyl diphosphate synthase
3 &beta;-hydroxysteroid dehydrogenase	hsdD	Rv1106c			5-androstene-3,17-dione isomerase // preg-5-en-3,20-dione isomerase // cholest-5-en-3-one isomerase // dehydroepiandrosterone dehydrogenase // pregnenolone dehydrogenase // cholesterol dehydrogenase
dimethylamine--[corrinoid protein] Co-methyltransferase	mtbB1	mtbB1			dimethylamine methyltransferase
betaine aldehyde dehydrogenase	betB	betB			betaine aldehyde dehydrogenase
wax ester synthase WSD2	WSD2	WSD2			wax ester synthase
flavonol 7/4'-methyltransferase	MOMT2	MOMT2			kaempferide 7-<i>O</i>-methyltransferase // kaempferol 4'-<i>O</i>-methyltransferase // 3-methylquercetin 7-<i>O</i>-methyltransferase // rhamnetin 4'-<i>O</i>-methyltransferase // quercetin 7-<i>O</i>-methyltransferase // syringetin 7-<i>O</i>-methyltransferase // 3',4',5'-trimethylmyricetin 7-<i>O</i>-methyltransferase // laricitrin 4'-<i>O</i>-methyltransferase // 7-methylmyricetin 4'-<i>O</i>-methyltransferase // myricetin 7-<i>O</i>-methyltransferase
&beta;-glucosidase Bgl2	bgl2	bgl2			cellobiose &beta;-glucosidase // &beta;-glucosidase
adenylylsulfate sulfohydrolase / adenylylsulfate:phosophate adenylyltransferase	HINT4	HINT4			adenylylsulfate:phosophate adenylyltransferase // adenylylsulfate sulfohydrolase
versicolorin A reductase	aflX	aflX			versicolorin A reductase
glycerate 2-kinase	gckA	gckA			glycerate 2-kinase
4-acetamidopyrrole-2-carboxyl-[NRPS] deacetylase	cgc14	cgc14			4-acetamidopyrrole-2-carboxyl-[NRPS] deacetylase
xylan 1,4-&beta;-xylosidase	bxl1	bxl1			xylan 1,4-&beta;-xylosidase
indole-3-pyruvate decarboxylase subunit	ipdC	ipdC			indolepyruvate decarboxylase
gamma-glutamyl cyclotransferase					&gamma;-glutamyl cyclotransferase
isopentenyl-diphosphate &Delta;-isomerase	fni	MJ0862			isopentenyl-diphosphate &Delta;-isomerase
thiosulfate:quinone oxidoreductase	doxD // doxA				thiosulphate:quinone oxidoreductase
taurine dehydrogenase	tauY // tauX				taurine dehydrogenase
[LysW}-glutamate/[LysW]-aminoadipate kinase	lysZ	Saci_0751			[LysW]-L-L-2-aminoadipate 6-kinase // [LysW]-L-glutamate 5-kinase
carotenoid-9',10'-cleaving dioxygenase	BCO2	BCO2			&beta;,&beta;-carotene-9',10'-cleaving dioxygenase
peptidyl-lysine 3-dioxygenase JMJD7	JMJD7	JMJD7			peptidyl-lysine 3-dioxygenase
<small>L</small>-tyrosine peroxygenase	sibU	sibU			<small>L</small>-tyrosine peroxygenase
pluviatolide synthase	CYP719A23	CYP719A23			pluviatolide synthase
acyl-CoA 9-desaturase	DES1	DES1			palmitoyl-CoA 9-desaturase
formylmethanofuran dehydrogenase, tungsten enzyme	fwdD // fwdC // fwdB // fwdA				formylmethanofuran dehydrogenase
aerobic magnesium-protoporphyrin IX monomethyl ester cyclase	acsF	acsF			magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen monooxygenase
1,5-anhydro-D-fructose reductase	AKR1E2	AKR1E2			anhydrofructose reductase
Dol-PP-GlcNAc2:Man transferase	ALG1	YBR110W	458872	460221	chitobiosyldiphosphodolichol &beta;-mannosyltransferase
phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY	Rv2156c			phospho-N-acetylmuramoyl-pentapeptide-transferase
tRNA-dihydrouridine synthase B	dusB	b3260	3410280	3411245	tRNA-dihydrouridine synthase
phenylacetate-CoA ligase (anaerobic)					phenylacetate-CoA ligase
1'-carboxy-chondrochloren decarboxylase	cndG	cndG			chondrochloren A decarboxylase // chondrochloren B decarboxylase
hydroxylaminobenzene mutase	cnbB	cnbB			hydroxylaminobenzene mutase // 1-chloro-4-hydroxylaminobenzene mutase
asparaginase					asparaginase
D-arabinono-1,4-lactone oxidase	ALO1	YML086C	95791	97371	D-arabinono-1,4-lactone oxidase
isopentenyl-diphosphate delta-isomerase 2	IDI2	IDI2	1024839	1031791	isopentenyl-diphosphate delta-isomerase
dimethylsulfone monooxygenase	sfnG	Pfl01_2879			dimethylsulfone monooxygenase
protein-L-isoaspartate <i>O</i>-methyltransferase	pcm	b2743	2868893	2869519	protein-L-isoaspartate(D-aspartate) <i>O</i>-methyltransferase
deacetoxycephalosporin C synthase	cefE	cefE			deacetoxycephalosporin C synthase
ornithine carbamoyltransferase	argF	sll0902	3226341	3227267	ornithine carbamoyltransferase
diltiazem deacetylase	BT_4096	BT_4096			diltiazem deacetylase
guanidinobutyrase subunit	gbh	gbh			guanidinobutyrase
cardiolipin synthase B	clsB	b0789	822498	823739	cardiolipin synthase // phosphatidylglycerol synthase
demethylaltemicidin <i>N</i>-methyltransferase	sbzE	sbzE			demethylaltemicidin <i>N</i>-methyltransferase
3-oxosteroid 1-dehydrogenase	tesH	tesH			androst-4-en-3,17-dione 1-dehydrogenase
potassium-activated aldehyde dehydrogenase, mitochondrial	ALD4	ALD4			aldehyde dehydrogenase // aldehyde dehydrogenase
phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphatase	hisI-E	hisI-E			phosphoribosyl-AMP cyclohydrolase // phosphoribosyl-ATP pyrophosphatase
formate-tetrahydrofolate ligase subunit	ftfL	ftfL			formate-tetrahydrofolate ligase
S-adenosylmethionine decarboxylase alpha subunit // S-adenosylmethionine decarboxylase beta subunit	AMD1		111218852	111239777	<i>S</i>-adenosylmethionine decarboxylase
inositol hexakisphosphate/diphosphoinositol-pentakisphosphate kinase 2	PPIP5K2	PPIP5K2	102887053	102969995	5-diphosphoinositol-pentakisphosphate 1-kinase // inositol hexakisphosphate 1-kinase
2-hydroxy-3-oxopropanoyl-[acp] 3-hydroxylase	asm15	asm15			2-hydroxy-3-oxopropanoyl-[acp] 3-hydroxylase
acyl-[acp]--UDP-3-acetamido-2-amino-2,3-dideoxy-&alpha;-D-glucopyranose <i>N</i>-acyltransferase	lpxA	BAB_RS21540	1145418	1146254	acyl-ACP--UDP-3-acetamido-2-amino-2,3-dideoxy-&alpha;-D-glucopyranose <i>N</i>-acyltransferase
scopolin &beta;-glucosidase	BGLU21	BGLU21	24703653	24706704	scopolin &beta;-glucosidase // esculetin &beta;-glucosidase // 4-methylumbelliferyl glucoside &beta;-glucosidase
aldose 1-epimerase	GALM	GALM	39040273	39109844	Aldose 1-epimerase // aldose 1-epimerase
pyruvic oxime dioxygenase					pyruvic oxime dioxygenase
&beta;-secretase 2	BACE2	UNQ418/PRO852			memapsin 1
jasmonic acid 12-hydroxylase	ABM	OOW_P131scaffold00435g18			jasmonic acid 12-monooxygenase
methoxy mycolic acid synthase 1	mmaA1	RV0645C	739325	740185	trans-delta20-39-hydroxy-40-methyl-C60:1-[acp] synthase // trans-delta18-37-hydroxy-38-methyl-C58:1-[acp] synthase
acetyl-CoA C-acetyltransferase	Msed_0656	Msed_0656			acetoacetyl-CoA &beta;-ketothiolase
xyloglucan glycosyltransferase 4	CSLC4	At3g28180			xyloglucan glycosyltransferase
desmethyl-4-deoxygadusol synthase	Nos2	Npun_R5600			desmethyl-4-deoxygadusol synthase
butenolide phosphate reductase	scbC	SCO6267	6892353	6893207	[4-alkanoyl-5-oxo-2H-furan-3-yl]methyl phosphate reductase // [4-alkanoyl-5-oxo-2H-furan-3-yl]methyl phosphate reductase // [4-alkanoyl-5-oxo-2H-furan-3-yl]methyl phosphate reductase // [4-alkanoyl-5-oxo-2H-furan-3-yl]methyl phosphate reductase
3-isopropylmalate dehydrogenase	leuB	b0073	80867	81958	3-isopropylmalate dehydrogenase
cembratrienol synthase	CYC-1	CYC-1			&beta;-cembratriene-ol synthase // &alpha;-cembratriene-ol synthase
non-specific polyamine oxidase	PAO3	PAO3			spermidine oxidase // spermine oxidase
cyclopropyl sterol isomerase	CPI	CPI			31-norcycloartanol isomerase // cycloeucalenol isomerase
curcumin synthase	CURS3	CURS3			curcumin synthase // bisdemethoxycurcumin syntase // demethoxycurcumin synthase // demethoxycurcumin synthase
iron-oxidizing protein Cyc2	cyc2	cyc2			iron oxidase
lipopolysaccharide glucosyltransferase I	waaG	b3631	3805943	3807067	lipopolysaccharide glucosyltransferase // lipopolysaccharide glucosyltransferase
glycine cleavage complex	DLD // GLDC // AMT // GCSH		106015310	106044108	glycine cleavage complex
oligomycin C12-hydroxylase	olmB	olmB			oligomycin C12-hydroxylase
tRNA-uridine 2-sulfurtransferase	trmU	BSU27500	2809413	2810528	tRNA-uridine 2-sulfurtransferase
myrosinase TGG2	TGG2	AT5G25980			aliphatic glucosinolate glucohydrolase // alkenyl glucosinolate glucohydrolase // thioglucoside glucohydrolase
1-acylglycerol-3-phosphate <em>O</em>-acyltransferase	slr2060	slr2060			1-acylglycerol-3-phosphate <em>O</em>-acyltransferase
butachlor butoxymethanol hydrolase	chlH	chlH			butachlor butoxymethanol hydrolase
sinapoylglucose:choline O-sinapoyltransferase					sinapoylglucose:choline <i>O</i>-sinapoyltransferase
tagaturonate reductase	uxaB	b1521	1609229	1610680	tagaturonate reductase
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	GcpE	GcpE			4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
CMP-Neu5Ac:&beta;-D-Glc-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und &alpha;-(2,3)-sialyltransferase	wfaR	wfaR			CMP-Neu5Ac:&beta;-D-Glc-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und &alpha;-(2,3)-sialyltransferase
gibberellin 2-oxidase	GA2ox1	GA2ox1			gibberellin A44,2-oxoglutarate:oxygen oxidoreductase // gibberellin A4,2-oxoglutarate:oxygen oxidoreductase // gibberellin A9,2-oxoglutarate:oxygen oxidoreductase // gibberellin A1,2-oxoglutarate:oxygen oxidoreductase // gibberellin A20,2-oxoglutarate:oxygen oxidoreductase
phosphoglucomutase	pgmA	Rv3068c	3431979	3433622	phosphoglucomutase
propionate kinase	tdcD	b3115	3262452	3263660	propionate kinase
protocatechuate 4,5-dioxygenase	ligA // ligB				3-<i>O</i>-methylgallate 3,4 dioxygenase // 3-O-methylgallate:oxygen 4,5-oxidoreductase // protocatechuate:oxygen 4,5-oxidoreductase (decyclizing)
long-chain-fatty-acid--CoA ligase	fadD1	PA3299			decanoate--CoA ligase
2-keto-3-deoxy-D-gluconate dehydrogenase	kduD	b2842	2982497	2983258	2-keto-3-deoxy-D-gluconate dehydrogenase // D-gluconate 5-dehydrogenase // 11-deoxycorticosterone reductase
ActVA-6	actVA6	SCO5081	5522876	5523217	5-deoxy-dihydrokalafungin monooxygenase
&gamma;-tomatine glucosyltransferase	GAME18	Solyc07g043500			&gamma;-tomatine glucosyltransferase
6-methylpretetramide 4-monooxygenase	oxyE	SRIM_10871			6-methylpretetramide 4-monooxygenase
homocitrate synthase	nifV	nifV			homocitrate synthase
epoxystyrene isomerase	styC	styC			epoxystyrene isomerase
uridine-cytidine kinase 1	UCK1	UCK1	125945717	125953181	cytidine kinase // uridine kinase
aconitase	ACO1	YLR304C	735212	737548	aconitate hydratase // aconitate hydratase
NADP+-dependent farnesol dehydrogenase 1	SDR-1	SDR-1			farnesol dehydrogenase
monoamine oxidase	MAO	MAO			monoamine oxidase
phosphatidylinositol-4-phosphate 5-kinase, type 1 gamma	PIP5K1C	PIP5K1C	3699460	3769723	phosphatidylinositol 4 phosphate 5 kinase
flavonoid 3',5'-<i>O</i>-methyltransferase 1	ROMT-9	Os08g0157500			quercetin 3'-<i>O</i>-methyltransferase // eriodictyol 3'-<i>O</i>-methyltransferase // taxifolin 3'-<i>O</i>-methyltransferase // myricetin 3'-<i>O</i>-methyltransferase // catechin 3'-<i>O</i>-methyltransferase // flavonoid 3&prime;-<i>O</i>-methyltransferase // tricetin 3'-<i>O</i>-methyltransferase // luteolin 3'-<i>O</i>-methyltransferase
indolepyruvate decarboxylase subunit a // indolepyruvate decarboxylase subunit b // indolepyruvate decarboxylase subunit c					indole-3-acetaldehyde oxidase // indolepyruvate decarboxylase
glycogen phosphorylase	GPH1	YPR160W	861306	864014	debranched limit dextrin phosphorylase // glycogen phosphorylase
adenosylcobamide phosphatase	cobC	cobC			adenosylcobamide phosphatase // adenosylcobamide phosphatase
aklanoate anthrone monooxygenase	dnrG	dnrG			aklanoate anthrone monooxygenase
malonyl-[acp] decarboxylase	pedM	pedM			malonyl-[acp] decarboxylase
dihydroneopterin phosphate aldolase	PF1278	PF1278			dihydroneopterin phosphate aldolase
AMP deaminase 2	AMPD2	AMPD2	110162459	110174677	AMP deaminase
D-erythrulose kinase	derK	MSMEG_3271			D-erythrulose kinase
trehalose phosphorylase subunit	treP	AB079610			trehalose phosphorylase
homomethionine <i>N</i>-monooxygenase CYP79F2	CYP79F2	At1g16400			CYP79F2 hexahomomethionine monooxygenase // CYP79F2 pentahomomethionine monooxygenase // CYP79F2 homomethionine monooxygenase
3-oxochol-4-en-24-oyl-CoA dehydrogenase	SDENCHOL_10300 // SDENCHOL_10301				3-oxochol-4-en-24-oyl-CoA dehydrogenase
naphthoyl-CoA synthase	menB	menB			naphthoyl-CoA synthase
endo-1,4-&beta;-xylanase	xynA	xynA			1,4-&beta;-D-xylan-xylanohydrolase
lactate racemase	larA	larA			lactate racemase
D-cysteate sulfo-lyase	cuyA	ISM_09626			D-cysteate sulfo-lyase
L-xylulose kinase	lyxK	b3580	3747084	3748580	L-xylulose kinase // 3-keto-L-gulonate kinase
pyrimidine nucleotide reductase	arfC	MJ0671			pyrimidine nucleotide reductase
