S_S2_Ca_088_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Ca_088_v1v9_560	RXN-9229
S_S2_Ca_088_v1v9_560	DHHB-METHYLTRANSFER-RXN
S_S2_Ca_088_v1v9_560	RXN-11758
S_S2_Ca_088_v1v9_561	RXN-9240
S_S2_Ca_088_v1v9_561	RXN-9233
S_S2_Ca_088_v1v9_561	RXN-9225
S_S2_Ca_088_v1v9_561	RXN-12160
S_S2_Ca_088_v1v9_561	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN
S_S2_Ca_088_v1v9_562	ISOCITRATE-DEHYDROGENASE-NAD+-RXN
S_S2_Ca_088_v1v9_563	TETHYDPICSUCC-RXN
S_S2_Ca_088_v1v9_565	RXN-10857
S_S2_Ca_088_v1v9_565	H2NEOPTERINALDOL-RXN
S_S2_Ca_088_v1v9_567	6.3.1.12-RXN
S_S2_Ca_088_v1v9_567	RXN-11344
S_S2_Ca_088_v1v9_567	RXN-11342
S_S2_Ca_088_v1v9_568	TAGAALDOL-RXN
S_S2_Ca_088_v1v9_569	RXN-15306
S_S2_Ca_088_v1v9_570	RXN-11573
S_S2_Ca_088_v1v9_571	RXN0-6731
S_S2_Ca_088_v1v9_572	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN
S_S2_Ca_088_v1v9_573	IPPISOM-RXN
S_S2_Ca_088_v1v9_574	RXN-11574
S_S2_Ca_088_v1v9_575	RXN0-6950
S_S2_Ca_088_v1v9_576	UDPGLCNACEPIM-RXN
S_S2_Ca_088_v1v9_577	DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN
S_S2_Ca_088_v1v9_577	RXN0-6565
S_S2_Ca_088_v1v9_578	XYLISOM-RXN
S_S2_Ca_088_v1v9_578	GLUCISOM-RXN
S_S2_Ca_088_v1v9_579	ARGINASE-RXN
S_S2_Ca_088_v1v9_579	RXN-34
S_S2_Ca_088_v1v9_580	RXN-13596
