S_NS6_Ca_028_v1v9_1	NADH-DEHYDROG-A-RXN
S_NS6_Ca_028_v1v9_540	TAGAKIN-RXN
S_NS6_Ca_028_v1v9_541	ARGININE-DEIMINASE-RXN
S_NS6_Ca_028_v1v9_542	ARGININE-DEIMINASE-RXN
S_NS6_Ca_028_v1v9_543	CEPHALOSPORIN-C-DEACETYLASE-RXN
S_NS6_Ca_028_v1v9_544	CEPHALOSPORIN-C-DEACETYLASE-RXN
S_NS6_Ca_028_v1v9_545	RXN-13759
S_NS6_Ca_028_v1v9_546	RXN-13758
S_NS6_Ca_028_v1v9_547	RXN-14715
S_NS6_Ca_028_v1v9_547	RXN-7911
S_NS6_Ca_028_v1v9_547	RXN-12521
S_NS6_Ca_028_v1v9_547	DIENOYLCOAREDUCT-RXN
S_NS6_Ca_028_v1v9_547	RXN-14776
S_NS6_Ca_028_v1v9_547	RXN-7835
S_NS6_Ca_028_v1v9_547	RXN-14790
S_NS6_Ca_028_v1v9_548	NAG1P-URIDYLTRANS-RXN
S_NS6_Ca_028_v1v9_549	2.3.1.157-RXN
S_NS6_Ca_028_v1v9_550	2.1.1.74-RXN
S_NS6_Ca_028_v1v9_552	RXN0-3364
S_NS6_Ca_028_v1v9_555	DIACYLGLYKIN-RXN
S_NS6_Ca_028_v1v9_556	FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN
S_NS6_Ca_028_v1v9_557	PHOSPHOKETOLASE-RXN
S_NS6_Ca_028_v1v9_558	RXN-15513
S_NS6_Ca_028_v1v9_559	PEPCARBOX-RXN
S_NS6_Ca_028_v1v9_560	SPERMIDINESYN-RXN
S_NS6_Ca_028_v1v9_561	1.2.1.27-RXN
S_NS6_Ca_028_v1v9_561	RXN-11213
S_NS6_Ca_028_v1v9_562	RXN-9958
S_NS6_Ca_028_v1v9_563	ALANINE-AMINOTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_563	RXN-13698
S_NS6_Ca_028_v1v9_564	RXN-6380
S_NS6_Ca_028_v1v9_565	GLCNACPTRANS-RXN
S_NS6_Ca_028_v1v9_566	3.2.1.58-RXN
S_NS6_Ca_028_v1v9_567	DIMETHYLARGININASE-RXN
S_NS6_Ca_028_v1v9_568	6-HYDROXYNICOTINATE-REDUCTASE-RXN
S_NS6_Ca_028_v1v9_569	HOMOSERKIN-RXN
S_NS6_Ca_028_v1v9_570	3.1.4.10-RXN
S_NS6_Ca_028_v1v9_571	3.6.3.4-RXN
S_NS6_Ca_028_v1v9_572	RXN-9237
S_NS6_Ca_028_v1v9_572	2.1.1.64-RXN
S_NS6_Ca_028_v1v9_572	RXN3O-102
S_NS6_Ca_028_v1v9_572	RXN-9229
S_NS6_Ca_028_v1v9_572	DHHB-METHYLTRANSFER-RXN
S_NS6_Ca_028_v1v9_572	RXN-11758
S_NS6_Ca_028_v1v9_573	RXN-9240
S_NS6_Ca_028_v1v9_573	RXN-9233
S_NS6_Ca_028_v1v9_573	RXN-9225
S_NS6_Ca_028_v1v9_573	RXN-12160
S_NS6_Ca_028_v1v9_573	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN
S_NS6_Ca_028_v1v9_574	ISOCITRATE-DEHYDROGENASE-NAD+-RXN
S_NS6_Ca_028_v1v9_575	TETHYDPICSUCC-RXN
S_NS6_Ca_028_v1v9_577	RXN-10857
S_NS6_Ca_028_v1v9_577	H2NEOPTERINALDOL-RXN
S_NS6_Ca_028_v1v9_579	6.3.1.12-RXN
S_NS6_Ca_028_v1v9_579	RXN-11344
S_NS6_Ca_028_v1v9_579	RXN-11342
S_NS6_Ca_028_v1v9_580	TAGAALDOL-RXN
S_NS6_Ca_028_v1v9_581	RXN-15306
S_NS6_Ca_028_v1v9_582	RXN-11573
S_NS6_Ca_028_v1v9_583	RXN0-6731
S_NS6_Ca_028_v1v9_584	PUTRESCINE-CARBAMOYLTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_585	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN
S_NS6_Ca_028_v1v9_586	AMINOGLYCOSIDE-N3-ACETYLTRANSFERASE-RXN
S_NS6_Ca_028_v1v9_587	IPPISOM-RXN
S_NS6_Ca_028_v1v9_588	RXN-11574
S_NS6_Ca_028_v1v9_589	RXN0-6950
