S_S5_He_108_v1v9_1	NADH-DEHYDROG-A-RXN
S_S5_He_108_v1v9_584	TRANS-RXN0-222
S_S5_He_108_v1v9_584	ABC-13-RXN
S_S5_He_108_v1v9_584	TRANS-RXN0-593
S_S5_He_108_v1v9_584	3.6.3.21-RXN
S_S5_He_108_v1v9_584	ABC-37-RXN
S_S5_He_108_v1v9_585	ABC-14-RXN
S_S5_He_108_v1v9_585	ABC-12-RXN
S_S5_He_108_v1v9_585	RXN0-3
S_S5_He_108_v1v9_585	ABC-4-RXN
S_S5_He_108_v1v9_585	TRANS-RXN-265
S_S5_He_108_v1v9_585	ABC-3-RXN
S_S5_He_108_v1v9_585	TRANS-RXN0-222
S_S5_He_108_v1v9_585	ABC-13-RXN
S_S5_He_108_v1v9_585	TRANS-RXN0-593
S_S5_He_108_v1v9_585	3.6.3.21-RXN
S_S5_He_108_v1v9_585	ABC-37-RXN
S_S5_He_108_v1v9_586	ABC-14-RXN
S_S5_He_108_v1v9_586	ABC-12-RXN
S_S5_He_108_v1v9_586	RXN0-3
S_S5_He_108_v1v9_586	ABC-4-RXN
S_S5_He_108_v1v9_586	TRANS-RXN-265
S_S5_He_108_v1v9_586	ABC-3-RXN
S_S5_He_108_v1v9_586	TRANS-RXN0-222
S_S5_He_108_v1v9_586	ABC-13-RXN
S_S5_He_108_v1v9_586	TRANS-RXN0-593
S_S5_He_108_v1v9_586	3.6.3.21-RXN
S_S5_He_108_v1v9_586	ABC-37-RXN
S_S5_He_108_v1v9_587	RXN-15006
S_S5_He_108_v1v9_587	N-ACETYLGLUTPREDUCT-RXN
S_S5_He_108_v1v9_588	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
S_S5_He_108_v1v9_589	PRIBFAICARPISOM-RXN
S_S5_He_108_v1v9_590	RXN-11598
S_S5_He_108_v1v9_591	DIHYDROFOLATEREDUCT-RXN
S_S5_He_108_v1v9_592	DIHYDROFOLATEREDUCT-RXN
S_S5_He_108_v1v9_593	THIAZOLSYN3-RXN
S_S5_He_108_v1v9_594	SHIKIMATE-KINASE-RXN
S_S5_He_108_v1v9_595	SHIKIMATE-KINASE-RXN
S_S5_He_108_v1v9_596	RXN-16076
S_S5_He_108_v1v9_596	RXN-16077
S_S5_He_108_v1v9_596	RXN-16032
S_S5_He_108_v1v9_596	RXN-16118
S_S5_He_108_v1v9_596	RXN-15043
S_S5_He_108_v1v9_596	RXN0-6705
S_S5_He_108_v1v9_596	RXN-16067
S_S5_He_108_v1v9_596	RXN-16066
S_S5_He_108_v1v9_596	RXN-16025
S_S5_He_108_v1v9_596	RXN0-5514
S_S5_He_108_v1v9_596	RXN-1623
S_S5_He_108_v1v9_596	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S5_He_108_v1v9_597	RXN-16076
S_S5_He_108_v1v9_597	RXN-16077
S_S5_He_108_v1v9_597	RXN-16032
S_S5_He_108_v1v9_597	RXN-16118
S_S5_He_108_v1v9_597	RXN-15043
S_S5_He_108_v1v9_597	RXN0-6705
S_S5_He_108_v1v9_597	RXN-16067
S_S5_He_108_v1v9_597	RXN-16066
S_S5_He_108_v1v9_597	RXN-16025
S_S5_He_108_v1v9_597	RXN0-5514
S_S5_He_108_v1v9_597	RXN-1623
S_S5_He_108_v1v9_597	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S5_He_108_v1v9_598	3.1.26.3-RXN
S_S5_He_108_v1v9_599	RXN-11637
S_S5_He_108_v1v9_600	HISTCYCLOHYD-RXN
S_S5_He_108_v1v9_601	RXN-11048
S_S5_He_108_v1v9_601	RXN0-1922
S_S5_He_108_v1v9_602	RXN-15294
S_S5_He_108_v1v9_603	NAD-SYNTH-GLN-RXN
S_S5_He_108_v1v9_604	RXN-8001
S_S5_He_108_v1v9_605	RXN-14569
S_S5_He_108_v1v9_606	RXN0-1321
S_S5_He_108_v1v9_606	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
S_S5_He_108_v1v9_607	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
S_S5_He_108_v1v9_608	VALINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_609	3PGAREARR-RXN
S_S5_He_108_v1v9_610	3PGAREARR-RXN
S_S5_He_108_v1v9_611	DXS-RXN
S_S5_He_108_v1v9_612	CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN
S_S5_He_108_v1v9_613	CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN
S_S5_He_108_v1v9_614	PREPHENATEDEHYDROG-RXN
S_S5_He_108_v1v9_615	DCMP-DEAMINASE-RXN
S_S5_He_108_v1v9_616	RXN-7913
S_S5_He_108_v1v9_616	RXN-11832
S_S5_He_108_v1v9_617	RXN-7913
S_S5_He_108_v1v9_617	RXN-11832
S_S5_He_108_v1v9_618	THREDEHYD-RXN
S_S5_He_108_v1v9_619	RFFTRANS-RXN
S_S5_He_108_v1v9_620	R345-RXN
S_S5_He_108_v1v9_621	COBALAMINSYN-RXN
S_S5_He_108_v1v9_621	COBALAMIN5PSYN-RXN
S_S5_He_108_v1v9_622	DMBPPRIBOSYLTRANS-RXN
S_S5_He_108_v1v9_623	RXN-6261
S_S5_He_108_v1v9_623	6.3.1.10-RXN
S_S5_He_108_v1v9_624	SERINE-O-ACETTRAN-RXN
S_S5_He_108_v1v9_625	SERINE-O-ACETTRAN-RXN
S_S5_He_108_v1v9_626	GLUTSEMIALDEHYDROG-RXN
S_S5_He_108_v1v9_627	GLUTKIN-RXN
S_S5_He_108_v1v9_628	2TRANSKETO-RXN
S_S5_He_108_v1v9_628	1TRANSKETO-RXN
S_S5_He_108_v1v9_629	2TRANSKETO-RXN
S_S5_He_108_v1v9_629	1TRANSKETO-RXN
S_S5_He_108_v1v9_630	2TRANSKETO-RXN
S_S5_He_108_v1v9_630	1TRANSKETO-RXN
S_S5_He_108_v1v9_631	2TRANSKETO-RXN
S_S5_He_108_v1v9_631	1TRANSKETO-RXN
S_S5_He_108_v1v9_632	2TRANSKETO-RXN
S_S5_He_108_v1v9_632	1TRANSKETO-RXN
S_S5_He_108_v1v9_633	2TRANSKETO-RXN
S_S5_He_108_v1v9_633	1TRANSKETO-RXN
S_S5_He_108_v1v9_634	2TRANSKETO-RXN
S_S5_He_108_v1v9_634	1TRANSKETO-RXN
S_S5_He_108_v1v9_635	2TRANSKETO-RXN
S_S5_He_108_v1v9_635	1TRANSKETO-RXN
S_S5_He_108_v1v9_636	2TRANSKETO-RXN
S_S5_He_108_v1v9_636	1TRANSKETO-RXN
S_S5_He_108_v1v9_637	2TRANSKETO-RXN
S_S5_He_108_v1v9_637	1TRANSKETO-RXN
S_S5_He_108_v1v9_638	2TRANSKETO-RXN
S_S5_He_108_v1v9_638	1TRANSKETO-RXN
S_S5_He_108_v1v9_639	2TRANSKETO-RXN
S_S5_He_108_v1v9_639	1TRANSKETO-RXN
S_S5_He_108_v1v9_640	SAICARSYN-RXN
S_S5_He_108_v1v9_641	S-ADENOSYLHOMOCYSTEINE-DEAMINASE-RXN
S_S5_He_108_v1v9_642	4.2.99.18-RXN
S_S5_He_108_v1v9_642	RXN0-2601
S_S5_He_108_v1v9_643	4.2.99.18-RXN
S_S5_He_108_v1v9_643	RXN0-2601
S_S5_He_108_v1v9_644	4.2.99.18-RXN
S_S5_He_108_v1v9_644	RXN0-2601
S_S5_He_108_v1v9_645	4.2.99.18-RXN
S_S5_He_108_v1v9_645	RXN0-2601
S_S5_He_108_v1v9_646	RXN-10035
S_S5_He_108_v1v9_647	ARGSUCCINSYN-RXN
S_S5_He_108_v1v9_647	RXN-10
S_S5_He_108_v1v9_648	1.8.1.4-RXN
S_S5_He_108_v1v9_648	RXN0-1132
S_S5_He_108_v1v9_648	RXN-7719
S_S5_He_108_v1v9_648	RXN-8629
S_S5_He_108_v1v9_648	RXN-7716
S_S5_He_108_v1v9_649	1.8.1.4-RXN
S_S5_He_108_v1v9_649	RXN0-1132
S_S5_He_108_v1v9_649	RXN-7719
S_S5_He_108_v1v9_649	RXN-8629
S_S5_He_108_v1v9_649	RXN-7716
S_S5_He_108_v1v9_650	TRIOSEPISOMERIZATION-RXN
S_S5_He_108_v1v9_651	TRIOSEPISOMERIZATION-RXN
S_S5_He_108_v1v9_652	TRIOSEPISOMERIZATION-RXN
S_S5_He_108_v1v9_653	RXN-12730
S_S5_He_108_v1v9_653	HOMOCYSMET-RXN
S_S5_He_108_v1v9_654	RXN-12730
S_S5_He_108_v1v9_654	HOMOCYSMET-RXN
S_S5_He_108_v1v9_655	RXN-12730
S_S5_He_108_v1v9_655	HOMOCYSMET-RXN
S_S5_He_108_v1v9_656	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S5_He_108_v1v9_657	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S5_He_108_v1v9_658	AMPSYN-RXN
S_S5_He_108_v1v9_658	AICARSYN-RXN
S_S5_He_108_v1v9_659	AMPSYN-RXN
S_S5_He_108_v1v9_659	AICARSYN-RXN
S_S5_He_108_v1v9_660	SHIKIMATE-5-DEHYDROGENASE-RXN
S_S5_He_108_v1v9_661	SHIKIMATE-5-DEHYDROGENASE-RXN
S_S5_He_108_v1v9_662	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S5_He_108_v1v9_662	RXN0-748
S_S5_He_108_v1v9_662	RXN0-747
S_S5_He_108_v1v9_662	GDPREDUCT-RXN
S_S5_He_108_v1v9_662	ADPREDUCT-RXN
S_S5_He_108_v1v9_662	RXN0-722
S_S5_He_108_v1v9_662	CDPREDUCT-RXN
S_S5_He_108_v1v9_662	UDPREDUCT-RXN
S_S5_He_108_v1v9_662	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S5_He_108_v1v9_663	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S5_He_108_v1v9_663	RXN0-748
S_S5_He_108_v1v9_663	RXN0-747
S_S5_He_108_v1v9_663	GDPREDUCT-RXN
S_S5_He_108_v1v9_663	ADPREDUCT-RXN
S_S5_He_108_v1v9_663	RXN0-722
S_S5_He_108_v1v9_663	CDPREDUCT-RXN
S_S5_He_108_v1v9_663	UDPREDUCT-RXN
S_S5_He_108_v1v9_663	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S5_He_108_v1v9_664	ASPARTATEKIN-RXN
S_S5_He_108_v1v9_665	ASPARTATEKIN-RXN
S_S5_He_108_v1v9_666	ASPARTATEKIN-RXN
S_S5_He_108_v1v9_667	HOMOSERDEHYDROG-RXN
S_S5_He_108_v1v9_668	HOMOCYSMETB12-RXN
S_S5_He_108_v1v9_669	HOMOCYSMETB12-RXN
S_S5_He_108_v1v9_670	ACNEULY-RXN
S_S5_He_108_v1v9_670	RXN-15313
S_S5_He_108_v1v9_671	3.4.11.4-RXN
S_S5_He_108_v1v9_672	ISOCITDEH-RXN
S_S5_He_108_v1v9_673	2.7.7.8-RXN
S_S5_He_108_v1v9_674	GUANPRIBOSYLTRAN-RXN
S_S5_He_108_v1v9_674	HYPOXANPRIBOSYLTRAN-RXN
S_S5_He_108_v1v9_675	RXN-9382
S_S5_He_108_v1v9_676	RXN-9382
S_S5_He_108_v1v9_677	RXN-9655
S_S5_He_108_v1v9_677	RXN-10061
S_S5_He_108_v1v9_677	RXN1G-760
S_S5_He_108_v1v9_677	RXN-10656
S_S5_He_108_v1v9_677	RXN1G-220
S_S5_He_108_v1v9_677	RXN-9537
S_S5_He_108_v1v9_677	RXN-9533
S_S5_He_108_v1v9_677	RXN-9557
S_S5_He_108_v1v9_677	4.2.1.61-RXN
S_S5_He_108_v1v9_677	RXN1G-884
S_S5_He_108_v1v9_677	RXN1G-648
S_S5_He_108_v1v9_677	RXN1G-645
S_S5_He_108_v1v9_677	RXN-16623
S_S5_He_108_v1v9_677	RXN1G-355
S_S5_He_108_v1v9_677	RXN1G-377
S_S5_He_108_v1v9_677	RXN1G-27
S_S5_He_108_v1v9_677	4.2.1.59-RXN
S_S5_He_108_v1v9_677	RXN1G-214
S_S5_He_108_v1v9_677	RXN1G-294
S_S5_He_108_v1v9_677	RXN-11481
S_S5_He_108_v1v9_677	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
S_S5_He_108_v1v9_677	RXN1G-279
S_S5_He_108_v1v9_677	RXN1G-1004
S_S5_He_108_v1v9_677	RXN1G-912
S_S5_He_108_v1v9_677	RXN-10660
S_S5_He_108_v1v9_677	RXN-16627
S_S5_He_108_v1v9_677	RXN-9520
S_S5_He_108_v1v9_677	RXN1G-266
S_S5_He_108_v1v9_677	RXN1G-1081
S_S5_He_108_v1v9_677	RXN1G-1084
S_S5_He_108_v1v9_677	RXN1G-420
S_S5_He_108_v1v9_677	RXN1G-425
S_S5_He_108_v1v9_677	RXN1G-1278
S_S5_He_108_v1v9_677	RXN0-2144
S_S5_He_108_v1v9_677	RXN1G-440
S_S5_He_108_v1v9_677	RXN1G-127
S_S5_He_108_v1v9_677	RXN1G-464
S_S5_He_108_v1v9_677	RXN-16631
S_S5_He_108_v1v9_677	RXN-16619
S_S5_He_108_v1v9_677	RXN1G-363
S_S5_He_108_v1v9_677	RXN1G-554
S_S5_He_108_v1v9_677	RXN1G-309
S_S5_He_108_v1v9_677	RXN1G-308
S_S5_He_108_v1v9_677	RXN1G-320
S_S5_He_108_v1v9_677	RXN1G-188
S_S5_He_108_v1v9_677	RXN1G-517
S_S5_He_108_v1v9_677	RXN-11477
S_S5_He_108_v1v9_677	4.2.1.58-RXN
S_S5_He_108_v1v9_677	RXN-9634
S_S5_He_108_v1v9_678	RXN-10781
S_S5_He_108_v1v9_678	RXN-5424
S_S5_He_108_v1v9_678	METHANOL-DEHYDROGENASE-RXN
S_S5_He_108_v1v9_678	RXN-15818
S_S5_He_108_v1v9_678	RXN3O-4113
S_S5_He_108_v1v9_678	RXN-12448
S_S5_He_108_v1v9_678	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S5_He_108_v1v9_678	RXN-7694
S_S5_He_108_v1v9_678	RXN-7693
S_S5_He_108_v1v9_678	RXN-7657
S_S5_He_108_v1v9_678	ALCOHOL-DEHYDROG-RXN
S_S5_He_108_v1v9_678	RXN-7700
S_S5_He_108_v1v9_678	RXN-7706
S_S5_He_108_v1v9_678	RXN-10911
S_S5_He_108_v1v9_678	RXN-10915
S_S5_He_108_v1v9_678	RXN66-478
S_S5_He_108_v1v9_678	RXN-15823
S_S5_He_108_v1v9_678	RXN-13198
S_S5_He_108_v1v9_679	RXN-10781
S_S5_He_108_v1v9_679	RXN-5424
S_S5_He_108_v1v9_679	METHANOL-DEHYDROGENASE-RXN
S_S5_He_108_v1v9_679	RXN-15818
S_S5_He_108_v1v9_679	RXN3O-4113
S_S5_He_108_v1v9_679	RXN-12448
S_S5_He_108_v1v9_679	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S5_He_108_v1v9_679	RXN-7694
S_S5_He_108_v1v9_679	RXN-7693
S_S5_He_108_v1v9_679	RXN-7657
S_S5_He_108_v1v9_679	ALCOHOL-DEHYDROG-RXN
S_S5_He_108_v1v9_679	RXN-7700
S_S5_He_108_v1v9_679	RXN-7706
S_S5_He_108_v1v9_679	RXN-10911
S_S5_He_108_v1v9_679	RXN-10915
S_S5_He_108_v1v9_679	RXN66-478
S_S5_He_108_v1v9_679	RXN-15823
S_S5_He_108_v1v9_679	RXN-13198
S_S5_He_108_v1v9_680	RXN-10781
S_S5_He_108_v1v9_680	RXN-5424
S_S5_He_108_v1v9_680	METHANOL-DEHYDROGENASE-RXN
S_S5_He_108_v1v9_680	RXN-15818
S_S5_He_108_v1v9_680	RXN3O-4113
S_S5_He_108_v1v9_680	RXN-12448
S_S5_He_108_v1v9_680	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S5_He_108_v1v9_680	RXN-7694
S_S5_He_108_v1v9_680	RXN-7693
S_S5_He_108_v1v9_680	RXN-7657
S_S5_He_108_v1v9_680	ALCOHOL-DEHYDROG-RXN
S_S5_He_108_v1v9_680	RXN-7700
S_S5_He_108_v1v9_680	RXN-7706
S_S5_He_108_v1v9_680	RXN-10911
S_S5_He_108_v1v9_680	RXN-10915
S_S5_He_108_v1v9_680	RXN66-478
S_S5_He_108_v1v9_680	RXN-15823
S_S5_He_108_v1v9_680	RXN-13198
S_S5_He_108_v1v9_681	GLURS-RXN
S_S5_He_108_v1v9_682	CHORISMATE-SYNTHASE-RXN
S_S5_He_108_v1v9_683	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
S_S5_He_108_v1v9_684	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
S_S5_He_108_v1v9_685	PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN
S_S5_He_108_v1v9_686	PGLUCISOM-RXN
S_S5_He_108_v1v9_686	RXN-6182
S_S5_He_108_v1v9_686	RXN-13720
S_S5_He_108_v1v9_687	PGLUCISOM-RXN
S_S5_He_108_v1v9_687	RXN-6182
S_S5_He_108_v1v9_687	RXN-13720
S_S5_He_108_v1v9_688	PGLUCISOM-RXN
S_S5_He_108_v1v9_688	RXN-6182
S_S5_He_108_v1v9_688	RXN-13720
S_S5_He_108_v1v9_689	RXN66-546
S_S5_He_108_v1v9_689	PYRROLINECARBREDUCT-RXN
S_S5_He_108_v1v9_690	DGTPTRIPHYDRO-RXN
S_S5_He_108_v1v9_691	DGTPTRIPHYDRO-RXN
S_S5_He_108_v1v9_692	DGTPTRIPHYDRO-RXN
S_S5_He_108_v1v9_693	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
S_S5_He_108_v1v9_694	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
S_S5_He_108_v1v9_695	NICONUCADENYLYLTRAN-RXN
S_S5_He_108_v1v9_696	NICONUCADENYLYLTRAN-RXN
S_S5_He_108_v1v9_697	DETHIOBIOTIN-SYN-RXN
S_S5_He_108_v1v9_698	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
S_S5_He_108_v1v9_699	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
S_S5_He_108_v1v9_700	2-DEHYDROPANTOATE-REDUCT-RXN
S_S5_He_108_v1v9_701	2-DEHYDROPANTOATE-REDUCT-RXN
S_S5_He_108_v1v9_702	2-DEHYDROPANTOATE-REDUCT-RXN
S_S5_He_108_v1v9_703	FORMATETHFLIG-RXN
S_S5_He_108_v1v9_704	GLYRIBONUCSYN-RXN
S_S5_He_108_v1v9_705	RXN-11365
S_S5_He_108_v1v9_706	RXN-11365
S_S5_He_108_v1v9_707	RXN0-4361
S_S5_He_108_v1v9_708	RXN0-4361
S_S5_He_108_v1v9_709	RXN0-4301
S_S5_He_108_v1v9_710	GLUTAMINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_711	RXN-11586
S_S5_He_108_v1v9_712	RXN-11586
S_S5_He_108_v1v9_713	RXN0-5189
S_S5_He_108_v1v9_714	RXN0-5189
S_S5_He_108_v1v9_715	RXN-9939
S_S5_He_108_v1v9_715	SPERMACTRAN-RXN
S_S5_He_108_v1v9_715	DIAMACTRANS-RXN
S_S5_He_108_v1v9_715	RXN-0
S_S5_He_108_v1v9_716	RXN-9939
S_S5_He_108_v1v9_716	SPERMACTRAN-RXN
S_S5_He_108_v1v9_716	DIAMACTRANS-RXN
S_S5_He_108_v1v9_716	RXN-0
S_S5_He_108_v1v9_717	DAPASYN-RXN
S_S5_He_108_v1v9_718	2.8.1.6-RXN
S_S5_He_108_v1v9_719	2.8.1.6-RXN
S_S5_He_108_v1v9_720	RXN-11601
S_S5_He_108_v1v9_721	RXN-11601
S_S5_He_108_v1v9_722	RXN-11601
S_S5_He_108_v1v9_723	PROLINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_724	PROLINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_725	RXN-14992
S_S5_He_108_v1v9_726	DIAMINOPIMEPIM-RXN
S_S5_He_108_v1v9_727	DIAMINOPIMEPIM-RXN
S_S5_He_108_v1v9_728	RXN3O-54
S_S5_He_108_v1v9_728	RXN-9235
S_S5_He_108_v1v9_728	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN
S_S5_He_108_v1v9_728	RXN-9242
S_S5_He_108_v1v9_728	RXN-9227
S_S5_He_108_v1v9_728	RXN-11754
S_S5_He_108_v1v9_729	RXN-11046
S_S5_He_108_v1v9_729	RXN-9205
S_S5_He_108_v1v9_729	RXN-14177
S_S5_He_108_v1v9_729	RXN-9220
S_S5_He_108_v1v9_729	RXN-9191
S_S5_He_108_v1v9_729	RXN-9363
S_S5_He_108_v1v9_729	RXN-9362
S_S5_He_108_v1v9_729	RXN-9361
S_S5_He_108_v1v9_729	RXN-9366
S_S5_He_108_v1v9_729	ADOMET-DMK-METHYLTRANSFER-RXN
S_S5_He_108_v1v9_730	ARGSUCCINLYA-RXN
S_S5_He_108_v1v9_730	RXN-22
S_S5_He_108_v1v9_731	RXN-14354
S_S5_He_108_v1v9_731	RXN-14261
S_S5_He_108_v1v9_731	RXN-14260
S_S5_He_108_v1v9_731	AMYLOMALT-RXN
S_S5_He_108_v1v9_731	RXN-9023
S_S5_He_108_v1v9_731	RXN-12193
S_S5_He_108_v1v9_731	RXN-1828
S_S5_He_108_v1v9_731	RXN-12391
S_S5_He_108_v1v9_732	3.1.21.2-RXN
S_S5_He_108_v1v9_733	3.1.21.2-RXN
S_S5_He_108_v1v9_734	RXN0-5063
S_S5_He_108_v1v9_735	RXN0-6366
S_S5_He_108_v1v9_736	CYSTEINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_737	3.4.21.102-RXN
S_S5_He_108_v1v9_738	SUCCINYLDIAMINOPIMTRANS-RXN
S_S5_He_108_v1v9_739	RXN-15007
S_S5_He_108_v1v9_739	ACETYLORNTRANSAM-RXN
S_S5_He_108_v1v9_740	RXN0-5515
S_S5_He_108_v1v9_740	CDPDIGLYSYN-RXN
S_S5_He_108_v1v9_741	RXN0-6710
S_S5_He_108_v1v9_742	RXN0-6710
S_S5_He_108_v1v9_743	RXN0-6710
S_S5_He_108_v1v9_744	RXN0-6710
S_S5_He_108_v1v9_745	POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN
S_S5_He_108_v1v9_746	RXN-13403
S_S5_He_108_v1v9_747	PHOSPHAGLYPSYN-RXN
S_S5_He_108_v1v9_748	PHOSPHAGLYPSYN-RXN
S_S5_He_108_v1v9_749	DNA-LIGASE-NAD+-RXN
S_S5_He_108_v1v9_750	DNA-LIGASE-NAD+-RXN
S_S5_He_108_v1v9_751	DNA-LIGASE-NAD+-RXN
S_S5_He_108_v1v9_752	DNA-LIGASE-NAD+-RXN
S_S5_He_108_v1v9_753	PREPHENATEDEHYDRAT-RXN
S_S5_He_108_v1v9_754	CITSYN-RXN
S_S5_He_108_v1v9_755	CITSYN-RXN
S_S5_He_108_v1v9_756	RXN-11860
S_S5_He_108_v1v9_756	RXN-11865
S_S5_He_108_v1v9_757	2.5.1.19-RXN
S_S5_He_108_v1v9_758	THREONINE-ALDOLASE-RXN
S_S5_He_108_v1v9_758	LTAA-RXN
S_S5_He_108_v1v9_759	ACETOOHBUTREDUCTOISOM-RXN
S_S5_He_108_v1v9_759	ACETOLACTREDUCTOISOM-RXN
S_S5_He_108_v1v9_760	RXN-11737
S_S5_He_108_v1v9_760	ASPAMINOTRANS-RXN
S_S5_He_108_v1v9_760	RXN-13697
S_S5_He_108_v1v9_760	RXN-10814
S_S5_He_108_v1v9_761	RXN-11737
S_S5_He_108_v1v9_761	ASPAMINOTRANS-RXN
S_S5_He_108_v1v9_761	RXN-13697
S_S5_He_108_v1v9_761	RXN-10814
S_S5_He_108_v1v9_762	RXN-8999
S_S5_He_108_v1v9_763	2.7.1.148-RXN
S_S5_He_108_v1v9_764	RXN-15005
S_S5_He_108_v1v9_764	ACETYLGLUTKIN-RXN
S_S5_He_108_v1v9_765	IMPCYCLOHYDROLASE-RXN
S_S5_He_108_v1v9_766	AICARTRANSFORM-RXN
S_S5_He_108_v1v9_767	SUPEROX-DISMUT-RXN
S_S5_He_108_v1v9_768	ARGININE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_769	R341-RXN
S_S5_He_108_v1v9_770	RXN-8769
S_S5_He_108_v1v9_772	RXN0-1441
S_S5_He_108_v1v9_773	RXN0-1441
S_S5_He_108_v1v9_774	CHORISMATEMUT-RXN
S_S5_He_108_v1v9_775	CHORISMATEMUT-RXN
S_S5_He_108_v1v9_776	5.99.1.2-RXN
S_S5_He_108_v1v9_777	5.99.1.2-RXN
S_S5_He_108_v1v9_778	5.99.1.2-RXN
S_S5_He_108_v1v9_779	5.99.1.2-RXN
S_S5_He_108_v1v9_780	5.99.1.2-RXN
S_S5_He_108_v1v9_781	5.99.1.2-RXN
S_S5_He_108_v1v9_782	5.99.1.2-RXN
S_S5_He_108_v1v9_783	RXN-14047
S_S5_He_108_v1v9_784	METHYLENETHFDEHYDROG-NADP-RXN
S_S5_He_108_v1v9_785	RXN-11588
S_S5_He_108_v1v9_786	LEUCINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_787	LEUCINE--TRNA-LIGASE-RXN
S_S5_He_108_v1v9_788	S-ADENMETSYN-RXN
S_S5_He_108_v1v9_789	3.4.21.92-RXN
S_S5_He_108_v1v9_790	3.4.21.92-RXN
S_S5_He_108_v1v9_791	3.4.21.92-RXN
S_S5_He_108_v1v9_792	RXN-14570
S_S5_He_108_v1v9_793	RXN0-6274
S_S5_He_108_v1v9_794	4.99.1.3-RXN
S_S5_He_108_v1v9_794	RXN-8759
S_S5_He_108_v1v9_795	ARGDECARBOX-RXN
S_S5_He_108_v1v9_796	RXN-13037
S_S5_He_108_v1v9_796	RXN0-947
S_S5_He_108_v1v9_797	RXN-14063
S_S5_He_108_v1v9_797	COBINAMIDEKIN-RXN
S_S5_He_108_v1v9_797	2.7.1.156-RXN
S_S5_He_108_v1v9_798	COBINPGUANYLYLTRANS-RXN
S_S5_He_108_v1v9_799	RXN-8976
S_S5_He_108_v1v9_799	RXN-11029
S_S5_He_108_v1v9_799	NACGLCTRANS-RXN
S_S5_He_108_v1v9_799	RXN-11346
S_S5_He_108_v1v9_800	UDP-NACMURALA-GLU-LIG-RXN
S_S5_He_108_v1v9_801	RXN-8975
S_S5_He_108_v1v9_801	RXN-11347
S_S5_He_108_v1v9_801	PHOSNACMURPENTATRANS-RXN
S_S5_He_108_v1v9_802	UDP-NACMURALGLDAPAALIG-RXN
S_S5_He_108_v1v9_802	6.3.2.10-RXN
S_S5_He_108_v1v9_803	UDP-NACMURALGLDAPLIG-RXN
S_S5_He_108_v1v9_804	RXN-11638
S_S5_He_108_v1v9_805	RXN-11638
S_S5_He_108_v1v9_807	RXN-10060
S_S5_He_108_v1v9_807	RXN-9518
S_S5_He_108_v1v9_807	RXN-9514
S_S5_He_108_v1v9_807	RXN-10655
S_S5_He_108_v1v9_807	RXN-10659
S_S5_He_108_v1v9_807	RXN-9536
S_S5_He_108_v1v9_807	RXN1G-240
S_S5_He_108_v1v9_807	RXN1G-203
S_S5_He_108_v1v9_807	RXN-13008
S_S5_He_108_v1v9_807	RXN-9556
S_S5_He_108_v1v9_807	RXN-9552
S_S5_He_108_v1v9_807	RXN1G-1247
S_S5_He_108_v1v9_807	RXN1G-881
S_S5_He_108_v1v9_807	RXN-16622
S_S5_He_108_v1v9_807	RXN-16626
S_S5_He_108_v1v9_807	RXN1G-358
S_S5_He_108_v1v9_807	RXN1G-157
S_S5_He_108_v1v9_807	RXN1G-508
S_S5_He_108_v1v9_807	RXN-9532
S_S5_He_108_v1v9_807	RXN0-2142
S_S5_He_108_v1v9_807	RXN1G-717
S_S5_He_108_v1v9_807	RXN-11480
