Pathway	Reactions
SULFATE-CYS-PWY	RXN0-5114 // PGLYCDEHYDROG-RXN // PSERTRANSAM-RXN // ACSERLY-RXN // SERINE-O-ACETTRAN-RXN // ADENYLYLSULFKIN-RXN // SULFATE-ADENYLYLTRANS-RXN // 1.8.4.8-RXN // SULFITE-REDUCT-RXN
PWY-7016	RXN-13205 // RXN-13176 // RXN-13177 // RXN-13174 // RXN-13175
PWY-6986	RXN-23841 // RXN-23840 // 4.2.2.11-RXN // 4.2.2.3-RXN // DEOXYGLUCONOKIN-RXN // RXN-12877 // RXN-13040
PWY-7014	RXN-13123 // RXN-13122 // RXN-13116 // RXN-13117 // RXN-13119 // RXN-13118
ORNARGDEG-PWY	RXN-6423 // ORNDECARBOX-RXN // PUTTRANSAM-RXN // AMINOBUTDEHYDROG-RXN // SUCCSEMIALDDEHYDROG-RXN // SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // GABATRANSAM-RXN // AGMATIN-RXN // ARGDECARBOX-RXN // RXN0-3901 // RXN0-3921 // RXN0-3922 // RXN0-3942
SUCSYN-PWY	PGLUCISOM-RXN // PHOSPHOGLUCMUT-RXN // GLUC1PURIDYLTRANS-RXN // F16BDEPHOS-RXN // F16ALDOLASE-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // SUCROSE-PHOSPHATASE-RXN // SUCROSE-PHOSPHATE-SYNTHASE-RXN
PWY-6185	RXN-10086 // RXN-10085 // RXN-10083 // RXN-10082 // RXN-10081 // 5.4.99.14-RXN // RXN-10080
PWY-6182	SALICYLATE-1-MONOOXYGENASE-RXN // RXN-3641 // 3-OXOADIPATE-COA-TRANSFERASE-RXN // 3-OXOADIPATE-ENOL-LACTONASE-RXN // MUCONOLACTONE-DELTA-ISOMERASE-RXN // MUCONATE-CYCLOISOMERASE-RXN // CATECHOL-12-DIOXYGENASE-RXN
THREOCAT-PWY	4.1.1.81-RXN // RXN-8626 // ACETOOHBUTSYN-RXN // ACETOOHBUTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN // RXN-15121 // RXN-15123 // RXN-15122 // PROPKIN-RXN // PTAALT-RXN // KETOBUTFORMLY-RXN // AKBLIG-RXN // AMACETOXID-RXN // THREOSPON-RXN // THREODEHYD-RXN // ACETALD-DEHYDROG-RXN // THREONINE-ALDOLASE-RXN
DHGLUCONATE-PYR-CAT-PWY	RXN0-6373 // GLUCONOLACT-RXN // GLUCONATE-2-DEHYDROGENASE-RXN // 1.1.1.43-RXN // DEHYDOGLUCONOKINASE-RXN
CHLOROPHYLL-SYN	RXN-5285 // RXN-5282 // RXN-5283 // RXN-5284 // RXN0-1461 // RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN // RXN1F-20 // UROGENDECARBOX-RXN // PROTOPORGENOXI-RXN
TRNA-CHARGING-PWY	RXN-16165 // GLYCINE--TRNA-LIGASE-RXN // HISTIDINE--TRNA-LIGASE-RXN // LYSINE--TRNA-LIGASE-RXN // METHIONINE--TRNA-LIGASE-RXN // PHENYLALANINE--TRNA-LIGASE-RXN // PROLINE--TRNA-LIGASE-RXN // SERINE--TRNA-LIGASE-RXN // THREONINE--TRNA-LIGASE-RXN // TRYPTOPHAN--TRNA-LIGASE-RXN // TYROSINE--TRNA-LIGASE-RXN // ASPARTATE--TRNA-LIGASE-RXN // ASPARAGINE--TRNA-LIGASE-RXN // ALANINE--TRNA-LIGASE-RXN // VALINE--TRNA-LIGASE-RXN // LEUCINE--TRNA-LIGASE-RXN // ISOLEUCINE--TRNA-LIGASE-RXN // GLURS-RXN // GLUTAMINE--TRNA-LIGASE-RXN // CYSTEINE--TRNA-LIGASE-RXN // ARGININE--TRNA-LIGASE-RXN
PWY-6167	DIOHBUTANONEPSYN-RXN // FADSYN-RXN // RXN-9296 // RIBOFLAVIN-SYN-RXN // LUMAZINESYN-RXN // RXN-10055 // RXN-10056 // RXN-10057 // RXN-10058 // RIBOPHOSPHAT-RXN
PWY-6339	RXN-13747 // OXALODECARB-RXN // METHYLGALLATE-RXN // RXN-2462 // RXN-10893 // RXN-10889 // RXN-2464 // RXN-2463 // RXN-9983 // GALLATE-DIOXYGENASE-RXN // RXN-10892 // RXN-10890
PWY-6338	1.2.1.67-RXN // RXN-2 // RXN-2464 // OXALODECARB-RXN // 1.2.1.45-RXN // RXN-9983 // RXN-2462 // RXN-2463 // R107-RXN // PROTOCATECHUATE-45-DIOXYGENASE-RXN
PWY-7274	RXN-12537 // RXN-14457 // RXN-14458 // RXN-14460 // SERINE-O-ACETTRAN-RXN // RXN-14459
FOLSYN-PWY	METHENYLTHFCYCLOHYDRO-RXN // GART-RXN // ADCLY-RXN // PABASYN-RXN // GTP-CYCLOHYDRO-I-RXN // H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN // DIHYDROFOLATEREDUCT-RXN // DIHYDROFOLATESYNTH-RXN // H2PTEROATESYNTH-RXN
PPGPPMET-PWY	GDPKIN-RXN // RXN0-6427 // GDPPYPHOSKIN-RXN // GTPPYPHOSKIN-RXN // PPGPPSYN-RXN // PPPGPPHYDRO-RXN
GLYCOLYSIS	TRANS-RXN-157 // RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // PGLUCISOM-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN
CYCLOHEXANOL-OXIDATION-PWY	6-HEXANOLIDE-HYDROLYSIS-RXN // 6-HYDROXYHEXANOATE-OXIDATION-RXN // 6-OXOHEXANOATE-OXIDATION-RXN // CYCLOHEXANONE-MONOOXYGENASE-RXN // CYCLOHEXANOL-DEHYDROGENASE-RXN
PWY-7110	RXN-12769 // RXN-12768 // RXN-12767 // 2.6.1.33-RXN // RXN-12942 // RXN-12941 // RXN-12940 // RXN-12935 // ERYTHRONOLIDE-SYNTHASE-RXN // RXN-12808 // RXN-12933 // RXN-12918 // RXN-12404 // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-15233 // RXN-12943 // RXN-13667 // RXN-13660 // RXN-13659 // RXN-13661 // RXN-12925
PWY-5427	RXNN-386 // 1.2.1.65-RXN // RXN-8615 // RXN-8612 // 1.3.1.29-RXN // NAPHTHALENE-12-DIOXYGENASE-RXN
P562-PWY	RXN-14150 // RXN-14149 // MYO-INOSOSE-2-DEHYDRATASE-RXN // MYO-INOSITOL-2-DEHYDROGENASE-RXN // RXN-2902 // 4.1.2.29-RXN // 5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN
PWY-6519	RXN-11484 // RXN-11474 // RXN-11475 // RXN-11476 // RXN-11477 // RXN-11478 // RXN-11479 // RXN-11480 // RXN-11481 // RXN-11482 // RXN-11483
PWY-6516	RXN-16475 // 1.1.1.127-RXN // 5.3.1.17-RXN // GKI-RXN // GLUCARDEHYDRA-RXN // TSA-REDUCT-RXN // KDGALDOL-RXN // GALACTARDEHYDRA-RXN // RXN-15907 // RXN-15905 // RXN-11407 // RXN-14753 // RXN-11151 // RXN-11382 // RXN-11381 // RXN-11380 // 25-DIOXOVALERATE-DEHYDROGENASE-RXN // 4.2.1.41-RXN // RXN-15902 // RXN-15901 // URONATE-DEHYDROGENASE-RXN // GALACTUROISOM-RXN // ALTRO-OXIDOREDUCT-RXN // ALTRODEHYDRAT-RXN // RXN-14693 // BETA-GLUCURONID-RXN // GLUCUROISOM-RXN // KDPGALDOL-RXN // DEOXYGLUCONOKIN-RXN // MANNONDEHYDRAT-RXN // MANNONOXIDOREDUCT-RXN
PWY0-1296	PPENTOMUT-RXN // RXN0-5199 // INOPHOSPHOR-RXN // ADENODEAMIN-RXN // ADENPHOSPHOR-RXN // XANTHOSINEPHOSPHORY-RXN
PWY0-1297	ACETALD-DEHYDROG-RXN // DEOXYRIBOSE-P-ALD-RXN // D-PPENTOMUT-RXN // ADDALT-RXN // DEOXYADENPHOSPHOR-RXN // DEOXYGUANPHOSPHOR-RXN // DEOXYINOPHOSPHOR-RXN
PWY-6604	ACETOACETYL-COA-TRANSFER-RXN // 2.8.3.9-RXN // ACETOACETATE-DECARBOXYLASE-RXN // ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN // ENZRXN-201-RXN // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // PHOSACETYLTRANS-RXN // ACETATEKIN-RXN // RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // BUTYRATE-KINASE-RXN // PHOSPHATE-BUTYRYLTRANSFERASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-6609	HYPOXANPRIBOSYLTRAN-RXN // ADENODEAMIN-RXN // ADENPHOSPHOR-RXN // INOPHOSPHOR-RXN
PWY-6608	RXN0-5199 // RXN0-901 // RXN-7609 // GUANINE-DEAMINASE-RXN
PWY0-1298	ACETALD-DEHYDROG-RXN // DEOXYRIBOSE-P-ALD-RXN // D-PPENTOMUT-RXN // THYM-PHOSPH-RXN // URA-PHOSPH-RXN // CYTIDEAM-RXN
PWY-5420	RXN-8527 // RXN-8529 // 4.1.1.77-RXN // CATECHOL-23-DIOXYGENASE-RXN // ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN
PWY-7483	RXN-14695 // RXN-15056 // RXN-11975 // RXN-15413 // RXN-15412 // RXN-15409 // RXN-15408 // RXN-15407 // RXN-15406 // RXN-15405 // RXN-15404 // RXN-15403 // RXN-15402
OANTIGEN-PWY	PGLUCISOM-RXN // 5.4.2.10-RXN // L-GLN-FRUCT-6-P-AMINOTRANS-RXN // 2.3.1.157-RXN // NAG1P-URIDYLTRANS-RXN // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // DTDPDEHYRHAMREDUCT-RXN // DTDPDEHYDRHAMEPIM-RXN // GALPMUT-RXN
THRESYN-PWY	ASPAMINOTRANS-RXN // THRESYN-RXN // HOMOSERKIN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-5519	RXN-14807 // 25-DIOXOVALERATE-DEHYDROGENASE-RXN // RXN-8777 // ARABINONATE-DEHYDRATASE-RXN // D-ARABINONOLACTONASE-RXN // RXN-8776
KDO-NAGLIPASYN-PWY	RXN-16804 // DARAB5PISOM-RXN // KDO-8PSYNTH-RXN // KDO-8PPHOSPHAT-RXN // CPM-KDOSYNTH-RXN // MYRPALMTRAN-RXN // PALMITOTRANS-RXN // MYRISTOYLACYLTRAN-RXN // LAUROYLACYLTRAN-RXN // UDPNACETYLGLUCOSAMACYLTRANS-RXN // UDPACYLGLCNACDEACETYL-RXN // UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN // LIPIDXSYNTHESIS-RXN // TETRAACYLDISACC4KIN-RXN // LIPIDADISACCHARIDESYNTH-RXN // KDOTRANS2-RXN // KDOTRANS-RXN
PWY-7242	KDPGALDOL-RXN // DEOXYGLUCONOKIN-RXN // MANNONDEHYDRAT-RXN // MANNONOXIDOREDUCT-RXN
PWY-5737	RXN-14903 // RXN-8949 // RXN-8948 // RXN-8947
PWY-6993	RXN-13089 // RXN-13088 // SUCCSEMIALDDEHYDROG-RXN // MALEATE-ISOMERASE-RXN // RXN-646 // RXN-11318 // 1.13.11.9-RXN // RXN-13076 // RXN-13077 // RXN-13082 // RXN-13081
PWY-6992	PGLUCISOM-RXN // MANNPISOM-RXN // MANNKIN-RXN // RXN-13064 // 1.1.1.292-RXN
ANAGLYCOLYSIS-PWY	3PGAREARR-RXN // GLUCOKIN-RXN // PGLUCISOM-RXN // RXN-15513 // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // TRIOSEPISOMERIZATION-RXN // F16ALDOLASE-RXN // 6PFRUCTPHOS-RXN
PWY-5647	3.5.99.5-RXN // 4.1.1.77-RXN // 1.2.1.32-RXN // AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN // 1.13.11.6-RXN // RXN-8846 // RXN-8847
P122-PWY	GLUCOKIN-RXN // GLU6PDEHYDROG-RXN // PGLUCISOM-RXN // FRUCTOKINASE-RXN // DLACTDEHYDROGNAD-RXN // L-LACTATE-DEHYDROGENASE-RXN // 6PGLUCONOLACT-RXN // ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN // PHOSACETYLTRANS-RXN // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // RXN-15513 // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // PHOSPHOKETOLASE-RXN // RIBULP3EPIM-RXN // 6PGLUCONDEHYDROG-RXN
AST-PWY	SUCCGLUDESUCC-RXN // SUCCGLUALDDEHYD-RXN // SUCCORNTRANSAM-RXN // SUCCARGDIHYDRO-RXN // ARGININE-N-SUCCINYLTRANSFERASE-RXN
PWY-1422	RXN-2562 // RXN-2561 // TOCOPHEROL-O-METHYLTRANSFERASE-RXN // RXN-2543 // RXN-2542 // RXN-2541 // 4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
NAGLIPASYN-PWY	UDPNACETYLGLUCOSAMACYLTRANS-RXN // UDPACYLGLCNACDEACETYL-RXN // UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN // LIPIDXSYNTHESIS-RXN // TETRAACYLDISACC4KIN-RXN // LIPIDADISACCHARIDESYNTH-RXN
PWY-6049	RXN-9736 // RXN-16013 // RXN-16012 // RXN-16011 // RXN-16010 // RXN-12571 // RXN-12572 // DIMETHYLPROPIOTHETIN-DETHIOMETHYLASE-RXN
SO4ASSIM-PWY	ADENYLYLSULFKIN-RXN // SULFATE-ADENYLYLTRANS-RXN // 1.8.4.8-RXN // SULFITE-REDUCT-RXN
GLYCOLYSIS-E-D	GLU6PDEHYDROG-RXN // 6PGLUCONOLACT-RXN // TRANS-RXN-157 // RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // PGLUCISOM-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // PGLUCONDEHYDRAT-RXN // KDPGALDOL-RXN
PWY-1882	METHANE-MONOOXYGENASE-RXN // 1.2.1.2-RXN // RXN-2884 // 3.5.4.27-RXN // RXN-2883 // RXN-2882 // FORMALDEHYDE-DEHYDROGENASE-RXN // RXN-2962 // RXN-2961 // S-FORMYLGLUTATHIONE-HYDROLASE-RXN // RXN-2841 // RXN-2861
P161-PWY	ALCOHOL-DEHYDROG-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // ACETALD-DEHYDROG-RXN // R141-RXN
LIPASYN-PWY	3.1.4.11-RXN // PHOSPHOLIPASE-C-RXN // PHOSPHOLIPASE-A1-RXN // PHOSPHOLIPASE-A2-RXN // PHOSCHOL-RXN
PWY-7106	ERYTHRONOLIDE-SYNTHASE-RXN // RXN-12808 // RXN-12933 // RXN-12918
PWY-7102	RXN-8429 // RXN-8549 // RXN-8550 // FPPSYN-RXN // IPPISOM-RXN // GPPSYN-RXN
CRNFORCAT-PWY	SARCOX-RXN // SARCOSINE-DEHYDROGENASE-RXN // CREATINASE-RXN // CREATININASE-RXN
PWY-3001	RXN-15121 // RXN-15123 // RXN-15122 // ACETOOHBUTSYN-RXN // ACETOOHBUTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN // THRESYN-RXN // HOMOSERKIN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // ASPAMINOTRANS-RXN
PENTOSE-P-PWY	GLU6PDEHYDROG-RXN // RXN-9952 // 6PGLUCONOLACT-RXN // RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // 2TRANSKETO-RXN // TRANSALDOL-RXN
PWY-6728	RXN-14937 // MALYL-COA-LYASE-RXN // RXN-14971 // MALATE-DEH-RXN // ISOCITDEH-RXN // FUMHYDR-RXN // SUCCCOASYN-RXN // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // RXN-8960 // RXN-8961 // PROPIONYL-COA-CARBOXY-RXN // RXN-12168 // METHYLASPARTATE-AMMONIA-LYASE-RXN // METHYLASPARTATE-MUTASE-RXN // GLUTAMATE-DEHYDROGENASE-RXN // ACONITATEHYDR-RXN // CITSYN-RXN // ACONITATEDEHYDR-RXN
PWY-6676	RXN-11940 // RXN-15349 // RXN-23217 // RXN-23218 // SULFATE-ADENYLYLTRANS-RXN // RXN-21586 // RXN-17803 // RXN-16435 // RXN-16434 // RXN-11941 // RXN-11942 // R17-RXN
PWY-5345	ADENYLYLSULFKIN-RXN // SULFATE-ADENYLYLTRANS-RXN // 1.8.4.8-RXN // SULFITE-REDUCT-RXN // HOMOCYSMETB12-RXN // HOMOCYSMET-RXN // HOMOSERINE-O-ACETYLTRANSFERASE-RXN // ACETYLHOMOSER-CYS-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // ASPAMINOTRANS-RXN
PWY-5347	CYSTATHIONINE-BETA-LYASE-RXN // HOMOCYSMETB12-RXN // O-SUCCHOMOSERLYASE-RXN // HOMOCYSMET-RXN // HOMSUCTRAN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // ASPAMINOTRANS-RXN
PWY-5430	RXN-8527 // RXN-8529 // 4.1.1.77-RXN // ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // 3.7.1.9-RXN // CATECHOL-23-DIOXYGENASE-RXN // BENZOATE-12-DIOXYGENASE-RXN // 1.3.1.25-RXN
PWY0-845	RXN-13179 // PSERTRANSAMPYR-RXN // ERYTHRON4PDEHYDROG-RXN // PDXJ-RXN // DXS-RXN // ERYTH4PDEHYDROG-RXN // PYRIDOXINE-4-DEHYDROGENASE-RXN // PYRIDOXKIN-RXN // PMPOXI-RXN // PNPOXI-RXN // PYRAMKIN-RXN // PNKIN-RXN
PWY-6708	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN // 3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN // 2-OCTAPRENYLPHENOL-HYDROX-RXN // 2-OCTAPRENYL-6-OHPHENOL-METHY-RXN // 2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN // 2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN // DHHB-METHYLTRANSFER-RXN // OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN
PWY-5257	4.1.2.18-RXN // MALSYN-RXN // GLYCOLATE-REDUCTASE-RXN // RXN-14642 // 4.1.2.28-RXN // RXN-12246 // RXN-14641 // RXN-19753 // RXN-21503 // XYLONATE-DEHYDRATASE-RXN // RXN-14807 // 25-DIOXOVALERATE-DEHYDROGENASE-RXN // RXN-8777 // ARABINONATE-DEHYDRATASE-RXN // D-ARABINONOLACTONASE-RXN // RXN-8776 // RXN-8773 // GLYCOLALD-DEHYDROG-RXN // DARABALDOL-RXN // DARABKIN-RXN // RXN-8775 // RXN-8774 // 4.2.1.43-RXN // L-ARABINONATE-DEHYDRATASE-RXN // L-ARABINONOLACTONASE-RXN // L-XYLULOSE-REDUCTASE-RXN // L-ARABINITOL-4-DEHYDROGENASE-RXN // RXN-8772 // RXN-14809 // RXN0-5116 // ARABISOM-RXN // RIBULPEPIM-RXN // LXULRU5P-RXN // LYXK-RXN // LYXISOM-RXN // D-XYLULOSE-REDUCTASE-RXN // D-ARABINITOL-4-DEHYDROGENASE-RXN // RIBITOL-2-DEHYDROGENASE-RXN // RXN-25603 // XYLISOM-RXN // XYLULOKIN-RXN // DARABISOM-RXN // D-RIBULOKIN-RXN
PWY-5507	RXN-25315 // COBALAMINSYN-RXN // RXN-25317 // RXN-25318 // RXN-19299 // RXN-19313 // R344-RXN // R343-RXN // RXN-19344 // RXN-6261 // COBINPGUANYLYLTRANS-RXN // R345-RXN // 4.1.1.81-RXN // RXN-8626 // GLURS-RXN // GLUTRNAREDUCT-RXN // GSAAMINOTRANS-RXN // PORPHOBILSYNTH-RXN // OHMETHYLBILANESYN-RXN // UROGENIIISYN-RXN // RXN-14315 // 2.1.1.151-RXN // 4.99.1.3-RXN // DIMETHUROPORDEHYDROG-RXN // RXN-8767 // RXN-8766 // RXN-8764 // RXN-8762 // RXN-8761 // UROPORIIIMETHYLTRANSA-RXN // RXN-8675 // RXN-8769 // RXN-8768 // RXN-8765 // RXN-8763
PWY-5505	GLUTAMINESYN-RXN // GLUTAMATE-SYNTHASE-FERREDOXIN-RXN // GLUTAMATE-SYNTHASE-NADH-RXN // GLUTAMIN-RXN // RXN-20084 // GLUTDEHYD-RXN // GLUTAMATE-DEHYDROGENASE-NADP+-RXN
PWY-6703	RXN-12093 // RXN0-6575 // RXN0-5507 // GTP-CYCLOHYDRO-I-RXN
NONMEVIPP-PWY	RXN-24044 // RXN-24043 // RXN-15878 // IPPISOM-RXN // RXN0-302 // 2.7.1.148-RXN // 2.7.7.60-RXN // DXPREDISOM-RXN // DXS-RXN
SALVADEHYPOX-PWY	AMP-DEPHOSPHORYLATION-RXN // RXN-7682 // RXN0-901 // ADENODEAMIN-RXN // INOPHOSPHOR-RXN
PWY-5724	RXN-20062 // RXN-20066 // RXN0-5222 // RXN-20065 // RXN-8930 // R123-RXN // R122-RXN // 3.8.1.8-RXN
PWY4FS-7	PGPPHOSPHA-RXN // PHOSPHAGLYPSYN-RXN // RXN-10462 // 1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN // GLYC3PDEHYDROGBIOSYN-RXN // CDPDIGLYSYN-RXN
PWY0-42	4.2.1.99-RXN // METHYLISOCITRATE-LYASE-RXN // 2-METHYLCITRATE-DEHYDRATASE-RXN // 2-METHYLCITRATE-SYNTHASE-RXN // PROPIONATE--COA-LIGASE-RXN
PWY0-41	RXN-19659 // RXN-14196 // RXN0-7024 // OXAMATE-CARBAMOYLTRANSFERASE-RXN // R165-RXN // TRANS-RXN0-444 // URUR-RXN // ALLANTOATE-DEIMINASE-RXN // ALLANTOINASE-RXN
PWY-5659	PGLUCISOM-RXN // 2.7.7.13-RXN // PHOSMANMUT-RXN // MANNPISOM-RXN
PWY-5651	RXN-8665 // 1.13.11.6-RXN // 3-HYDROXY-KYNURENINASE-RXN // KYNURENINE-3-MONOOXYGENASE-RXN // ARYLFORMAMIDASE-RXN
PWY-5656	2.4.1.217-RXN // 3.1.3.70-RXN
PWY-5655	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // RXN-8665 // 1.13.11.6-RXN // 3-HYDROXY-KYNURENINASE-RXN // KYNURENINE-3-MONOOXYGENASE-RXN // ARYLFORMAMIDASE-RXN // 3.5.99.5-RXN // 4.1.1.77-RXN // 1.2.1.32-RXN // AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN
PWY-5654	3.5.99.5-RXN // 4.1.1.77-RXN // 1.2.1.32-RXN // AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN
P3-PWY	RXN-16834 // RXN-11667 // R11-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // R7-RXN // R8-RXN // R6-RXN // R5-RXN // 1.97.1.2-RXN // GALLATE-DECARBOXYLASE-RXN
GLYCOL-GLYOXDEG-PWY	GLYCOLALDREDUCT-RXN // GLYCOLALD-DEHYDROG-RXN // MALSYN-RXN // TSA-REDUCT-RXN // RXN0-7229 // GKI-RXN // GLYOCARBOLIG-RXN
PWY-6071	RXN-2425 // RXN-10819 // RXNMETA-12672 // RXNMETA-12671 // RXN0-6510 // RXN0-6512 // RXN0-2042 // RXN0-2044 // RXN-3641 // RXN-10817 // PHENDEHYD-RXN
CODH-PWY	RXN-21796 // RXN-24720 // RXN-21797 // 1.2.7.4-RXN // METHYLENETHFDEHYDROG-NADP-RXN // FORMATETHFLIG-RXN // METHENYLTHFCYCLOHYDRO-RXN // RXN-22438 // RXN-5061 // ACETYLSYNCLTH-RXN // METHCOCLTH-RXN // FORMATE-DEHYDROGENASE-NADP+-RXN
PWY-2201	RXN-5061 // RXN-22438 // RXN-21991 // GLYOHMETRANS-RXN // METHYLENETHFDEHYDROG-NADP-RXN // FORMATETHFLIG-RXN // METHENYLTHFCYCLOHYDRO-RXN // FORMYLTHFDEFORMYL-RXN // GCVMULTI-RXN // HOMOCYSMETB12-RXN // 1.5.1.20-RXN // 5-FORMYL-THF-CYCLO-LIGASE-RXN // 1.5.1.15-RXN
ECASYN-PWY	RXN-22149 // TRANS-RXN0-279 // GLCNACPTRANS-RXN // FUC4NACTRANS-RXN // UDPMANACATRANS-RXN
PWY-7255	RXN-18089 // RXN-18088 // RXN-15804 // GLUTCYSLIG-RXN // RXN-14431 // RXN-14430 // RXN-14429
PWY-7254	2-OXOGLUTARATE-SYNTHASE-RXN // RXN-14971 // RXN-8807 // ISOCITDEH-RXN // MALATE-DEHYDROGENASE-ACCEPTOR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // FUMHYDR-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	PYRUVDEH-RXN // TRANS-RXN-157 // RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // PGLUCISOM-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // RXN-14971 // ISOCITDEH-RXN // MALATE-DEHYDROGENASE-ACCEPTOR-RXN // 2OXOGLUTARATEDEH-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN // MALATE-DEH-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // ISOCIT-CLEAV-RXN // MALSYN-RXN
P621-PWY	RXN-14377 // RXN-14376 // 3.5.2.12-RXN // 6-OXOHEXANOATE-OXIDATION-RXN // RXN-3962 // R562-RXN // R561-RXN
PWY-3941	2.6.1.18-RXN // PROPCOASYN-RXN // 3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN // RXN-6384 // RXN-6383 // PROPIONATE--COA-LIGASE-RXN
