Pathways	Taxonomic-Range	Species	Common-Name	Common-Name2
PWY-8556	TAX-580370 // TAX-90627	TAX-314345	Mariprofundus ferrooxydans	Candidatius Mariprofundia // Gallionellaceae
DHGLUCONATE-PYR-CAT-PWY	TAX-2	TAX-442 // TAX-573 // TAX-55209 // TAX-287 // TAX-294 // TAX-303 // TAX-615	Gluconobacter oxydans // Klebsiella pneumoniae // Pantoea cypripedii // Pseudomonas aeruginosa // Pseudomonas fluorescens // Pseudomonas putida // Serratia marcescens	Bacteria <bacteria>
PWY-361	TAX-58024	TAX-4097 // ORG-5993	Nicotiana tabacum // Arabidopsis thaliana	Spermatophyta
PWY-8066	TAX-2	TAX-344747	Gimesia maris	Bacteria <bacteria>
PWY-5278	TAX-2	TAX-1049 // TAX-1092 // TAX-54396 // TAX-36861 // TAX-931 // TAX-1058	Allochromatium vinosum // Chlorobium limicola // endosymbiont of Riftia pachyptila // Thiobacillus denitrificans // Thiobacillus thioparus // Thiocapsa roseopersicina	Bacteria <bacteria>
SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	TAX-4751	TAX-106002	Pseudohyphozyma bogoriensis	Fungi
PWY-5083	TAX-4751 // TAX-33090	TAX-4498 // TAX-4113 // TAX-3562 // TAX-4577 // ORG-5993	Avena sativa // Solanum tuberosum // Spinacia oleracea // Zea mays // Arabidopsis thaliana	Fungi // Viridiplantae
PWY-5419	TAX-201174 // TAX-1224	TAX-79676 // TAX-106590 // TAX-354 // ORG-5948	Pseudomonas sp. CF600 // Cupriavidus necator // Azotobacter vinelandii // Pseudomonas putida	Actinomycetota // Pseudomonadota
PWY-7620	TAX-2	TAX-700510 // TAX-865865	bacterium enrichment culture clone N47 // delta proteobacterium N47	Bacteria <bacteria>
PWY-6233	TAX-33090	TAX-49451	Nicotiana attenuata	Viridiplantae
PWY-5462	TAX-40674	TAX-10116 // TAX-40674 // TAX-9925	Rattus norvegicus // Mammalia // Capra hircus	Mammalia
PWY0-1315	TAX-2	TAX-511145 // TAX-99287	Escherichia coli // Salmonella enterica	Bacteria <bacteria>
PWY-4202	TAX-40674	TAX-9606 // TAX-10090 // TAX-9986 // TAX-10116	Homo sapiens // Mus musculus // Oryctolagus cuniculus // Rattus norvegicus	Mammalia
PWY-6271	TAX-33090	TAX-349509 // TAX-402570 // TAX-402568 // TAX-402569 // TAX-4645 // TAX-41486 // TAX-87677 // TAX-311405	Magnolia obovata // Guatteria hispida // Guatteria blepharophylla // Guatteria friesiana // Hedychium // Atractylodes lancea // Eucalyptus piperita // Zingiber zerumbet	Viridiplantae
PWY-6303	TAX-3193	TAX-3330 // TAX-3694 // ORG-5993	Picea glauca // Populus trichocarpa // Arabidopsis thaliana	Embryophyta
PWY-8256	TAX-2	TAX-272559 // TAX-195102 // TAX-1507 // TAX-1262876 // ORG-6134 // ORG-6135 // ORG-6137 // ORG-6139	Bacteroides fragilis // Clostridium perfringens // Clostridium sp. ATCC 29733 // Eggerthella sp. CAG:298 // Bifidobacterium longum // Blautia producta // Clostridium innocuum // Clostridium paraputrificum	Bacteria <bacteria>
PWY-8094	TAX-13215	TAX-130404	Piper methysticum	Piper
PWY-7692	TAX-4751	TAX-5127	Fusarium fujikuroi	Fungi
PWY-5429	TAX-2	ORG-5948	Pseudomonas putida	Bacteria <bacteria>
PWY-7756	TAX-2	TAX-411470 // ORG-6190	Mediterraneibacter gnavus // Ruminococcus sp. PO1-3	Bacteria <bacteria>
PWY-8125	TAX-2157	TAX-242703 // TAX-56636 // TAX-2234 // TAX-200415 // TAX-76887 // TAX-498846 // TAX-1406512 // TAX-1577791 // TAX-1410606 // TAX-497727 // TAX-46770 // TAX-94694 // TAX-54261 // TAX-683846 // TAX-565033 // TAX-1604004 // TAX-146826 // TAX-54248 // TAX-160233 // TAX-334771 // TAX-2173 // TAX-2190 // TAX-39152 // TAX-263906 // TAX-420950 // TAX-2214 // TAX-2209 // TAX-192952 // TAX-2317 // TAX-145262 // TAX-2186 // TAX-2180 // TAX-2224 // TAX-338192 // TAX-2026795 // TAX-13773 // TAX-53953 // TAX-54252 // TAX-2280 // TAX-311400 // TAX-2269 // TAX-1200300 // TAX-184117 // TAX-54254 // TAX-164451	Acidilobus saccharovorans // Aeropyrum pernix // Archaeoglobus fulgidus // Caldisphaera lagunensis // Caldivirga maquilingensis // Candidatus Korarchaeum cryptofilum // Candidatus Methanomassiliicoccus intestinalis // Candidatus Methanoplasma termitum // Candidatus Nitrosopelagicus brevis // Candidatus Nitrososphaera gargensis // Candidatus Cenarchaeum symbiosum // Desulfurococcus amylolyticus // Ferroglobus placidus // Fervidicoccus fontis // Geoglobus acetivorans // Halanaeroarchaeum sulfurireducens // Halorhabdus utahensis // Hyperthermus butylicus // Ignicoccus hospitalis // Ignisphaera aggregans // Methanobrevibacter smithii // Methanocaldococcus jannaschii // Methanococcus maripaludis // Methanolinea tarda // Methanolobus psychrophilus // Methanosarcina acetivorans // Methanosarcina mazei // Methanosphaera stadtmanae // Methanothermobacter thermautotrophicus // Methanothermococcus thermolithotrophicus // Methanothermus fervidus // Methanothrix thermoacetophila // Nitrosopumilus maritimus // Nitrososphaerota archaeon // Pyrobaculum aerophilum // Pyrococcus horikoshii // Pyrolobus fumarii // Staphylothermus marinus // Thermococcus kodakarensis // Thermofilum pendens // Thermogladius calderae // Thermoproteus uzoniensis // Thermosphaera aggregans // Vulcanisaeta distributa	Archaea
PWY-5096	TAX-554915 // TAX-2157	TAX-5759 // TAX-2261	Entamoeba histolytica // Pyrococcus furiosus	Amoebozoa // Archaea
PWY-7588	TAX-2	TAX-29369 // TAX-40324 // TAX-411470 // ORG-6269	Clostridium sardiniense // Stenotrophomonas maltophilia // Mediterraneibacter gnavus // Ruminococcus gnavus	Bacteria <bacteria>
PWY-7718	TAX-85008 // TAX-85011	TAX-1890 // TAX-1892	Streptomyces antibioticus // Streptomyces anulatus	Micromonosporales // Kitasatosporales
PWY18C3-2	TAX-4070	TAX-4081 // TAX-4113	Solanum lycopersicum // Solanum tuberosum	Solanaceae
PWY-6809	TAX-33634 // TAX-33630 // TAX-33090	TAX-2711 // TAX-4097 // TAX-2850 // TAX-4081 // TAX-4113	Citrus sinensis // Nicotiana tabacum // Phaeodactylum tricornutum // Solanum lycopersicum // Solanum tuberosum	Stramenopiles // Alveolata // Viridiplantae
PWY-6084	TAX-2	TAX-65741 // TAX-80866 // TAX-69003 // TAX-244562 // TAX-393999 // TAX-140098 // TAX-264198 // ORG-6081	Pseudomonas knackmussii // Delftia acidovorans // Burkholderia sp. RASC // Bradyrhizobium sp. RD5-C2 // Cupriavidus sp. PS12 // Caballeronia sp. NK8 // Cupriavidus pinatubonensis // Ralstonia eutropha	Bacteria <bacteria>
2OXOBUTYRATECAT-PWY	TAX-2157	TAX-2208 // TAX-2287 // TAX-273063	Methanosarcina barkeri // Saccharolobus solfataricus // Sulfurisphaera tokodaii	Archaea
PWY-8086	TAX-2	TAX-29466	Veillonella parvula	Bacteria <bacteria>
PWY-8131	TAX-2	TAX-1392 // TAX-1396 // TAX-1428 // TAX-1491 // TAX-1513 // TAX-1322345 // TAX-1302237	Bacillus anthracis // Bacillus cereus // Bacillus thuringiensis // Clostridium botulinum // Clostridium tetani // Escherichia coli	Bacteria <bacteria>
PWY-5342	TAX-3803	TAX-3888	Pisum sativum	Fabaceae
PWY-6822	TAX-2	TAX-28108 // TAX-63186	Alteromonas macleodii // Zobellia galactanivorans	Bacteria <bacteria>
PWY-8206	TAX-2	TAX-340188	Salmonella enterica	Bacteria <bacteria>
PWY-7609	TAX-4751	TAX-5076	Penicillium chrysogenum	Fungi
PWY-8242	TAX-2	TAX-2079160 // ORG-57091	Escherichia coli O51 // Salmonella enterica	Bacteria <bacteria>
PWY-8149	TAX-33630 // TAX-2	TAX-1079 // TAX-446 // TAX-5888 // TAX-287 // TAX-5911	Blastochloris viridis // Legionella pneumophila // Paramecium tetraurelia // Pseudomonas aeruginosa // Tetrahymena thermophila	Alveolata // Bacteria <bacteria>
PWY-3162	TAX-1224	TAX-294 // TAX-47492	Pseudomonas fluorescens // Xanthobacter agilis	Pseudomonadota
PWY-8366	TAX-2	TAX-68197	Streptomyces fimbriatus	Bacteria <bacteria>
PWY-8304	TAX-28890	TAX-2234 // TAX-54120 // TAX-680118 // TAX-660064	Archaeoglobus fulgidus // Methanolacinia petrolearia // Methanothermobacter tenebrarum // Methermicoccus shengliensis	Methanobacteriota
PWY-7777	TAX-2	TAX-103808	Rhodococcus sp. AD45	Bacteria <bacteria>
PWY-8147	TAX-2818505 // TAX-200940 // TAX-556282 // TAX-33630 // TAX-2157 // TAX-1297 // TAX-33090 // TAX-28221 // TAX-1236 // TAX-28216 // TAX-28211	TAX-358 // TAX-375 // TAX-190650 // TAX-68909 // TAX-876 // TAX-511145 // TAX-34 // TAX-915 // TAX-5884 // TAX-294 // TAX-48482 // TAX-1061 // TAX-211586 // TAX-5890 // TAX-274 // TAX-670	Agrobacterium tumefaciens // Bradyrhizobium japonicum // Caulobacter vibrioides // Deinococcus geothermalis // Desulfovibrio desulfuricans // Escherichia coli // Myxococcus xanthus // Nitrosomonas europaea // Paramecium // Pseudomonas fluorescens // Reclinomonas // Rhodobacter capsulatus // Shewanella oneidensis // Tetrahymena // Thermus thermophilus // Vibrio parahaemolyticus	Myxococcota // Thermodesulfobacteriota // Jakobida // Alveolata // Archaea // Deinococcota // Viridiplantae // Deltaproteobacteria // Gammaproteobacteria // Betaproteobacteria // Alphaproteobacteria
PWY-6958	TAX-3041 // TAX-3208	TAX-3218	Physcomitrium patens	Chlorophyta // Bryophyta
PWY-804	TAX-1239	TAX-214819	Lachnospiraceae bacterium 19gly4	Bacillota
PWY-8330	TAX-2	TAX-863372	Herbaspirillum huttiense	Bacteria <bacteria>
PWY-6328	TAX-1224	TAX-287	Pseudomonas aeruginosa	Pseudomonadota
PWY-5269	TAX-2759	TAX-9606 // TAX-3916 // ORG-5993	Homo sapiens // Vigna radiata // Arabidopsis thaliana	Eukaryota
PWY-5775	TAX-3803	TAX-48131	Amorpha fruticosa	Fabaceae
PWY-6536	TAX-4751 // TAX-2	TAX-287 // TAX-294 // TAX-381666 // TAX-4932 // TAX-1911	Pseudomonas aeruginosa // Pseudomonas fluorescens // Cupriavidus necator // Saccharomyces cerevisiae // Streptomyces griseus	Fungi // Bacteria <bacteria>
PWY-6772	TAX-2157 // TAX-2	TAX-511145 // TAX-187878 // TAX-523850	Escherichia coli // Thermococcus gammatolerans // Thermococcus onnurineus	Archaea // Bacteria <bacteria>
PWY-8015	TAX-2	TAX-1511 // TAX-1496 // TAX-84022 // TAX-1491 // TAX-1509 // TAX-1503 // TAX-1731 // TAX-1557 // TAX-158	Acetoanaerobium sticklandii // Clostridioides difficile // Clostridium aceticum // Clostridium botulinum // Clostridium sporogenes // Gottschalkia purinilytica // Peptoclostridium acidaminophilum // Peptoclostridium litorale // Treponema denticola	Bacteria <bacteria>
PWY-8274	TAX-2157 // TAX-2759 // TAX-2	TAX-33965 // TAX-1590 // TAX-511145 // TAX-1352 // TAX-3055 // TAX-28446	Leuconostoc mesenteroides // Lactiplantibacillus plantarum // Escherichia coli // Enterococcus faecium // Chlamydomonas reinhardtii // Anaerotignum propionicum	Archaea // Eukaryota // Bacteria <bacteria>
PWY0-1554	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-7129	TAX-58024	TAX-4679	Allium cepa	Spermatophyta
P581-PWY	TAX-2	TAX-713585 // TAX-243063 // TAX-931	Thioalkalivibrio paradoxus // Thioalkalivibrio thiocyanodenitrificans // Thiobacillus thioparus	Bacteria <bacteria>
PWY-8225	TAX-2	TAX-83334	Escherichia coli	Bacteria <bacteria>
PWY-7709	TAX-3398 // TAX-4751	TAX-35608 // TAX-39329 // TAX-650269 // TAX-4081	Artemisia annua // Lavandula angustifolia // Mentha aquatica // Solanum lycopersicum	Magnoliopsida // Fungi
PWY-4921	TAX-68336 // TAX-33208	TAX-9913 // TAX-10141 // TAX-9031 // TAX-9606 // TAX-10090 // TAX-9986 // TAX-9940 // TAX-837 // TAX-10116	Bos taurus // Cavia porcellus // Gallus gallus // Homo sapiens // Mus musculus // Oryctolagus cuniculus // Ovis aries // Porphyromonas gingivalis // Rattus norvegicus	Bacteroidota/Chlorobiota group // Metazoa
PWY-3462	TAX-33090 // TAX-2 // TAX-4751	TAX-4096 // TAX-4530 // TAX-4558 // TAX-3562 // ORG-5993	Nicotiana sylvestris // Oryza sativa // Sorghum bicolor // Spinacia oleracea // Arabidopsis thaliana	Viridiplantae // Bacteria <bacteria> // Fungi
PWY-6573	TAX-33208	TAX-9606	Homo sapiens	Metazoa
PWY-6142	TAX-2157	TAX-79929 // TAX-145262 // TAX-187420 // TAX-79930	Methanothermobacter marburgensis // Methanothermobacter thermautotrophicus	Archaea
ASPASN-PWY	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-8355	TAX-40674	TAX-9606	Homo sapiens	Mammalia
PWY-6446	TAX-33090	TAX-140968	Hypericum androsaemum	Viridiplantae
PWY-7574	TAX-2 // TAX-33208 // TAX-4751 // TAX-33090	TAX-5476 // TAX-237561 // TAX-45537 // TAX-5481	Candida albicans // Diutina catenulata // Diutina rugosa	Bacteria <bacteria> // Metazoa // Fungi // Viridiplantae
PWY-6011	TAX-2 // TAX-721805	TAX-60520 // TAX-1590 // TAX-23207	Lactiplantibacillus paraplantarum // Lactiplantibacillus plantarum // Prunus serotina	Bacteria <bacteria> // Amygdaleae
PWY-8303	TAX-2	TAX-332101 // TAX-876	Clostridium drakei // Desulfovibrio desulfuricans	Bacteria <bacteria>
PWY-7085	TAX-2	ORG-6216	Arthrobacter protophormiae	Bacteria <bacteria>
PWY-6185	TAX-4751 // TAX-2	TAX-5554 // TAX-264198 // TAX-395598	Cutaneotrichosporon cutaneum // Cupriavidus pinatubonensis // Pseudomonas reinekei	Fungi // Bacteria <bacteria>
PWY3DJ-12	TAX-2759	TAX-9606 // TAX-10090	Homo sapiens // Mus musculus	Eukaryota
PWY-5421	TAX-3313	TAX-3352 // TAX-3329 // TAX-46611	Pinus taeda // Picea abies // Abies grandis	Pinidae
PWY-8362	TAX-1117	TAX-1148	Synechocystis sp. PCC 6803	Cyanobacteriota
PWY-6673	TAX-33090	TAX-4097 // TAX-4113 // TAX-4081	Nicotiana tabacum // Solanum tuberosum // Solanum lycopersicum	Viridiplantae
PWY-7283	TAX-2759	TAX-4932	Saccharomyces cerevisiae	Eukaryota
PWY-7784	TAX-183988 // TAX-224756 // TAX-183939 // TAX-183925 // TAX-2157	TAX-2234 // TAX-2210 // TAX-145262	Archaeoglobus fulgidus // Methanosarcina thermophila // Methanothermobacter thermautotrophicus	Methanopyri // Methanomicrobia // Methanococci // Methanobacteria // Archaea
CRNFORCAT-PWY	TAX-2	TAX-32002 // TAX-68999 // TAX-303 // TAX-243975 // TAX-43143 // TAX-79681 // ORG-5948	Achromobacter denitrificans // Arthrobacter sp. TE1826 // Pseudomonas putida // Pseudomonas sp. Ps7 // Tissierella creatinini // Tissierella creatinophila	Bacteria <bacteria>
PWY-5851	TAX-2	TAX-83332 // TAX-37930 // TAX-1467 // TAX-1079 // TAX-47914 // TAX-28447 // TAX-33014 // TAX-31963 // TAX-31964 // TAX-1717 // TAX-2036 // TAX-2035 // TAX-33881 // TAX-1863 // TAX-1351 // TAX-997 // TAX-2054 // TAX-36822 // TAX-2055 // TAX-43674 // TAX-1618 // TAX-1358 // TAX-1359 // TAX-1270 // TAX-1764 // TAX-1770 // TAX-1765 // TAX-1802 // TAX-1767 // TAX-1771 // TAX-1772 // TAX-1773 // TAX-33 // TAX-28118 // TAX-1082 // TAX-1083 // TAX-28123 // TAX-28114 // TAX-2061	Mycobacterium tuberculosis // Glutamicibacter protophormiae // Lederbergia lenta // Blastochloris viridis // Brevibacterium fuscum // Clavibacter michiganensis // Clavibacter nebraskensis // Clavibacter sepedonicus // Corynebacterium diphtheriae // Curtobacterium citreum // Curtobacterium flaccumfaciens // Curtobacterium luteum // Dermatophilus congolensis // Enterococcus faecalis // Eisenibacter elegans // Gordonia bronchialis // Gordonia rubripertincta // Gordonia terrae // Jonesia denitrificans // Liquorilactobacillus mali // Lactococcus lactis // Lactococcus cremoris // Micrococcus luteus // Mycobacterium avium // Mycobacterium tuberculosis variant bovis // Mycolicibacterium farcinogenes // Mycobacterium intracellulare // Mycolicibacterium phlei // Mycolicibacterium smegmatis // Myxococcus fulvus // Odoribacter splanchnicus // Magnetospirillum fulvum // Magnetospirillum molischianum // Porphyromonas asaccharolytica // Porphyromonas levii // Tsukamurella paurometabola	Bacteria <bacteria>
PWY-6369	TAX-2759	TAX-9606 // TAX-10116 // TAX-4932	Homo sapiens // Rattus norvegicus // Saccharomyces cerevisiae	Eukaryota
PWY-7428	TAX-2	TAX-306678 // TAX-66693	Burkholderia sp. WS // Pseudomonas sp. YL	Bacteria <bacteria>
PWY-8383	TAX-29	TAX-38 // TAX-34 // TAX-675526	Archangium disciforme // Myxococcus xanthus // Stigmatella aurantiaca	Myxococcales
PWY-8328	TAX-2	TAX-316277	Syntrophus aciditrophicus	Bacteria <bacteria>
PWY-6738	TAX-33090	TAX-3880 // TAX-3544	Medicago truncatula // Mesembryanthemum crystallinum	Viridiplantae
PWY-46	TAX-2 // TAX-2759	TAX-511145 // TAX-9606 // TAX-4097 // TAX-287 // TAX-4932 // ORG-5993	Escherichia coli // Homo sapiens // Nicotiana tabacum // Pseudomonas aeruginosa // Saccharomyces cerevisiae // Arabidopsis thaliana	Bacteria <bacteria> // Eukaryota
PWY-7447	TAX-2	TAX-663362	uncultured bacterium HF130_AEPn_1	Bacteria <bacteria>
PWY-6447	TAX-4070	TAX-4081	Solanum lycopersicum	Solanaceae
PWY-7849	TAX-2	TAX-80867 // TAX-176299 // TAX-266 // TAX-287 // TAX-305	Paracidovorax avenae // Agrobacterium fabrum // Paracoccus denitrificans // Pseudomonas aeruginosa // Ralstonia solanacearum	Bacteria <bacteria>
PWY3O-450	TAX-203692 // TAX-2759	TAX-9606 // TAX-10090 // TAX-4932 // TAX-4550 // TAX-158 // TAX-160 // TAX-162 // TAX-69710	Homo sapiens // Mus musculus // Saccharomyces cerevisiae // Secale cereale // Treponema denticola // Treponema pallidum // Treponema phagedenis // Treponema vincentii	Spirochaetia // Eukaryota
PWY-5121	TAX-2 // TAX-33090	TAX-4072 // TAX-3055 // TAX-511145 // TAX-3981 // ORG-5993	Capsicum annuum // Chlamydomonas reinhardtii // Escherichia coli // Hevea brasiliensis // Arabidopsis thaliana	Bacteria <bacteria> // Viridiplantae
PWY-7934	TAX-2	TAX-717774	Marinomonas mediterranea	Bacteria <bacteria>
PWY-6191	TAX-2	TAX-393999	Cupriavidus sp. PS12	Bacteria <bacteria>
PWY-7045	TAX-2	TAX-41951	Streptomyces argillaceus	Bacteria <bacteria>
PWY-6431	TAX-33090	TAX-4039 // TAX-34254 // TAX-4113	Daucus carota // Lithospermum erythrorhizon // Solanum tuberosum	Viridiplantae
PWY-6436	TAX-4136	TAX-29719 // TAX-241069 // TAX-34256 // TAX-48386	Mentha spicata // Mentha x gracilis // Mentha x piperita // Perilla frutescens	Lamiaceae
PWY-8103	TAX-13215	TAX-130404	Piper methysticum	Piper
PWY-8027	TAX-7705 // TAX-33090 // TAX-203682	TAX-114 // TAX-39947	Gemmata obscuriglobus // Oryza sativa	Holothuroidea // Viridiplantae // Planctomycetota
PWY-7592	TAX-33208	TAX-9606	Homo sapiens	Metazoa
PWY-6697	TAX-2 // TAX-33090 // TAX-4751	TAX-42742 // TAX-4513 // TAX-4565	Gelatoporia subvermispora // Hordeum vulgare // Triticum aestivum	Bacteria <bacteria> // Viridiplantae // Fungi
PWY-7813	TAX-2	TAX-546 // TAX-636 // TAX-584 // TAX-90371 // TAX-99287	Citrobacter freundii // Edwardsiella tarda // Proteus mirabilis // Salmonella enterica	Bacteria <bacteria>
PWY-5025	TAX-1224	TAX-357 // TAX-358 // TAX-381 // TAX-82115 // TAX-384 // TAX-396 // ORG-6005	Agrobacterium // Agrobacterium tumefaciens // Mesorhizobium loti // Rhizobiaceae // Rhizobium leguminosarum // Rhizobium phaseoli // Sinorhizobium meliloti Rm2011	Pseudomonadota
PWY-8128	TAX-183963 // TAX-1117	TAX-1148	Synechocystis sp. PCC 6803	Halobacteria // Cyanobacteriota
PWY-7831	TAX-33208	TAX-9606	Homo sapiens	Metazoa
PWY-6669	TAX-33090	TAX-223756 // TAX-223751	Gyrinops // Aquilaria crassna	Viridiplantae
PWY5F9-12	TAX-2	TAX-101510	Rhodococcus jostii	Bacteria <bacteria>
PWY-6945	TAX-2	TAX-83332 // TAX-43767 // TAX-685727 // TAX-101510 // TAX-1829 // TAX-1830 // TAX-441625 // TAX-74576	Mycobacterium tuberculosis // Prescottella equi // Rhodococcus jostii // Rhodococcus rhodochrous // Rhodococcus ruber // Rhodococcus sp. SQ1 // Streptomyces sp. SA-COO	Bacteria <bacteria>
PWY-7081	TAX-1224	TAX-221273	Burkholderia sp. AK-5	Pseudomonadota
PWY-5757	TAX-2	TAX-1906 // TAX-43759	Streptomyces fradiae // Streptomyces wedmorensis	Bacteria <bacteria>
PWY-6621	ORG-5993	ORG-5993	Arabidopsis thaliana	Arabidopsis thaliana
PWY-6827	TAX-2	TAX-84635	Bacillus sp. GL1	Bacteria <bacteria>
PWY-5303	TAX-2 // TAX-183924	TAX-2283 // TAX-920 // TAX-1006005	Acidianus ambivalens // Acidithiobacillus ferrooxidans // Metallosphaera cuprina	Bacteria <bacteria> // Thermoprotei
PWY-4161	TAX-3398	TAX-4505 // TAX-4565 // TAX-4577	Coix lacryma-jobi // Triticum aestivum // Zea mays	Magnoliopsida
PWY-6853	TAX-2 // TAX-4751	TAX-36651 // TAX-86841 // TAX-318 // TAX-319	Penicillium digitatum // Pseudomonas amygdali // Pseudomonas savastanoi	Bacteria <bacteria> // Fungi
PWY-5494	TAX-2	TAX-28446 // TAX-907 // TAX-839	Anaerotignum propionicum // Megasphaera elsdenii // Xylanibacter ruminicola	Bacteria <bacteria>
PWY0-1309	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-7787	TAX-2	TAX-1772	Mycolicibacterium smegmatis	Bacteria <bacteria>
PWY-6592	TAX-2	TAX-287752 // TAX-161537 // TAX-161544 // TAX-338054 // TAX-76869 // ORG-6254 // ORG-6159	Aurantimonas manganoxydans // Bacillus sp. PL-12 // Bacillus sp. SG-1 // Pedomicrobium sp. ACM 3067 // Pseudomonas putida // Bacillus pumilus // Leptothrix discophora	Bacteria <bacteria>
PWY-3602	TAX-1224	TAX-208964 // TAX-303 // TAX-29440 // TAX-1286640 // TAX-343 // ORG-6257	Pseudomonas aeruginosa // Pseudomonas putida // Pseudomonas sp. AK-1 // Sinorhizobium meliloti // Xanthomonas translucens // Agrobacterium sp. DSM 8888	Pseudomonadota
PWY-8257	TAX-543	ORG-6234	Escherichia coli	Enterobacteriaceae
PWY-7967	TAX-2	TAX-1525	Neomoorella thermoacetica	Bacteria <bacteria>
ARGDEG-V-PWY	TAX-2759 // TAX-201174	TAX-1665 // TAX-196628 // TAX-1704 // TAX-5661 // TAX-2045 // TAX-1911 // TAX-67377	Arthrobacter globiformis // Arthrobacter sp. KUJ8602 // Brevibacterium helvolum // Leishmania donovani // Pimelobacter simplex // Streptomyces griseus // Streptomyces violaceochromogenes	Eukaryota // Actinomycetota
PWY-5134	TAX-3481	TAX-3486	Humulus lupulus	Cannabaceae
12DICHLORETHDEG-PWY	TAX-2	TAX-280	Xanthobacter autotrophicus	Bacteria <bacteria>
PWY-5885	TAX-33682	TAX-3039	Euglena gracilis	Euglenozoa
PWY-7966	TAX-2	TAX-1497	Clostridium formicaceticum	Bacteria <bacteria>
PWY-6387	TAX-2	TAX-511145 // TAX-83332	Escherichia coli // Mycobacterium tuberculosis	Bacteria <bacteria>
PWY-5021	TAX-91835	TAX-3813 // TAX-28929 // TAX-3859 // TAX-3866 // TAX-3888	Albizia julibrissin // Fagus crenata // Lathyrus odoratus // Leucaena leucocephala // Pisum sativum	fabids
PWY-7986	TAX-2	TAX-42323 // TAX-669	Vibrio anguillarum // Vibrio harveyi	Bacteria <bacteria>
PWY-5486	TAX-4751 // TAX-2 // TAX-33090	TAX-434 // TAX-5061 // TAX-3055 // TAX-1491 // TAX-1267 // TAX-552 // TAX-3847 // TAX-5141 // TAX-4932 // TAX-4896 // TAX-4577 // TAX-542	Acetobacter // Aspergillus niger // Chlamydomonas reinhardtii // Clostridium botulinum // Sarcina ventriculi // Erwinia amylovora // Glycine max // Neurospora crassa // Saccharomyces cerevisiae // Schizosaccharomyces pombe // Zea mays // Zymomonas mobilis	Fungi // Bacteria <bacteria> // Viridiplantae
PWY-8370	TAX-716545	TAX-5059 // TAX-41062 // TAX-266817	Aspergillus flavus // Aspergillus leporis // Scytalidium cuboideum	saccharomyceta
PWY-6321	TAX-2	TAX-381666	Cupriavidus necator	Bacteria <bacteria>
PWY-6807	TAX-4751	TAX-5053 // TAX-34381 // TAX-5061 // TAX-5062 // TAX-85845 // TAX-51453	Aspergillus aculeatus // Aspergillus japonicus // Aspergillus niger // Aspergillus oryzae // Chrysosporium lucknowense // Trichoderma reesei	Fungi
PWY-2463	TAX-3803	TAX-3827 // TAX-46348 // TAX-49827 // TAX-3879 // TAX-3880	Cicer arietinum // Glycyrrhiza echinata // Glycyrrhiza glabra // Medicago sativa // Medicago truncatula	Fabaceae
ORN-AMINOPENTANOATE-CAT-PWY	TAX-2	TAX-358 // TAX-1509 // TAX-303	Agrobacterium tumefaciens // Clostridium sporogenes // Pseudomonas putida	Bacteria <bacteria>
PWY-6176	TAX-40553 // TAX-131567	TAX-4682 // TAX-4683 // TAX-48666 // TAX-70752 // TAX-4681 // TAX-4679	Allium sativum // Allium tuberosum // Allium altaicum // Allium aflatunense // Allium ampeloprasum // Allium cepa	Allioideae // cellular organisms
PWY-7554	TAX-2	TAX-940 // TAX-82367 // TAX-287	Hydrogenobacter thermophilus // Paracoccus pantotrophus // Pseudomonas aeruginosa	Bacteria <bacteria>
PWY-5659	TAX-2157 // TAX-2759 // TAX-2	TAX-5476 // TAX-511145 // TAX-9606 // TAX-287 // TAX-53953 // TAX-4932 // TAX-3562 // TAX-9823 // ORG-5993	Candida albicans // Escherichia coli // Homo sapiens // Pseudomonas aeruginosa // Pyrococcus horikoshii // Saccharomyces cerevisiae // Spinacia oleracea // Sus scrofa // Arabidopsis thaliana	Archaea // Eukaryota // Bacteria <bacteria>
PWY-2055	TAX-3803	TAX-46348 // TAX-3827 // TAX-3847 // TAX-49827 // TAX-34305 // TAX-3879 // TAX-3885 // TAX-3893	Glycyrrhiza echinata // Cicer arietinum // Glycine max // Glycyrrhiza glabra // Lotus japonicus // Medicago sativa // Phaseolus vulgaris // Pueraria montana	Fabaceae
PWY-5926	TAX-3193	TAX-3879 // TAX-3880	Medicago sativa // Medicago truncatula	Embryophyta
PWY-7036	TAX-2759 // TAX-2	TAX-3708 // TAX-9606 // TAX-42439 // TAX-4932 // ORG-5993	Brassica napus // Homo sapiens // Limnanthes alba // Saccharomyces cerevisiae // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria>
PWY-6685	TAX-2	TAX-309805	Persephonella marina	Bacteria <bacteria>
PWY-8559	TAX-2	TAX-451514	Candidatus Magnetococcus massalia	Bacteria <bacteria>
PWY-3341	TAX-33090	TAX-4513 // TAX-4097 // TAX-3918 // ORG-5993	Hordeum vulgare // Nicotiana tabacum // Vigna aconitifolia // Arabidopsis thaliana	Viridiplantae
