Pathways	Object ID	Ontology - pathway type	Key-Reactions	Reaction-List	EC-Number
NAGLIPASYN-PWY	NAGLIPASYN-PWY	Glycan-Pathways // Cell-Structure-Biosynthesis // Lipid-Biosynthesis		UDPNACETYLGLUCOSAMACYLTRANS-RXN // UDPACYLGLCNACDEACETYL-RXN // UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN // LIPIDXSYNTHESIS-RXN // TETRAACYLDISACC4KIN-RXN // LIPIDADISACCHARIDESYNTH-RXN	EC-2.3.1.129 // EC-3.5.1.108 // EC-2.3.1.191 // EC-3.6.1.54 // EC-2.7.1.130 // EC-2.4.1.182
PWY-7979	PWY-7979	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis		2.4.1.83-RXN // RXN-19397 // RXN-19398 // RXN-19399 // 2.4.1.109-RXN	EC-2.4.1.83 // EC-2.7.1.183 // EC-2.4.1.313 // EC-2.4.1.312 // EC-2.4.1.109
PWY-5109	PWY-5109	Energy-Metabolism		RXN-15031 // 2-METHYLACYL-COA-DEHYDROGENASE-RXN // PROPIONATE-COA-TRANSFERASE-RXN // TIGLYLCOA-HYDROXY-RXN // 1.1.1.178-RXN // METHYLACETOACETYLCOATHIOL-RXN	EC-3.1.2 // EC-1.3.8.5 // EC-2.8.3.1 // EC-4.2.1.150 // EC-1.1.1.178 // EC-2.3.1.16
PWY-6769	PWY-6769	Polymer-Degradation // Carbohydrates-Degradation // Glycan-Pathways		RXN-19759	
PWY-6927	PWY-6927	Other-Degradation		RXN-17252 // RXN-17253 // RXN-7741 // RXN-8357 // RXN-8378	EC-1.3.7.12 // EC-3.1.1.14 // EC-4.99.1.10
PWY-8555	PWY-8555	Noncarbon-Nutrients // Energy-Metabolism		RXN-24947 // RXN-24967	EC-7.1.1.8
PWY-7556	PWY-7556	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-15813	EC-2.3.1
PWY3O-4107	PWY3O-4107	Cofactor-Biosynthesis		RXN-15025 // NAD-SYNTH-GLN-RXN // NICOTINAMID-RXN // NICOTINATEPRIBOSYLTRANS-RXN // NICONUCADENYLYLTRAN-RXN	EC-2.3.1.286 // EC-6.3.5.1 // EC-3.5.1.19 // EC-6.3.4.21 // EC-2.7.7.18
PWY8J2-22	PWY8J2-22	SECONDARY-METABOLITE-BIOSYNTHESIS	RXN8J2-136	RXN8J2-136 // RXN8J2-137 // RXN8J2-138	EC-1.1.1.361 // EC-2.6.1.104 // EC-3.1.3.92
P222-PWY	P222-PWY	Noncarbon-Nutrients // Energy-Metabolism		R17-RXN	EC-1.8.5.4
PWY-8295	PWY-8295	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-22527 // RXN-22528	EC-4.3.99.5 // EC-1.14.13.248
PWY-5279	PWY-5279	Noncarbon-Nutrients		RXN-23217 // RXN-23218 // SULFATE-ADENYLYLTRANSFERASE-ADP-RXN	EC-1.8.99.2 // EC-2.7.7.5
PWY-7172	PWY-7172	AROMATIC-COMPOUNDS-BIOSYN		RXN-13988 // RXN-13987 // RXN-13986 // RXN-13985 // RXN-13984 // RXN-13983 // RXN1F-462	EC-2.3.1 // EC-2.4.1.91
PWY0-1587	PWY0-1587	Nucleic-Acid-Processing		RXN0-7115 // RXN-14569 // RXN-14570	EC-6.1 // EC-2.7.7.87 // EC-2.3.1.234
PWY-7254	PWY-7254	Energy-Metabolism	RXN-8807	2-OXOGLUTARATE-SYNTHASE-RXN // RXN-14971 // RXN-8807 // ISOCITDEH-RXN // MALATE-DEHYDROGENASE-ACCEPTOR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // FUMHYDR-RXN	EC-1.2.7.3 // EC-1.3.5.1 // EC-2.8.3.18 // EC-1.1.1.42 // EC-1.1.5.4 // EC-2.3.3.3 // EC-2.3.3.16 // EC-2.3.3.1 // EC-4.2.1.2
PWY-8579	PWY-8579	Noncarbon-Nutrients		RXN-25270	EC-1.16.2
PWY-6047	PWY-6047	Noncarbon-Nutrients		METHANETHIOL-OXIDASE-RXN // RXN-9740	EC-1.8.3.4 // EC-1.14.13.131
PWY-6718	PWY-6718	Noncarbon-Nutrients		RXN-12148	EC-1.1.1.313
PWY-6612	PWY-6612	Super-Pathways // Cofactor-Biosynthesis		PWY-6543 // PWY-6147 // PWY-6614	
PWY-6626	PWY-6626	Cell-Structure-Biosynthesis	RXN-11711 // RXN-11710	RXN-11709 // RXN-11711 // RXN-11710 // RXN-11708	EC-1.1.1 // EC-2.7.7 // EC-2.7.1
GLUCONEO-PWY	GLUCONEO-PWY	Carbohydrates-Biosynthesis		PGLUCISOM-RXN // MALATE-DEH-RXN // 1.1.1.39-RXN // TRIOSEPISOMERIZATION-RXN // MALIC-NADP-RXN // PEPSYNTH-RXN // PEPCARBOXYKIN-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // F16ALDOLASE-RXN // F16BDEPHOS-RXN	EC-5.3.1.9 // EC-1.1.1.37 // EC-1.1.1.38 // EC-5.3.1.1 // EC-1.1.1.40 // EC-2.7.9.2 // EC-4.1.1.49 // EC-4.2.1.11 // EC-5.4.2.12 // EC-2.7.2.3 // EC-1.2.1.12 // EC-4.1.2.13 // EC-3.1.3.11
PWY-7887	PWY-7887	Protein-Modification		RXN-18694 // RXN-18692 // RXN-18690 // RXN-18689 // RXN-18691 // RXN-18693	EC-2.8.1.12 // EC-2.3.2 // EC-2.7.7.100 // EC-2.8.1 // EC-2.8.1.13
GLUCOSE1PMETAB-PWY	GLUCOSE1PMETAB-PWY	Carbohydrates-Degradation		RXN0-6373 // GLUCOKIN-RXN // PHOSPHOGLUCMUT-RXN // GLUCONOLACT-RXN // GLUCOSE-1-PHOSPHAT-RXN	EC-1.1.5.2 // EC-2.7.1.1 // EC-2.7.1.2 // EC-5.4.2.2 // EC-3.1.1.17 // EC-3.1.3.10
PWY-5487	PWY-5487	AROMATIC-COMPOUNDS-DEGRADATION	RXN-8739	MALEYLACETATE-REDUCTASE-RXN // 1.2.1.61-RXN // RXN-8740 // 1.6.5.6-RXN // RXN-8739	EC-1.3.1.32 // EC-1.2.1.61 // EC-1.13.11.66 // EC-1.6.5.6 // EC-1.14.13.167
PWY-8486	PWY-8486	CARBOXYLATES-DEG		RXN-24284 // RXN-24283 // RXN-24282 // RXN-24280 // 4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN // 1.1.1.226-RXN	EC-1.14.15.40 // EC-1.17.3.M3 // EC-1.17.3.5 // EC-1.14.13.2 // EC-1.1.1.226
PWY-8307	PWY-8307	AMINE-DEG		RXN-21063 // RXN-22574	EC-2.1.1.389 // EC-2.1.1.383
PWY-5985	PWY-5985	Carbohydrates-Biosynthesis // Metabolic-Regulators		RXN-9613	
PWY-5833	PWY-5833	Carbohydrates-Biosynthesis		1.17.1.1-RXN // 2.7.7.33-RXN // CDP-GLUCOSE-46-DEHYDRATASE-RXN	EC-1.17.1.1 // EC-2.7.7.33 // EC-4.2.1.45
PWY-7838	PWY-7838	Glycan-Pathways // Lipid-Biosynthesis		RXN-18300 // RXN-18299 // RXN-18298 // 2.4.1.88-RXN // 2.4.1.79-RXN // 2.4.1.228-RXN // CERAMIDE-GLUCOSYLTRANSFERASE-RXN // RXN-12119	EC-2.4.1 // EC-2.4.3.4 // EC-2.4.1.88 // EC-2.4.1.79 // EC-2.4.1.228 // EC-2.4.1.80 // EC-2.4.1.274
PROSYN-PWY	PROSYN-PWY	Amino-Acid-Biosynthesis		GLUTKIN-RXN // GLUTSEMIALDEHYDROG-RXN // PYRROLINECARBREDUCT-RXN // SPONTPRO-RXN	EC-2.7.2.11 // EC-1.2.1.41 // EC-1.5.1.2
PWY-6503	PWY-6503	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS		PWY-6495 // RXN-11411 // PWY-6493	EC-1.14.13
PWY1A0-6120	PWY1A0-6120	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-9514 // 4.2.1.58-RXN // RXN-9657 // RXN-9516 // RXN-9518 // RXN-9520 // RXN-9658 // RXN-9523 // RXN-9524 // 4.2.1.59-RXN // RXN-9659 // RXN-9527 // RXN-9528 // RXN-9655 // RXN-9660 // RXN-9531 // RXN-9532 // RXN-9533 // RXN-9661 // 2.3.1.180-RXN // RXN-15786 // RXN-15785 // RXN1UA-7906 // RXN1UA-7905 // RXN-15800 // RXN1A0-6114 // RXN1A0-6112 // RXN1A0-6110 // RXN1A0-6108 // RXN1A0-6104 // RXN1A0-6102 // RXN1A0-6098 // RXN1A0-6097 // RXN1A0-6094	EC-1.1.1.100 // EC-4.2.1.59 // EC-1.3.1.9 // EC-2.3.1.179 // EC-2.3.1.41 // EC-2.3.1.180 // EC-2.1.1 // EC-1.1.1 // EC-2.3.1 // EC-6.4.1 // EC-1.3.8.14 // EC-6.2.1.53 // EC-1.17.1
PWY-8174	PWY-8174	Lipid-Biosynthesis	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	RXN-21715 // RXN-21675 // RXN-21673 // RXN-21672 // RXN-21671 // RXN-21670 // RXN-21669 // RXN-21668 // RXN-21667 // RXN-21666 // RXN-21665 // RXN-21664 // RXN-21663 // RXN-21662 // RXN-21661 // RXN-21660 // RXN-21659 // RXN-21658 // RXN-21657 // RXN-21656 // RXN-21655 // RXN-21654 // RXN-21653 // RXN-21652 // RXN-21651 // RXN-21650 // RXN-21649 // RXN-21648 // RXN-21647 // RXN-21646 // RXN-21645 // BRANCHED-CHAINAMINOTRANSFERLEU-RXN // 2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN // RXN-21610	EC-3.1.2.14 // EC-1.3.1.104 // EC-1.3.1.10 // EC-1.3.1.9 // EC-4.2.1.59 // EC-1.1.1.100 // EC-2.3.1.179 // EC-1.3.1.39 // EC-2.6.1.6 // EC-2.6.1.42 // EC-1.2.1.25 // EC-2.3.1.300
PWY-5862	PWY-5862	Super-Pathways // Cofactor-Biosynthesis		PWY-5851 // PWY-5805 // PWY-5837	
PWY-7477	PWY-7477	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-15453 // RXN-15452 // RXN-12882 // RXN-12881 // RXN-12880 // RXN-15399 // RXN-9290	EC-1.14.14 // EC-1.1.1.295
PWY-7759	PWY-7759	Tetrapyrrole-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-17444	RXN-17491 // RXN-5286 // RXN-17448 // RXN-17447 // RXN-17446 // RXN-17445 // RXN-17444 // RXN-17443 // RXN-17442 // RXN-17441 // RXN-17436 // RXN-17435 // RXN-17434 // RXN-17433 // RXN-17432 // RXN-17431 // RXN-17430 // RXN-17429	EC-1.3.7.13 // EC-1.3.1.75 // EC-2.5.1.bl // EC-2.1.1.333 // EC-4.2.1.169 // EC-2.1.1.332 // EC-2.1.1.331 // EC-3.1.1.100
PWY-6577	PWY-6577	Polyprenyl-Biosynthesis		FARNESOL-DEHYDROGENASE-RXN // RXN-11626 // RXN-11625 // RXN-11623	EC-1.1.1.216 // EC-2.7.4.32 // EC-2.7.1.216 // EC-1.8.3.5 // EC-1.8.3.6
PWY-7582	PWY-7582	Other-Degradation	RXN-16014	RXN-16015 // RXN-16014	EC-1.13.11
PWY-7803	PWY-7803	Nucleic-Acid-Processing	RXN-17942	RXN-17942 // 3.1.27.9-RXN	EC-6.5.1.8 // EC-4.6.1.16
PWY-6745	PWY-6745			2.3.2.15-RXN	EC-2.3.2.15
PWY-5852	PWY-5852	Cofactor-Biosynthesis		DMK-RXN	EC-2.5.1.74
PWY-6688	PWY-6688	HORMONE-DEG		RXN-12054 // RXN-12053 // RXN-12052 // RXN-12051 // RXN-12050 // RXN-12049 // RXN-12048 // RXN-12047 // RXN-12046 // RXN-12045 // RXN-12044 // RXN-12043	EC-1.21.99
PWY-5633	PWY-5633	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-8812 // RXN-8811 // RXN-8810	EC-2.1.1 // EC-2.1.3.7
ARGDEG-III-PWY	ARGDEG-III-PWY	Amino-Acid-Degradation		N-CARBAMOYLPUTRESCINE-AMIDASE-RXN // AGMATINE-DEIMINASE-RXN // ARGDECARBOX-RXN	EC-3.5.1.53 // EC-3.5.3.12 // EC-4.1.1.19
PWY-6933	PWY-6933	Seleno-Amino-Acid-Detoxification // Noncarbon-Nutrients		RXN-11042 // RXN-11063 // RXN-11061	EC-4.4.1.11 // EC-2.1.1.280
PWY-5536	PWY-5536	Energy-Metabolism		RXN-8807	EC-2.8.3.18
PWY-5944	PWY-5944	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-8026 // RXN-8025	
PWY66-398	PWY66-398	Energy-Metabolism	SUCCINATE--COA-LIGASE-GDP-FORMING-RXN // ISOCITRATE-DEHYDROGENASE-NAD+-RXN	2OXOGLUTARATEDEH-RXN // MALATE-DEH-RXN // SUCCCOASYN-RXN // SUCCINATE--COA-LIGASE-GDP-FORMING-RXN // ISOCITRATE-DEHYDROGENASE-NAD+-RXN // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // FUMHYDR-RXN	EC-1.2.1.105 // EC-1.1.1.37 // EC-6.2.1.5 // EC-6.2.1.4 // EC-1.1.1.286 // EC-1.1.1.41 // EC-1.3.5.1 // EC-2.3.3.3 // EC-2.3.3.16 // EC-2.3.3.1 // EC-4.2.1.2
PWY-6036	PWY-6036	Other-biosynthesis // Lipid-Biosynthesis		RXN-20972 // RXN-20981 // RXN-20980 // RXN-20977 // RXN-20978 // RXN-20976 // RXN-20970 // RXN-20969 // RXN-20968 // RXN-20967 // RXN-20961 // RXN-20959 // RXN-9824 // RXN-9823 // RXN-9822 // RXN-9821	EC-1.14.14.M45 // EC-2.3.1.M87 // EC-2.4.1.M56 // EC-2.4.1 // EC-2.4.1.M58 // EC-2.4.1.M57 // EC-2.4.1.173
P184-PWY	P184-PWY	AROMATIC-COMPOUNDS-DEGRADATION	PROTOCATECHUATE-45-DIOXYGENASE-RXN	RXN-2464 // OXALODECARB-RXN // 1.2.1.45-RXN // RXN-9983 // RXN-2462 // RXN-2463 // R107-RXN // PROTOCATECHUATE-45-DIOXYGENASE-RXN	EC-4.1.3.17 // EC-4.1.1.112 // EC-1.1.1.312 // EC-5.3.2.8 // EC-3.1.1.57 // EC-4.2.1.83 // EC-1.13.11.8
PWY2O6K-2	PWY2O6K-2	Energy-Metabolism		RXN-12164 // RXN0-7123	EC-7.1.1.5 // EC-1.6.5.9
PWY-5956	PWY-5956	SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-9495	RXN-21582 // RXN-21581 // RXN-21578 // RXN-21576 // RXN-21577 // RXN-21575 // RXN-21574 // 2.1.1.109-RXN // RXN-9495	EC-1.14.14 // EC-1.1.1 // EC-1.3.1 // EC-4.1.1 // EC-2.1.1.109
PWY-5161	PWY-5161	AROMATIC-COMPOUNDS-BIOSYN		RXN-8011 // RXN-8010 // RXN-8009	EC-2.4.1 // EC-1.14.14
TOLUENE-DEG-3-OH-PWY	TOLUENE-DEG-3-OH-PWY	AROMATIC-COMPOUNDS-DEGRADATION		RXN-12735 // RXN-20764 // RXN-20763 // RXN-11219 // TOLUENE-4-MONOOXYGENASE-RXN // M-CRESOL-METHYLCATECHOL-RXN	EC-4.1.3.43 // EC-4.2.1.80 // EC-3.7.1.25 // EC-1.13.11.2 // EC-1.14.13.236
PWY-6854	PWY-6854	HORMONE-SYN	R15-RXN	RXN-14960 // SUPEROX-DISMUT-RXN // FERRIC-CHELATE-REDUCTASE-RXN // RXN-12541 // RXN-12540 // RXN-12539 // R15-RXN	EC-1.15.1.1 // EC-2.6.1.88
PWY-5040	PWY-5040	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-7603 // RXN-7602	
PWY-6914	PWY-6914	AROMATIC-COMPOUNDS-BIOSYN		2.5.1.71-RXN // 1.14.13.103-RXN // 2.5.1.70-RXN	EC-2.5.1.71 // EC-1.14.14.142 // EC-2.5.1.70
PWY-2961	PWY-2961	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-12828 // RXN-11907 // RXN-4848 // RXN-4846 // RXN-4845 // RXN-4844 // RXN-4843 // RXN-4842 // RXN-4823	EC-1.14.99 // EC-4.2.3.21
DESULFONATION-PWY	DESULFONATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION		BSDOSALCAL-RXN	EC-1.14.12
PWY0-321	PWY0-321	AROMATIC-COMPOUNDS-DEGRADATION		RXN-2425 // RXN-10819 // RXNMETA-12672 // RXNMETA-12671 // RXN0-6510 // RXN0-6512 // RXN0-2042 // RXN0-2044 // RXN-3641	EC-4.2.1.17 // EC-6.2.1.30 // EC-1.2.1.91 // EC-3.3.2.12 // EC-5.3.3.18 // EC-2.3.1.223 // EC-1.14.13.149 // EC-1.1.1.35 // EC-2.3.1.174
PWY-5499	PWY-5499	COFACTOR-DEGRADATION	PYRIDOXAL-4-DEHYDROGENASE-RXN	3.5.1.29-RXN // 1.14.12.4-RXN // 4.1.1.51-RXN // RXN-8756 // RXN-8757 // 4-PYRIDOXOLACTONASE-RXN // PYRIDOXAL-4-DEHYDROGENASE-RXN // PYRIDOXINE-4-OXIDASE-RXN // 2.6.1.30-RXN	EC-3.5.1.29 // EC-1.14.13.242 // EC-4.1.1.51 // EC-1.2.1.100 // EC-1.1.99.42 // EC-3.1.1.27 // EC-1.1.1.107 // EC-1.1.3.12 // EC-2.6.1.30
PWY-5063	PWY-5063	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-7658 // RXN-7659 // RXN-7660	
PWY-5947	PWY-5947	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-5962 // RXN-5961 // RXN1F-148	EC-1.14.14.158 // EC-1.14.99 // EC-5.5.1.19
PWY-7874	PWY-7874	CARBOXYLATES-DEG		RXN-18588 // RXN-18595 // RXN-18592 // RXN-18590	EC-4.1.1.104 // EC-2.7.1.217 // EC-5.3.1.35 // EC-1.1.1.411
PWY-7110	PWY-7110	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS		PWY-6942 // PWY-6976 // PWY-7106 // PWY-7104 // PWY-7109	
PWY-7456	PWY-7456	Polymer-Degradation // Carbohydrates-Degradation // Glycan-Pathways	RXN-15202 // RXN-12977 // RXN-15344 // 3.2.1.100-RXN	3.2.1.78-RXN // RXN-15202 // MANNPISOM-RXN // PHOSMANMUT-RXN // RXN-12977 // RXN-15344 // 3.2.1.100-RXN	EC-3.2.1.78 // EC-2.4.1.319 // EC-5.3.1.8 // EC-5.4.2.8 // EC-2.4.1.281 // EC-5.1.3.11 // EC-3.2.1.100
PWY-7581	PWY-7581	Carbohydrates-Degradation	RXN-16006	RXN-22511 // RXN0-7390 // RXN-16006	EC-4.1.3.3 // EC-5.1.3.8
PWY-1962	PWY-1962	Inactivation		RXN-3181 // RXN-3185 // RXN-3184 // RXN-2946	EC-6.3
PWY-8361	PWY-8361	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-23097 // RXN-23095 // RXN-23096 // RXN-23093 // RXN-23094 // RXN-23086 // RXN-23091 // RXN-23092 // RXN-23090 // RXN-23085 // RXN-23083 // RXN-23084 // RXN-23082 // RXN-23080 // RXN-23079 // RXN-23078 // RXN-23077 // RXN-23076 // RXN-23075 // RXN-23074 // RXN-23073 // RXN-23072	EC-6.2.1.53 // EC-6.2.1 // EC-6.2.1.M39 // EC-6.2.1.67 // EC-6.2.1.69 // EC-4.1.1.125 // EC-4.2.1.181 // EC-2.3.3.22 // EC-2.1.1
PWY-6444	PWY-6444	AROMATIC-COMPOUNDS-BIOSYN		RXN-24254 // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // PHENYLALANINE-AMMONIA-LYASE-RXN	EC-4.1.2 // EC-1.2.1.28 // EC-4.3.1.25 // EC-4.3.1.24
PWY-5002	PWY-5002	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-7487 // RXN-7486 // RXN-7484 // 2.3.1.151-RXN // RXN-7488	EC-1.14.14 // EC-2.3.1.151 // EC-6.2.1.37
PWY-7270	PWY-7270	Super-Pathways // Amino-Acid-Biosynthesis	4.4.1.14-RXN	PWY-4361 // PWY-6754 // 4.4.1.14-RXN // SAM-PWY	EC-4.4.1.14
PWY-8041	PWY-8041	Lipid-Biosynthesis		RXN-20351 // RXN-20350 // RXN-20349 // RXN-20348 // RXN-20347 // RXN-20346 // RXN-20345 // RXN-20344 // RXN-20343 // RXN-20342 // RXN-20341 // RXN-20340 // RXN-20339 // RXN-20338 // RXN-20337 // RXN-20336 // RXN-20335 // RXN-20334 // RXN-20333 // RXN-20332	EC-1.3.1.93 // EC-4.2.1.134 // EC-1.1.1.330 // EC-2.3.1.199
PWY-6383	PWY-6383	Cofactor-Biosynthesis // Polyprenyl-Biosynthesis	2.5.1.68-RXN	RXN-11027 // IPPISOM-RXN // GPPSYN-RXN // 2.5.1.68-RXN // RXN-11023	EC-3.6.1 // EC-5.3.3.2 // EC-2.5.1.1 // EC-2.5.1.68 // EC-2.5.1.86
PWY-5032	PWY-5032	HORMONE-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS		4.2.3.19-RXN // 5.5.1.13-RXN	EC-4.2.3.19 // EC-5.5.1.13
PWY-8060	PWY-8060	Carbohydrates-Degradation	RXN-14223	ACETALD-DEHYDROG-RXN // DEOXYRIBOSE-P-ALD-RXN // RXN-14223	EC-1.2.1.10 // EC-4.1.2.4 // EC-2.7.1.229
PWY-5038	PWY-5038	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-7601 // RXN-7600 // RXN-7597 // RXN-7596	EC-2.1.1.160 // EC-3.2.2.25 // EC-2.1.1.158
PWY-7593	PWY-7593	Lipid-Biosynthesis		RXN-16068	EC-1.14.19.45
PWY-8335	PWY-8335	Lipid-Biosynthesis		RXN-22836	EC-4.2.1
GLYCOLYSIS-E-D	GLYCOLYSIS-E-D	Super-Pathways // Energy-Metabolism		GLU6PDEHYDROG-RXN // 6PGLUCONOLACT-RXN // GLYCOLYSIS // ENTNER-DOUDOROFF-PWY	EC-1.1.1.49 // EC-3.1.1.31
PWY-8146	PWY-8146	Protein-Modification // Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis		RXN-21406 // RXN-21403 // HOLOCYTOCHROME-C-SYNTHASE-RXN	EC-4.4.1.17
PWY-8543	PWY-8543	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-24793 // RXN-24792 // RXN-24791 // RXN-24790 // RXN-24789 // GLUTDECARBOX-RXN // RXN-24786 // RXN-24787 // RXN-24788	EC-4.1.1.15
PWY-6344	PWY-6344	Amino-Acid-Degradation // Energy-Metabolism		RXN-18499 // ORNCARBAMTRANSFER-RXN // ARGININE-DEIMINASE-RXN // ORNMUTST-RXN // AKPTHIOL-RXN // ORNITHINE-RACEMASE-RXN	EC-1.4.1.26 // EC-2.1.3.3 // EC-3.5.3.6 // EC-5.4.3.5 // EC-2.3.1.263 // EC-5.1.1.10 // EC-5.1.1.12
PWY-7414	PWY-7414	Carbohydrates-Biosynthesis		DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12840 // RXN-12810 // RXN-12772	EC-4.2.1.46 // EC-2.7.7.24 // EC-5.3.2.4 // EC-2.6.1.89 // EC-2.1.1.235
PWY-5310	PWY-5310	Super-Pathways // AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-8178 // PWY-5307 // PWY-5295	EC-2.4.1
PWY-5314	PWY-5314	Amino-Acid-Degradation		RXN-8173 // RXN-8808	
PWY-5125	PWY-5125	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-18349 // RXN-18348 // 2.4.1.115-RXN	EC-1.14.20.4 // EC-2.4.1.115
PWY-7721	PWY-7721	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-17086 // RXN-17085 // FARNESYLTRANSTRANSFERASE-RXN // FPPSYN-RXN	EC-4.2.3.222 // EC-2.5.1.29 // EC-2.5.1.10
PWY-7819	PWY-7819	Cell-Structure-Biosynthesis	RXN-18059 // RXN-18060	RXN-18061 // TRANS-RXN-321 // RXN-18060 // RXN-18059 // RXN-18058 // RXN-18057 // GLCNACPTRANS-RXN // 2.7.7.39-RXN // TEICHOICSYN3-RXN // TEICHOICSYN2-RXN	EC-2.7.8.M1 // EC-7.5.2.4 // EC-2.4.1 // EC-2.7.8.33 // EC-2.7.7.39 // EC-2.7.8.44 // EC-2.4.1.187
SULFATE-CYS-PWY	SULFATE-CYS-PWY	Noncarbon-Nutrients // Super-Pathways		SERSYN-PWY // CYSTSYN-PWY // SO4ASSIM-PWY	
PWY-7854	PWY-7854	C1-COMPOUNDS		MALSYN-RXN // RXN-18387 // RXN-11002 // RXN-18381 // RXN-15977 // RXN-8957 // RXN-16391 // RXN-8958 // RXN-8960 // RXN-8961 // RXN-18384 // METHYLMALONYL-COA-MUT-RXN // RXN-8891 // RXN-8890	EC-2.3.3.9 // EC-6.2.1.56 // EC-1.1.1.co // EC-1.3.3.M3 // EC-1.3.3.6 // EC-1.3.1.85 // EC-5.1.99.1 // EC-5.4.99.63 // EC-4.2.1.148 // EC-4.1.3.24 // EC-5.4.99.2 // EC-1.2.1.76 // EC-4.2.1.120
PWY-6307	PWY-6307	Amino-Acid-Degradation	1.1.1.191-RXN // RXN-10715 // AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	1.1.1.191-RXN // RXN-1401 // RXN-10715 // AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	EC-1.1.1.2 // EC-1.1.1.191 // EC-1.4.3.4 // EC-1.2.1.3 // EC-4.1.1.28 // EC-4.1.1.105
PWY-8108	PWY-8108	AMINE-DEG		RXN-21056 // RXN-21058	EC-2.1.1.376 // EC-2.1.1.378
PWY-101	PWY-101	Energy-Metabolism	PSII-RXN // RXN-15479	RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN // 1.18.1.2-RXN // PSII-RXN	EC-1.97.1.12 // EC-7.1.1.6 // EC-1.18.1.2 // EC-1.10.3.9
PWY66-394	PWY66-394	SECONDARY-METABOLITE-BIOSYNTHESIS		RXN-20582 // RXN-16139 // RXN66-547 // RXN66-494 // RXN66-495 // RXN66-496	EC-1.13.11.34 // EC-3.1.1.4 // EC-1.14.99 // EC-3.3.2.6
PWY66-432	PWY66-432	Protein-Modification // Metabolic-Clusters		3.4.21.22-RXN // RXN66-683 // RXN66-681 // 3.4.21.95-RXN // 3.4.21.5-RXN // 3.4.21.6-RXN // RXN66-682 // 3.4.21.27-RXN // 3.4.21.21-RXN // 3.4.21.38-RXN // RXN66-680	EC-3.4.21.22 // EC-3.4.21 // EC-3.4.21.95 // EC-3.4.21.5 // EC-3.4.21.6 // EC-3.4.21.27 // EC-3.4.21.21 // EC-3.4.21.38
PWY-6262	PWY-6262	Cofactor-Biosynthesis		RXN-22598 // RXN-22597	EC-4.1.1.M24 // EC-2.5.1.M27
PWY-7976	PWY-7976	Noncarbon-Nutrients		RXN-14537	EC-1.8.1.18
PWY-6269	PWY-6269	Super-Pathways // Cofactor-Biosynthesis	R346-RXN	PWY-5509 // PWY-7972 // RXN-8770 // COBALAMIN5PSYN-RXN // R346-RXN // RXN-6261 // DMBPPRIBOSYLTRANS-RXN // COBINPGUANYLYLTRANS-RXN	EC-3.1.3.73 // EC-2.7.8.26 // EC-3.5.1.90 // EC-6.3.1.10 // EC-2.4.2.21 // EC-2.7.7.62
PWY-5071	PWY-5071	Super-Pathways // AROMATIC-COMPOUNDS-BIOSYN		PWY-5049 // PWY-5048	
