Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
3995R_S2_RR_Female_week9_S81_L001_R1_001	(17.0, 3.0)	(18.0, 22.0)	(19.0, 45.0)	(20.0, 145.0)	(21.0, 332.0)	(22.0, 652.0)	(23.0, 939.0)	(24.0, 1411.0)	(25.0, 1819.0)	(26.0, 2301.0)	(27.0, 2778.0)	(28.0, 3267.0)	(29.0, 3891.0)	(30.0, 4444.0)	(31.0, 5530.0)	(32.0, 6747.0)	(33.0, 8658.0)	(34.0, 11534.0)	(35.0, 17203.0)	(36.0, 32641.0)	(37.0, 111703.0)							
3995R_S2_RR_Female_week9_S81_L001_R2_001	(11.0, 5.0)	(12.0, 20.0)	(13.0, 61.0)	(14.0, 169.0)	(15.0, 243.0)	(16.0, 298.0)	(17.0, 387.0)	(18.0, 468.0)	(19.0, 627.0)	(20.0, 735.0)	(21.0, 954.0)	(22.0, 1105.0)	(23.0, 1356.0)	(24.0, 1670.0)	(25.0, 2190.0)	(26.0, 2759.0)	(27.0, 3980.0)	(28.0, 5913.0)	(29.0, 8607.0)	(30.0, 11878.0)	(31.0, 16829.0)	(32.0, 22982.0)	(33.0, 30775.0)	(34.0, 37425.0)	(35.0, 38615.0)	(36.0, 24236.0)	(37.0, 1778.0)	
3995R_S2_R_Female_week5_S66_L001_R1_001	(16.0, 1.0)	(17.0, 4.0)	(18.0, 27.0)	(19.0, 42.0)	(20.0, 140.0)	(21.0, 275.0)	(22.0, 548.0)	(23.0, 781.0)	(24.0, 933.0)	(25.0, 1101.0)	(26.0, 1343.0)	(27.0, 1488.0)	(28.0, 1791.0)	(29.0, 2103.0)	(30.0, 2417.0)	(31.0, 2879.0)	(32.0, 3613.0)	(33.0, 4485.0)	(34.0, 6275.0)	(35.0, 9413.0)	(36.0, 19014.0)	(37.0, 52141.0)						
3995R_S2_R_Female_week5_S66_L001_R2_001	(11.0, 4.0)	(12.0, 25.0)	(13.0, 71.0)	(14.0, 152.0)	(15.0, 198.0)	(16.0, 266.0)	(17.0, 290.0)	(18.0, 297.0)	(19.0, 368.0)	(20.0, 509.0)	(21.0, 554.0)	(22.0, 658.0)	(23.0, 738.0)	(24.0, 963.0)	(25.0, 1217.0)	(26.0, 1490.0)	(27.0, 1970.0)	(28.0, 2741.0)	(29.0, 4091.0)	(30.0, 5676.0)	(31.0, 8123.0)	(32.0, 11328.0)	(33.0, 15444.0)	(34.0, 19346.0)	(35.0, 20722.0)	(36.0, 12832.0)	(37.0, 741.0)	
3995R_S2_R_Female_week9_S80_L001_R1_001	(17.0, 5.0)	(18.0, 24.0)	(19.0, 58.0)	(20.0, 142.0)	(21.0, 371.0)	(22.0, 671.0)	(23.0, 1037.0)	(24.0, 1434.0)	(25.0, 1739.0)	(26.0, 2152.0)	(27.0, 2475.0)	(28.0, 3010.0)	(29.0, 3475.0)	(30.0, 4155.0)	(31.0, 4902.0)	(32.0, 5959.0)	(33.0, 7612.0)	(34.0, 10261.0)	(35.0, 15178.0)	(36.0, 29480.0)	(37.0, 101912.0)							
3995R_S2_R_Female_week9_S80_L001_R2_001	(10.0, 1.0)	(11.0, 15.0)	(12.0, 58.0)	(13.0, 189.0)	(14.0, 293.0)	(15.0, 344.0)	(16.0, 321.0)	(17.0, 423.0)	(18.0, 618.0)	(19.0, 718.0)	(20.0, 837.0)	(21.0, 1028.0)	(22.0, 1266.0)	(23.0, 1515.0)	(24.0, 1744.0)	(25.0, 2161.0)	(26.0, 2931.0)	(27.0, 4173.0)	(28.0, 5743.0)	(29.0, 8032.0)	(30.0, 11237.0)	(31.0, 15667.0)	(32.0, 21336.0)	(33.0, 27874.0)	(34.0, 33555.0)	(35.0, 33663.0)	(36.0, 19329.0)	(37.0, 981.0)
3997R_S2_L_Male_week5_S73_L001_R1_001	(17.0, 4.0)	(18.0, 12.0)	(19.0, 24.0)	(20.0, 72.0)	(21.0, 207.0)	(22.0, 318.0)	(23.0, 528.0)	(24.0, 611.0)	(25.0, 864.0)	(26.0, 1082.0)	(27.0, 1311.0)	(28.0, 1565.0)	(29.0, 1758.0)	(30.0, 2089.0)	(31.0, 2541.0)	(32.0, 3193.0)	(33.0, 4194.0)	(34.0, 5555.0)	(35.0, 8673.0)	(36.0, 16711.0)	(37.0, 57145.0)							
3997R_S2_L_Male_week5_S73_L001_R2_001	(12.0, 12.0)	(13.0, 38.0)	(14.0, 85.0)	(15.0, 131.0)	(16.0, 154.0)	(17.0, 202.0)	(18.0, 284.0)	(19.0, 369.0)	(20.0, 405.0)	(21.0, 481.0)	(22.0, 575.0)	(23.0, 639.0)	(24.0, 891.0)	(25.0, 1009.0)	(26.0, 1267.0)	(27.0, 1693.0)	(28.0, 2253.0)	(29.0, 3302.0)	(30.0, 4753.0)	(31.0, 6881.0)	(32.0, 9918.0)	(33.0, 14082.0)	(34.0, 19476.0)	(35.0, 22921.0)	(36.0, 15640.0)	(37.0, 996.0)		
3997R_S2_L_Male_week9_S87_L001_R1_001	(16.0, 2.0)	(17.0, 1.0)	(18.0, 17.0)	(19.0, 54.0)	(20.0, 127.0)	(21.0, 383.0)	(22.0, 630.0)	(23.0, 985.0)	(24.0, 1279.0)	(25.0, 1710.0)	(26.0, 2169.0)	(27.0, 2495.0)	(28.0, 3027.0)	(29.0, 3510.0)	(30.0, 4193.0)	(31.0, 4906.0)	(32.0, 6121.0)	(33.0, 7681.0)	(34.0, 10609.0)	(35.0, 15847.0)	(36.0, 29787.0)	(37.0, 101070.0)						
3997R_S2_L_Male_week9_S87_L001_R2_001	(11.0, 6.0)	(12.0, 32.0)	(13.0, 124.0)	(14.0, 270.0)	(15.0, 371.0)	(16.0, 347.0)	(17.0, 415.0)	(18.0, 581.0)	(19.0, 682.0)	(20.0, 842.0)	(21.0, 981.0)	(22.0, 1191.0)	(23.0, 1396.0)	(24.0, 1790.0)	(25.0, 2105.0)	(26.0, 2807.0)	(27.0, 3912.0)	(28.0, 5609.0)	(29.0, 8188.0)	(30.0, 11103.0)	(31.0, 15532.0)	(32.0, 21007.0)	(33.0, 27508.0)	(34.0, 34263.0)	(35.0, 34713.0)	(36.0, 19877.0)	(37.0, 951.0)	
3997R_S2_R_Male_week5_S74_L001_R1_001	(16.0, 1.0)	(17.0, 3.0)	(18.0, 18.0)	(19.0, 40.0)	(20.0, 133.0)	(21.0, 295.0)	(22.0, 535.0)	(23.0, 815.0)	(24.0, 1096.0)	(25.0, 1497.0)	(26.0, 1869.0)	(27.0, 2280.0)	(28.0, 2703.0)	(29.0, 3034.0)	(30.0, 3775.0)	(31.0, 4514.0)	(32.0, 5548.0)	(33.0, 7090.0)	(34.0, 9538.0)	(35.0, 14421.0)	(36.0, 27506.0)	(37.0, 96790.0)						
3997R_S2_R_Male_week5_S74_L001_R2_001	(11.0, 2.0)	(12.0, 13.0)	(13.0, 26.0)	(14.0, 116.0)	(15.0, 239.0)	(16.0, 353.0)	(17.0, 454.0)	(18.0, 539.0)	(19.0, 622.0)	(20.0, 739.0)	(21.0, 864.0)	(22.0, 1018.0)	(23.0, 1183.0)	(24.0, 1419.0)	(25.0, 1832.0)	(26.0, 2361.0)	(27.0, 3152.0)	(28.0, 4522.0)	(29.0, 6639.0)	(30.0, 9166.0)	(31.0, 13088.0)	(32.0, 18169.0)	(33.0, 24517.0)	(34.0, 31741.0)	(35.0, 35063.0)	(36.0, 23744.0)	(37.0, 1920.0)	
3997R_S2_R_Male_week9_S88_L001_R1_001	(17.0, 2.0)	(18.0, 15.0)	(19.0, 29.0)	(20.0, 84.0)	(21.0, 205.0)	(22.0, 339.0)	(23.0, 497.0)	(24.0, 759.0)	(25.0, 985.0)	(26.0, 1260.0)	(27.0, 1444.0)	(28.0, 1821.0)	(29.0, 2013.0)	(30.0, 2404.0)	(31.0, 3015.0)	(32.0, 3695.0)	(33.0, 4708.0)	(34.0, 6355.0)	(35.0, 9550.0)	(36.0, 17866.0)	(37.0, 56353.0)							
3997R_S2_R_Male_week9_S88_L001_R2_001	(12.0, 9.0)	(13.0, 37.0)	(14.0, 75.0)	(15.0, 153.0)	(16.0, 187.0)	(17.0, 245.0)	(18.0, 355.0)	(19.0, 418.0)	(20.0, 488.0)	(21.0, 558.0)	(22.0, 671.0)	(23.0, 819.0)	(24.0, 1016.0)	(25.0, 1274.0)	(26.0, 1612.0)	(27.0, 2304.0)	(28.0, 3219.0)	(29.0, 4584.0)	(30.0, 6450.0)	(31.0, 8937.0)	(32.0, 12059.0)	(33.0, 15822.0)	(34.0, 19123.0)	(35.0, 19651.0)	(36.0, 12530.0)	(37.0, 803.0)		
NS1_mouse_inoculum_S35_L001_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 9.0)	(18.0, 21.0)	(19.0, 46.0)	(20.0, 133.0)	(21.0, 374.0)	(22.0, 647.0)	(23.0, 934.0)	(24.0, 1181.0)	(25.0, 1414.0)	(26.0, 1719.0)	(27.0, 1975.0)	(28.0, 2294.0)	(29.0, 2704.0)	(30.0, 3277.0)	(31.0, 3755.0)	(32.0, 4628.0)	(33.0, 5720.0)	(34.0, 7743.0)	(35.0, 11030.0)	(36.0, 20770.0)	(37.0, 65570.0)					
NS1_mouse_inoculum_S35_L001_R2_001	(12.0, 1.0)	(13.0, 15.0)	(14.0, 65.0)	(15.0, 155.0)	(16.0, 281.0)	(17.0, 358.0)	(18.0, 423.0)	(19.0, 515.0)	(20.0, 615.0)	(21.0, 785.0)	(22.0, 824.0)	(23.0, 968.0)	(24.0, 1172.0)	(25.0, 1426.0)	(26.0, 1840.0)	(27.0, 2389.0)	(28.0, 3363.0)	(29.0, 4961.0)	(30.0, 7143.0)	(31.0, 9863.0)	(32.0, 13405.0)	(33.0, 18678.0)	(34.0, 24622.0)	(35.0, 26303.0)	(36.0, 15058.0)	(37.0, 719.0)		
Positive_Control_S89_L001_R1_001	(16.0, 1.0)	(17.0, 2.0)	(18.0, 7.0)	(19.0, 30.0)	(20.0, 129.0)	(21.0, 361.0)	(22.0, 747.0)	(23.0, 1194.0)	(24.0, 1620.0)	(25.0, 2176.0)	(26.0, 2487.0)	(27.0, 2973.0)	(28.0, 3486.0)	(29.0, 4020.0)	(30.0, 4585.0)	(31.0, 5336.0)	(32.0, 6480.0)	(33.0, 7862.0)	(34.0, 9889.0)	(35.0, 14089.0)	(36.0, 25624.0)	(37.0, 61444.0)						
Positive_Control_S89_L001_R2_001	(11.0, 5.0)	(12.0, 12.0)	(13.0, 39.0)	(14.0, 113.0)	(15.0, 220.0)	(16.0, 304.0)	(17.0, 362.0)	(18.0, 468.0)	(19.0, 565.0)	(20.0, 694.0)	(21.0, 917.0)	(22.0, 1015.0)	(23.0, 1201.0)	(24.0, 1346.0)	(25.0, 1666.0)	(26.0, 2194.0)	(27.0, 2872.0)	(28.0, 4363.0)	(29.0, 6650.0)	(30.0, 9325.0)	(31.0, 12961.0)	(32.0, 17082.0)	(33.0, 22227.0)	(34.0, 27834.0)	(35.0, 26692.0)	(36.0, 13056.0)	(37.0, 359.0)	
S2_mouse_inoculum_S36_L001_R1_001	(16.0, 2.0)	(17.0, 7.0)	(18.0, 19.0)	(19.0, 68.0)	(20.0, 144.0)	(21.0, 425.0)	(22.0, 776.0)	(23.0, 1108.0)	(24.0, 1518.0)	(25.0, 1841.0)	(26.0, 2301.0)	(27.0, 2758.0)	(28.0, 3295.0)	(29.0, 3761.0)	(30.0, 4423.0)	(31.0, 5168.0)	(32.0, 6484.0)	(33.0, 8055.0)	(34.0, 10625.0)	(35.0, 15613.0)	(36.0, 28518.0)	(37.0, 88464.0)						
S2_mouse_inoculum_S36_L001_R2_001	(12.0, 7.0)	(13.0, 37.0)	(14.0, 94.0)	(15.0, 248.0)	(16.0, 385.0)	(17.0, 458.0)	(18.0, 546.0)	(19.0, 670.0)	(20.0, 789.0)	(21.0, 924.0)	(22.0, 1174.0)	(23.0, 1368.0)	(24.0, 1777.0)	(25.0, 2246.0)	(26.0, 2673.0)	(27.0, 3411.0)	(28.0, 4595.0)	(29.0, 6469.0)	(30.0, 9361.0)	(31.0, 13242.0)	(32.0, 18155.0)	(33.0, 24711.0)	(34.0, 32705.0)	(35.0, 36071.0)	(36.0, 22100.0)	(37.0, 1157.0)		
negative_ctrl_S90_L001_R1_001	(17.0, 1.0)	(18.0, 5.0)	(19.0, 16.0)	(20.0, 62.0)	(21.0, 186.0)	(22.0, 343.0)	(23.0, 402.0)	(24.0, 459.0)	(25.0, 411.0)	(26.0, 483.0)	(27.0, 538.0)	(28.0, 621.0)	(29.0, 683.0)	(30.0, 804.0)	(31.0, 1083.0)	(32.0, 1333.0)	(33.0, 1653.0)	(34.0, 2249.0)	(35.0, 3230.0)	(36.0, 5666.0)	(37.0, 7587.0)							
negative_ctrl_S90_L001_R2_001	(12.0, 2.0)	(13.0, 10.0)	(14.0, 31.0)	(15.0, 60.0)	(16.0, 86.0)	(17.0, 81.0)	(18.0, 113.0)	(19.0, 116.0)	(20.0, 154.0)	(21.0, 183.0)	(22.0, 202.0)	(23.0, 253.0)	(24.0, 233.0)	(25.0, 274.0)	(26.0, 403.0)	(27.0, 664.0)	(28.0, 1012.0)	(29.0, 1491.0)	(30.0, 2065.0)	(31.0, 2928.0)	(32.0, 3820.0)	(33.0, 4824.0)	(34.0, 4673.0)	(35.0, 3220.0)	(36.0, 904.0)	(37.0, 13.0)		
