STATA_FemMicro364,STATA_FemMicro (all small),"STATA_FemMicro (no plate, all small)",Short ID,Id,Danska_ASV,Danska_species,Control,Inoculum,Plate,Sex,Community Sero Status,Consortium,Timepoint,Merged Weeks,Week and Consortium,Sex and Consortium,Sex and Timepoint,poor_quality_sample_exclude,SRA_sample_name,sequencing_plate_number,samples_364_by_seq_asv_table_name
plate2_3975R_R_F_NS1_week5_S14_L,plate2_3975r_r_f_ns1_week5_s14_l,3975r_r_f_ns1_week5_s14_l,3975R_R_F_NS1_week5,Plate2_3975R_R_F_NS1_week5_S14_L001,3975R_R_F_NS1_week5,3975R_R_F_NS1_week5,,,plate2,Female,IAB-,NS1,week_5,w5,NS1_w5,Female_NS1,Female_w5,,3975R_R_F_NS1_week5,plate2,Plate2_3975R_R_F_NS1_week5_S14_L001
plate2_3975R_R_F_NS1_week6_S15_L,plate2_3975r_r_f_ns1_week6_s15_l,3975r_r_f_ns1_week6_s15_l,3975R_R_F_NS1_week6,Plate2_3975R_R_F_NS1_week6_S15_L001,3975R_R_F_NS1_week6,3975R_R_F_NS1_week6,,,plate2,Female,IAB-,NS1,week_6,w6,NS1_w6,Female_NS1,Female_w6,,3975R_R_F_NS1_week6,plate2,Plate2_3975R_R_F_NS1_week6_S15_L001
plate2_3975R_R_F_NS1_week7_S16_L,plate2_3975r_r_f_ns1_week7_s16_l,3975r_r_f_ns1_week7_s16_l,3975R_R_F_NS1_week7,Plate2_3975R_R_F_NS1_week7_S16_L001,3975R_R_F_NS1_week7,3975R_R_F_NS1_week7,,,plate2,Female,IAB-,NS1,week_7,w7,NS1_w7,Female_NS1,Female_w7,,3975R_R_F_NS1_week7,plate2,Plate2_3975R_R_F_NS1_week7_S16_L001
plate2_3975R_R_F_NS1_week9_S17_L,plate2_3975r_r_f_ns1_week9_s17_l,3975r_r_f_ns1_week9_s17_l,3975R_R_F_NS1_week9,Plate2_3975R_R_F_NS1_week9_S17_L001,3975R_R_F_NS1_week9,3975R_R_F_NS1_week9,,,plate2,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10,,3975R_R_F_NS1_week9,plate2,Plate2_3975R_R_F_NS1_week9_S17_L001
plate2_3980R_0_F_S2_week9_S51_L0,plate2_3980r_0_f_s2_week9_s51_l0,3980r_0_f_s2_week9_s51_l0,3980R_0_F_S2_week9,Plate2_3980R_0_F_S2_week9_S51_L001,3980R_0_F_S2_week9,3980R_0_F_S2_week9,,,plate2,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,3980R_0_F_S2_week9,plate2,Plate2_3980R_0_F_S2_week9_S51_L001
plate2_negative_control_S90_L001,plate2_negative_control_s90_l001,negative_control_s90_l001,negative_cntrl_p2,Plate2_Negative_Control_S90_L001,,,NEGATIVE,,plate2,,,,,,,,,,Plate2_negative_control,plate2,Plate2_negative_control_S90_L001
plate2_Positive_control_S89_L001,plate2_positive_control_s89_l001,positive_control_s89_l001,positive_cntrl_p2,Plate2_Positive_Control_S89_L001,,,POSITIVE,,plate2,,,,,,,,,,Plate2_Positive_control,plate2,Plate2_Positive_control_S89_L001
plate3_016R_0_F_NS6_week5_S1_L00,plate3_016r_0_f_ns6_week5_s1_l00,016r_0_f_ns6_week5_s1_l00,016R_0_F_NS6_week5,Plate3_016R_0_F_NS6_week5_S1_L001,016R_0_F_NS6_week5,016R_0_F_NS6_week5,,,plate3,Female,IAB-,NS6,week_5,w5,NS6_w5,Female_NS6,Female_w5,,016R_0_F_NS6_week5,plate3,Plate3_016R_0_F_NS6_week5_S1_L001
plate3_016R_R_F_NS6_week9,plate3_016r_r_f_ns6_pellet_week9,016r_r_f_ns6_pellet_week9,016R_R_F_NS6_week9,Plate3_016R_R_F_NS6_week9_S2_L001,016R_R_F_NS6_Pellet_week9,016R_R_F_NS6_Pellet_week9,,,plate3,Female,IAB-,NS6,week_9,w9w10,NS6_w9w10,Female_NS6,Female_w9w10,,016R_R_F_NS6_Pellet_week9,plate3,Plate3_016R_R_F_NS6_Pellet_week9_S2_L001
plate3_073R_R_M_S2_diabetes_S7_L,plate3_073r_r_m_s2_diabetes_s7_l,073r_r_m_s2_diabetes_s7_l,073R_R_M_S2_DIABETES,Plate3_073R_R_M_S2_DIABETES_S7_L001,,,,,plate3,Male,IAB+,S2,diabetes,diabetes,S2_diabetes,Male_S2,Male_diabetes,,073R_R_M_S2_diabetes,plate3,Plate3_073R_R_M_S2_diabetes_S7_L001
plate3_073R_R_M_S2_Pellet_week9_,plate3_073r_r_m_s2_pellet_week9_,073r_r_m_s2_pellet_week9_,073R_R_M_S2_week9,Plate3_073R_R_M_S2_week9_S61_L001,073R_R_M_S2_Pellet_week9,073R_R_M_S2_Pellet_week9,,,plate3,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,073R_R_M_S2_Pellet_week9,plate3,Plate3_073R_R_M_S2_Pellet_week9_S61_L001
plate3_073R_R_M_S2_week5_S33_L00,plate3_073r_r_m_s2_week5_s33_l00,073r_r_m_s2_week5_s33_l00,073R_R_M_S2_week5,Plate3_073R_R_M_S2_week5_S33_L001,073R_R_M_S2_week5,073R_R_M_S2_week5,,,plate3,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,073R_R_M_S2_week5,plate3,Plate3_073R_R_M_S2_week5_S33_L001
plate3_073R_S2_week21_S27_L001,plate3_073r_s2_week21_s27_l001,073r_s2_week21_s27_l001,073R_S2_week21,Plate3_073R_S2_week21_S27_L001,,,,,plate3,Male,IAB+,S2,week_21,w21,S2_w21,Male_S2,Male_w21,,073R_S2_week21,plate3,Plate3_073R_S2_week21_S27_L001
plate3_096R_0_M_S5_week5_S4_L001,plate3_096r_0_m_s5_week5_s4_l001,096r_0_m_s5_week5_s4_l001,096R_0_M_S5_week5,Plate3_096R_0_M_S5_week5_S4_L001,096R_0_M_S5_week5,096R_0_M_S5_week5,,,plate3,Male,IAB+,S5,week_5,w5,S5_w5,Male_S5,Male_w5,,096R_0_M_S5_week5,plate3,Plate3_096R_0_M_S5_week5_S4_L001
plate3_1067R_0_M_S2_week5_S34_L0,plate3_1067r_0_m_s2_week5_s34_l0,1067r_0_m_s2_week5_s34_l0,1067R_0_M_S2_week5,Plate3_1067R_0_M_S2_week5_S34_L001,1067R_0_M_S2_week5,1067R_0_M_S2_week5,,,plate3,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,1067R_0_M_S2_week5,plate3,Plate3_1067R_0_M_S2_week5_S34_L001
plate3_1067R_0_M_S2_week9_S62_L0,plate3_1067r_0_m_s2_week9_s62_l0,1067r_0_m_s2_week9_s62_l0,1067R_0_M_S2_week9,Plate3_1067R_0_M_S2_week9_S62_L001,1067R_0_M_S2_week9,1067R_0_M_S2_week9,,,plate3,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,1067R_0_M_S2_week9,plate3,Plate3_1067R_0_M_S2_week9_S62_L001
plate3_1067R_L_M_S2_week5_S35_L0,plate3_1067r_l_m_s2_week5_s35_l0,1067r_l_m_s2_week5_s35_l0,1067R_L_M_S2_week5,Plate3_1067R_L_M_S2_week5_S35_L001,1067R_L_M_S2_week5,1067R_L_M_S2_week5,,,plate3,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,1067R_L_M_S2_week5,plate3,Plate3_1067R_L_M_S2_week5_S35_L001
plate3_1067R_L_M_S2_week9_S63_L0,plate3_1067r_l_m_s2_week9_s63_l0,1067r_l_m_s2_week9_s63_l0,1067R_L_M_S2_week9,Plate3_1067R_L_M_S2_week9_S63_L001,1067R_L_M_S2_week9,1067R_L_M_S2_week9,,,plate3,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,1067R_L_M_S2_week9,plate3,Plate3_1067R_L_M_S2_week9_S63_L001
plate3_1067R_R_M_S2_diabetes_S8_,plate3_1067r_r_m_s2_diabetes_s8_,1067r_r_m_s2_diabetes_s8_,1067R_R_M_S2_DIABETES,Plate3_1067R_R_M_S2_DIABETES_S8_L001,,,,,plate3,Male,IAB+,S2,diabetes,diabetes,S2_diabetes,Male_S2,Male_diabetes,,1067R_R_M_S2_diabetes,plate3,Plate3_1067R_R_M_S2_diabetes_S8_L001
plate3_1067R_S2_week27_S30_L001,plate3_1067r_s2_week27_s30_l001,1067r_s2_week27_s30_l001,1067R_S2_week27,Plate3_1067R_S2_week27_S30_L001,,,,,plate3,Male,IAB+,S2,week_27,w27,S2_w27,Male_S2,Male_w27,,1067R_S2_week27,plate3,Plate3_1067R_S2_week27_S30_L001
plate3_1075R_RL_M_NS6_Pellet_wee,plate3_1075r_rl_m_ns6_pellet_wee,1075r_rl_m_ns6_pellet_wee,1075R_RL_M_NS6_week9,Plate3_1075R_RL_M_NS6_week9_S3_L001,1075R_RL_M_NS6_Pellet_week9,1075R_RL_M_NS6_Pellet_week9,,,plate3,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10,,1075R_RL_M_NS6_Pellet_week9,plate3,Plate3_1075R_RL_M_NS6_Pellet_week9_S3_L001
plate3_1152R_0_M_S2_week5_S36_L0,plate3_1152r_0_m_s2_week5_s36_l0,1152r_0_m_s2_week5_s36_l0,1152R_0_M_S2_week5,Plate3_1152R_0_M_S2_week5_S36_L001,1152R_0_M_S2_week5,1152R_0_M_S2_week5,,,plate3,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,1152R_0_M_S2_week5,plate3,Plate3_1152R_0_M_S2_week5_S36_L001
plate3_1152R_L_M_S2_diabetes_S9_,plate3_1152r_l_m_s2_diabetes_s9_,1152r_l_m_s2_diabetes_s9_,1152R_L_M_S2_DIABETES,Plate3_1152R_L_M_S2_DIABETES_S9_L001,,,,,plate3,Male,IAB+,S2,diabetes,diabetes,S2_diabetes,Male_S2,Male_diabetes,,1152R_L_M_S2_diabetes,plate3,Plate3_1152R_L_M_S2_diabetes_S9_L001
plate3_1152R_L_M_S2_week5_S37_L0,plate3_1152r_l_m_s2_week5_s37_l0,1152r_l_m_s2_week5_s37_l0,1152R_L_M_S2_week5,Plate3_1152R_L_M_S2_week5_S37_L001,1152R_L_M_S2_week5,1152R_L_M_S2_week5,,,plate3,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,1152R_L_M_S2_week5,plate3,Plate3_1152R_L_M_S2_week5_S37_L001
plate3_1152R_L_M_S2_week9_S64_L0,plate3_1152r_l_m_s2_week9_s64_l0,1152r_l_m_s2_week9_s64_l0,1152R_L_M_S2_week9,Plate3_1152R_L_M_S2_week9_S64_L001,1152R_L_M_S2_week9,1152R_L_M_S2_week9,,,plate3,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,1152R_L_M_S2_week9,plate3,Plate3_1152R_L_M_S2_week9_S64_L001
plate3_1152R_R_M_S2_week5_S38_L0,plate3_1152r_r_m_s2_week5_s38_l0,1152r_r_m_s2_week5_s38_l0,1152R_R_M_S2_week5,Plate3_1152R_R_M_S2_week5_S38_L001,1152R_R_M_S2_week5,1152R_R_M_S2_week5,,,plate3,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,1152R_R_M_S2_week5,plate3,Plate3_1152R_R_M_S2_week5_S38_L001
plate3_1152R_R_M_S2_week9_S65_L0,plate3_1152r_r_m_s2_week9_s65_l0,1152r_r_m_s2_week9_s65_l0,1152R_R_M_S2_week9,Plate3_1152R_R_M_S2_week9_S65_L001,1152R_R_M_S2_week9,1152R_R_M_S2_week9,,,plate3,Male,IAB+,S2,week_9,w9w10,S2_w9w10,Male_S2,Male_w9w10,,1152R_R_M_S2_week9,plate3,Plate3_1152R_R_M_S2_week9_S65_L001
plate3_1152R_S2_week28_S31_L001,plate3_1152r_s2_week28_s31_l001,1152r_s2_week28_s31_l001,1152R_S2_week28,Plate3_1152R_S2_week28_S31_L001,,,,,plate3,Male,IAB+,S2,week_28,w28,S2_w28,Male_S2,Male_w28,,1152R_S2_week28,plate3,Plate3_1152R_S2_week28_S31_L001
plate3_1174R_0_M_S2_diabetes_S10,plate3_1174r_0_m_s2_diabetes_s10,1174r_0_m_s2_diabetes_s10,1174R_0_M_S2_DIABETES,Plate3_1174R_0_M_S2_DIABETES_S10_L001,,,,,plate3,Male,IAB+,S2,diabetes,diabetes,S2_diabetes,Male_S2,Male_diabetes,,1174R_0_M_S2_diabetes,plate3,Plate3_1174R_0_M_S2_diabetes_S10_L001
plate3_1174R_0_M_S2_week5_S39_L0,plate3_1174r_0_m_s2_week5_s39_l0,1174r_0_m_s2_week5_s39_l0,1174R_0_M_S2_week5,Plate3_1174R_0_M_S2_week5_S39_L001,1174R_0_M_S2_week5,1174R_0_M_S2_week5,,,plate3,Male,IAB+,S2,week_5,w5,S2_w5,Male_S2,Male_w5,,1174R_0_M_S2_week5,plate3,Plate3_1174R_0_M_S2_week5_S39_L001
plate3_1174R_S2_week14_S21_L001,plate3_1174r_s2_week14_s21_l001,1174r_s2_week14_s21_l001,1174R_S2_week14,Plate3_1174R_S2_week14_S21_L001,,,,,plate3,Male,IAB+,S2,week_14,w14,S2_w14,Male_S2,Male_w14,,1174R_S2_week14,plate3,Plate3_1174R_S2_week14_S21_L001
plate3_2402R_R_F_S5_Pellet_week9,plate3_2402r_r_f_s5_pellet_week9,2402r_r_f_s5_pellet_week9,2402R_R_F_S5_week9,Plate3_2402R_R_F_S5_week9_S5_L001,2402R_R_F_S5_Pellet_week9,2402R_R_F_S5_Pellet_week9,,,plate3,Female,IAB+,S5,week_9,w9w10,S5_w9w10,Female_S5,Female_w9w10,,2402R_R_F_S5_Pellet_week9,plate3,Plate3_2402R_R_F_S5_Pellet_week9_S5_L001
plate3_2404R_0_F_S2_week5_S40_L0,plate3_2404r_0_f_s2_week5_s40_l0,2404r_0_f_s2_week5_s40_l0,2404R_0_F_S2_week5,Plate3_2404R_0_F_S2_week5_S40_L001,2404R_0_F_S2_week5,2404R_0_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,2404R_0_F_S2_week5,plate3,Plate3_2404R_0_F_S2_week5_S40_L001
plate3_2404R_0_F_S2_week9_S66_L0,plate3_2404r_0_f_s2_week9_s66_l0,2404r_0_f_s2_week9_s66_l0,2404R_0_F_S2_week9,Plate3_2404R_0_F_S2_week9_S66_L001,2404R_0_F_S2_week9,2404R_0_F_S2_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,2404R_0_F_S2_week9,plate3,Plate3_2404R_0_F_S2_week9_S66_L001
plate3_2404R_L_F_S2_diabetes_S11,plate3_2404r_l_f_s2_diabetes_s11,2404r_l_f_s2_diabetes_s11,2404R_L_F_S2_DIABETES,Plate3_2404R_L_F_S2_DIABETES_S11_L001,,,,,plate3,Female,IAB+,S2,diabetes,diabetes,S2_diabetes,Female_S2,Female_diabetes,,2404R_L_F_S2_diabetes,plate3,Plate3_2404R_L_F_S2_diabetes_S11_L001
plate3_2404R_L_F_S2_week5_S41_L0,plate3_2404r_l_f_s2_week5_s41_l0,2404r_l_f_s2_week5_s41_l0,2404R_L_F_S2_week5,Plate3_2404R_L_F_S2_week5_S41_L001,2404R_L_F_S2_week5,2404R_L_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,2404R_L_F_S2_week5,plate3,Plate3_2404R_L_F_S2_week5_S41_L001
plate3_2404R_L_F_S2_week9_S67_L0,plate3_2404r_l_f_s2_week9_s67_l0,2404r_l_f_s2_week9_s67_l0,2404R_L_F_S2_week9,Plate3_2404R_L_F_S2_week9_S67_L001,2404R_L_F_S2_week9,2404R_L_F_S2_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,2404R_L_F_S2_week9,plate3,Plate3_2404R_L_F_S2_week9_S67_L001
plate3_2404R_S2_week14_S22_L001,plate3_2404r_s2_week14_s22_l001,2404r_s2_week14_s22_l001,2404R_S2_week14,Plate3_2404R_S2_week14_S22_L001,,,,,plate3,Female,IAB+,S2,week_14,w14,S2_w14,Female_S2,Female_w14,,2404R_S2_week14,plate3,Plate3_2404R_S2_week14_S22_L001
plate3_2446R_0_F_S2_week5_S42_L0,plate3_2446r_0_f_s2_week5_s42_l0,2446r_0_f_s2_week5_s42_l0,2446R_0_F_S2_week5,Plate3_2446R_0_F_S2_week5_S42_L001,2446R_0_F_S2_week5,2446R_0_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,2446R_0_F_S2_week5,plate3,Plate3_2446R_0_F_S2_week5_S42_L001
plate3_2446R_L_F_S2_diabetes_S12,plate3_2446r_l_f_s2_diabetes_s12,2446r_l_f_s2_diabetes_s12,2446R_L_F_S2_DIABETES,Plate3_2446R_L_F_S2_DIABETES_S12_L001,,,,,plate3,Female,IAB+,S2,diabetes,diabetes,S2_diabetes,Female_S2,Female_diabetes,,2446R_L_F_S2_diabetes,plate3,Plate3_2446R_L_F_S2_diabetes_S12_L001
plate3_2446R_R_F_S2_Pellet_week9,plate3_2446r_r_f_s2_pellet_week9,2446r_r_f_s2_pellet_week9,2446R_R_F_S2_week9,Plate3_2446R_R_F_S2_week9_S68_L001,2446R_R_F_S2_week9,2446R_R_F_S2_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,2446R_R_F_S2_Pellet_week9,plate3,Plate3_2446R_R_F_S2_Pellet_week9_S68_L001
plate3_2446R_R_F_S2_week5_S43_L0,plate3_2446r_r_f_s2_week5_s43_l0,2446r_r_f_s2_week5_s43_l0,2446R_R_F_S2_week5,Plate3_2446R_R_F_S2_week5_S43_L001,2446R_R_F_S2_week5,2446R_R_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,2446R_R_F_S2_week5,plate3,Plate3_2446R_R_F_S2_week5_S43_L001
plate3_2446R_RL_F_S2_Pellet_week,plate3_2446r_rl_f_s2_pellet_week,2446r_rl_f_s2_pellet_week,2446R_RL_F_S2_week9,Plate3_2446R_RL_F_S2_week9_S69_L001,2446R_RL_F_S2_Pellet_week9,2446R_RL_F_S2_Pellet_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,2446R_RL_F_S2_Pellet_week9,plate3,Plate3_2446R_RL_F_S2_Pellet_week9_S69_L001
plate3_2446R_RL_F_S2_week5_S44_L,plate3_2446r_rl_f_s2_week5_s44_l,2446r_rl_f_s2_week5_s44_l,2446R_RL_F_S2_week5,Plate3_2446R_RL_F_S2_week5_S44_L001,2446R_RL_F_S2_week5,2446R_RL_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,2446R_RL_F_S2_week5,plate3,Plate3_2446R_RL_F_S2_week5_S44_L001
plate3_2446R_S2_week15_S24_L001,plate3_2446r_s2_week15_s24_l001,2446r_s2_week15_s24_l001,2446R_S2_week15,Plate3_2446R_S2_week15_S24_L001,,,,,plate3,Female,IAB+,S2,week_15,w15,S2_w15,Female_S2,Female_w15,,2446R_S2_week15,plate3,Plate3_2446R_S2_week15_S24_L001
plate3_2453R_0_F_S2_Pellet_week9,plate3_2453r_0_f_s2_pellet_week9,2453r_0_f_s2_pellet_week9,2453R_0_F_S2_week9,Plate3_2453R_0_F_S2_week9_S70_L001,2453R_0_F_S2_Pellet_week9,2453R_0_F_S2_Pellet_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,2453R_0_F_S2_Pellet_week9,plate3,Plate3_2453R_0_F_S2_Pellet_week9_S70_L001
plate3_2453R_0_F_S2_week5_S45_L0,plate3_2453r_0_f_s2_week5_s45_l0,2453r_0_f_s2_week5_s45_l0,2453R_0_F_S2_week5,Plate3_2453R_0_F_S2_week5_S45_L001,2453R_0_F_S2_week5,2453R_0_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,2453R_0_F_S2_week5,plate3,Plate3_2453R_0_F_S2_week5_S45_L001
plate3_2453R_L_F_S2_diabetes_S13,plate3_2453r_l_f_s2_diabetes_s13,2453r_l_f_s2_diabetes_s13,2453R_L_F_S2_DIABETES,Plate3_2453R_L_F_S2_DIABETES_S13_L001,,,,,plate3,Female,IAB+,S2,diabetes,diabetes,S2_diabetes,Female_S2,Female_diabetes,,2453R_L_F_S2_diabetes,plate3,Plate3_2453R_L_F_S2_diabetes_S13_L001
plate3_2453R_L_F_S2_Pellet_week9,plate3_2453r_l_f_s2_pellet_week9,2453r_l_f_s2_pellet_week9,2453R_L_F_S2_week9,Plate3_2453R_L_F_S2_week9_S71_L001,2453R_L_F_S2_Pellet_week9,2453R_L_F_S2_Pellet_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,2453R_L_F_S2_Pellet_week9,plate3,Plate3_2453R_L_F_S2_Pellet_week9_S71_L001
plate3_2453R_L_F_S2_week5_S46_L0,plate3_2453r_l_f_s2_week5_s46_l0,2453r_l_f_s2_week5_s46_l0,2453R_L_F_S2_week5,Plate3_2453R_L_F_S2_week5_S46_L001,2453R_L_F_S2_week5,2453R_L_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,2453R_L_F_S2_week5,plate3,Plate3_2453R_L_F_S2_week5_S46_L001
plate3_2453R_R_F_S2_diabetes_S14,plate3_2453r_r_f_s2_diabetes_s14,2453r_r_f_s2_diabetes_s14,2453R_R_F_S2_DIABETES,Plate3_2453R_R_F_S2_DIABETES_S14_L001,,,,,plate3,Female,IAB+,S2,diabetes,diabetes,S2_diabetes,Female_S2,Female_diabetes,,2453R_R_F_S2_diabetes,plate3,Plate3_2453R_R_F_S2_diabetes_S14_L001
plate3_2453R_R_F_S2_Pellet_week9,plate3_2453r_r_f_s2_pellet_week9,2453r_r_f_s2_pellet_week9,2453R_R_F_S2_week9,Plate3_2453R_R_F_S2_week9_S72_L001,2453R_R_F_S2_Pellet_week9,2453R_R_F_S2_Pellet_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,2453R_R_F_S2_Pellet_week9,plate3,Plate3_2453R_R_F_S2_Pellet_week9_S72_L001
plate3_2453R_R_F_S2_week5_S47_L0,plate3_2453r_r_f_s2_week5_s47_l0,2453r_r_f_s2_week5_s47_l0,2453R_R_F_S2_week5,Plate3_2453R_R_F_S2_week5_S47_L001,2453R_R_F_S2_week5,2453R_R_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,2453R_R_F_S2_week5,plate3,Plate3_2453R_R_F_S2_week5_S47_L001
plate3_2453R_S2_week21_S28_L001,plate3_2453r_s2_week21_s28_l001,2453r_s2_week21_s28_l001,2453R_S2_week21,Plate3_2453R_S2_week21_S28_L001,,,,,plate3,Female,IAB+,S2,week_21,w21,S2_w21,Female_S2,Female_w21,,2453R_S2_week21,plate3,Plate3_2453R_S2_week21_S28_L001
plate3_2475R_RL_M_S5_Pellet_week,plate3_2475r_rl_m_s5_pellet_week,2475r_rl_m_s5_pellet_week,2475R_RL_M_S5_week9,Plate3_2475R_RL_M_S5_week9_S6_L001,2475R_RL_M_S5_Pellet_week9,2475R_RL_M_S5_Pellet_week9,,,plate3,Male,IAB+,S5,week_9,w9w10,S5_w9w10,Male_S5,Male_w9w10,,2475R_RL_M_S5_Pellet_week9,plate3,Plate3_2475R_RL_M_S5_Pellet_week9_S6_L001
plate3_3795R_L_F_S2_week5_S48_L0,plate3_3795r_l_f_s2_week5_s48_l0,3795r_l_f_s2_week5_s48_l0,3795R_L_F_S2_week5,Plate3_3795R_L_F_S2_week5_S48_L001,3795R_L_F_S2_week5,3795R_L_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,3795R_L_F_S2_week5,plate3,Plate3_3795R_L_F_S2_week5_S48_L001
plate3_3795R_L_F_S2_week9_S73_L0,plate3_3795r_l_f_s2_week9_s73_l0,3795r_l_f_s2_week9_s73_l0,3795R_L_F_S2_week9,Plate3_3795R_L_F_S2_week9_S73_L001,3795R_L_F_S2_week9,3795R_L_F_S2_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,3795R_L_F_S2_week9,plate3,Plate3_3795R_L_F_S2_week9_S73_L001
plate3_3880R_0_F_S2_week5_S49_L0,plate3_3880r_0_f_s2_week5_s49_l0,3880r_0_f_s2_week5_s49_l0,3880R_0_F_S2_week5,Plate3_3880R_0_F_S2_week5_S49_L001,3880R_0_F_S2_week5,3880R_0_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,3880R_0_F_S2_week5,plate3,Plate3_3880R_0_F_S2_week5_S49_L001
plate3_3880R_0_F_S2_week9_S74_L0,plate3_3880r_0_f_s2_week9_s74_l0,3880r_0_f_s2_week9_s74_l0,3880R_0_F_S2_week9,Plate3_3880R_0_F_S2_week9_S74_L001,3880R_0_F_S2_week9,3880R_0_F_S2_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,3880R_0_F_S2_week9,plate3,Plate3_3880R_0_F_S2_week9_S74_L001
plate3_3880R_L_F_S2_week5_S50_L0,plate3_3880r_l_f_s2_week5_s50_l0,3880r_l_f_s2_week5_s50_l0,3880R_L_F_S2_week5,Plate3_3880R_L_F_S2_week5_S50_L001,3880R_L_F_S2_week5,3880R_L_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,3880R_L_F_S2_week5,plate3,Plate3_3880R_L_F_S2_week5_S50_L001
plate3_3880R_L_F_S2_week9_S75_L0,plate3_3880r_l_f_s2_week9_s75_l0,3880r_l_f_s2_week9_s75_l0,3880R_L_F_S2_week9,Plate3_3880R_L_F_S2_week9_S75_L001,3880R_L_F_S2_week9,3880R_L_F_S2_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,3880R_L_F_S2_week9,plate3,Plate3_3880R_L_F_S2_week9_S75_L001
plate3_3880R_R_F_S2_week5_S51_L0,plate3_3880r_r_f_s2_week5_s51_l0,3880r_r_f_s2_week5_s51_l0,3880R_R_F_S2_week5,Plate3_3880R_R_F_S2_week5_S51_L001,3880R_R_F_S2_week5,3880R_R_F_S2_week5,,,plate3,Female,IAB+,S2,week_5,w5,S2_w5,Female_S2,Female_w5,,3880R_R_F_S2_week5,plate3,Plate3_3880R_R_F_S2_week5_S51_L001
plate3_3880R_R_F_S2_week9_S76_L0,plate3_3880r_r_f_s2_week9_s76_l0,3880r_r_f_s2_week9_s76_l0,3880R_R_F_S2_week9,Plate3_3880R_R_F_S2_week9_S76_L001,3880R_R_F_S2_week9,3880R_R_F_S2_week9,,,plate3,Female,IAB+,S2,week_9,w9w10,S2_w9w10,Female_S2,Female_w9w10,,3880R_R_F_S2_week9,plate3,Plate3_3880R_R_F_S2_week9_S76_L001
plate3_3880R_S2_week15_S25_L001,plate3_3880r_s2_week15_s25_l001,3880r_s2_week15_s25_l001,3880R_S2_week15,Plate3_3880R_S2_week15_S25_L001,,,,,plate3,Female,IAB+,S2,week_15,w15,S2_w15,Female_S2,Female_w15,,3880R_S2_week15,plate3,Plate3_3880R_S2_week15_S25_L001
